id_pesq,info_muni,url,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
SP-01432/2020,SÃO PAULO,https://valor.globo.com/politica/noticia/2020/10/16/disputa-em-sao-paulo-e-no-recife-mostra-acirramento.ghtml,1,P,1,,,CELSO RUSSOMANNO,25,BRUNO COVAS,22,GUILHERME BOULOS,10,MARCIO FRANÇA,7,JILMAR TATTO,4,,,,,,,,,,,,,,,,,,,,
PE-08776/2020,RECIFE,https://valor.globo.com/politica/noticia/2020/10/16/disputa-em-sao-paulo-e-no-recife-mostra-acirramento.ghtml,1,P,1,,,JOAO CAMPOS,33,MENDONCA FILHO,18,MARILIA ARRAES,14,DELEGADA PATRICIA,13,CLAUDIA RIBEIRO,1,CORONEL FEITOSA,1,MARCO AURELIO,1,CARLOS,1,,,,,,,,,,,,,,
MG-04070/2020,JUIZ DE FORA,http://www.ibopeinteligencia.com.br/noticias-e-pesquisas/pesquisa-em-juiz-de-fora-mostra-wilson-rezato-com-vantagem-numerica-mas-tecnicamente-empatado-com-margarida-salomao/,1,P,1,,,WILSON REZATO,29,MARGARIDA SALOMAO,25,DELEGADA SHEILA,12,IONE,3,MARCO FELICIO,2,ALOIZIO PENIDO,1,EDUARDO LUCAS,1,FERNANDO ELIOTERIO,1,,,,,,,,,,,,,,
AP-06881/2020,MACAPÁ,http://www.ibopeinteligencia.com.br/noticias-e-pesquisas/pesquisa-em-macapa-aponta-disputa-acirrada-pela-prefeitura/,1,P,1,,,CAPI,17,JOSIEL,16,DR FURLAN,13,PATRICIA FERRAZ,13,CIRILO FERNANDES,8,GIANFRANCO,8,GUARACY,3,HAROLDO IRAM,2,PAULO LEMOS,2,PROFESSOR MARCOS,2,,,,,,,,,,
AM-09557/2020,MANAUS,http://www.ibopeinteligencia.com.br/noticias-e-pesquisas/disputa-pela-prefeitura-de-manaus-tem-amazonino-mendes-na-lideranca/,1,P,1,,,AMAZONINO MENDES,25,DAVID ALMEIDA,13,RICARDO NICOLAU,11,ZE RICARDO,10,CAPITAO ALBERTO NETO,7,CORONEL MENEZES,6,ALFREDO NASCIMENTO,3,CHICO PRETO,3,ROMERO REIS,2,MARCELO AMIL,1,,,,,,,,,,
RO-05800/2020,PORTO VELHO,http://www.ibopeinteligencia.com.br/noticias-e-pesquisas/candidato-a-reeleicao-hildon-chaves-esta-na-lideranca-na-disputa-pela-prefeitura-de-porto-velho/,1,P,1,,,HILDON CHAVES,23,VINICIUS MIGUEL,12,CRISTIANE LOPES,9,BRENO MENDES,7,LINDOMAR GARCON,6,RONALDO FLORES,5,WILLIAMES PIMENTEL,4,EYDER BRASIL,3,LEONEL BERTOLIN,1,PIMENTA DE RONDONIA,1,RAMON CUJUI,1,SAMUEL COSTA,1,,,,,,
CE-03463/2020,FRECHEIRINHA,http://www.ibopeinteligencia.com.br/noticias-e-pesquisas/pesquisa-aponta-helton-luis-a-frente-na-disputa-pela-prefeitura-de-frecheirinha/,1,P,1,,,HELTON LUIS,56,CLAUDIO TIBURCIO,35,,,,,,,,,,,,,,,,,,,,,,,,,,
CE-03463/2020,FRECHEIRINHA,http://www.ibopeinteligencia.com.br/noticias-e-pesquisas/pesquisa-aponta-helton-luis-a-frente-na-disputa-pela-prefeitura-de-frecheirinha/,1,P,0,,,HELTON LUIS,54,CLAUDIO TIBURCIO,29,,,,,,,,,,,,,,,,,,,,,,,,,,
ES-04328/2020,VILA VELHA,http://www.ibopeinteligencia.com.br/noticias-e-pesquisas/pesquisa-mostra-max-filho-e-neucimar-fraga-tecnicamente-empatados-na-lideranca-da-disputa-para-prefeito-de-vila-velha/,1,P,1,,,MAX FILHO,26,NEUCIMAR FRAGA,24,ARNALDINHO BORGO,14,AMARILDO LOVATO,3,MONICA ALVES,3,CORONEL WAGNER,2,DOUTOR HUDSON,2,RAFAEL PRIMO,2,DALTON MORAIS,1,,,,,,,,,,,,
MG-00100/2020,BELO HORIZONTE,http://www.ibopeinteligencia.com.br/noticias-e-pesquisas/se-a-eleicao-fosse-hoje-kalil-seria-reeleito-prefeito-de-belo-horizonte/,1,P,1,,,KALIL,59,JOAO VITOR XAVIER,7,AUREA CAROLINA,3,BRUNO ENGLER,2,NILMARIO MIRANDA,1,RODRIGO PAIVA,1,CABO XAVIER,1,LAFAYETTE ANDRADA,1,MARILIA DOMINGUES,1,PROFESSOR WENDEL MESQUITA,1,,,,,,,,,,
RJ-09221/2020,RIO DE JANEIRO,http://www.ibopeinteligencia.com.br/noticias-e-pesquisas/corrida-pela-prefeitura-do-rio-de-janeiro-permanece-estavel-com-eduardo-paes-em-vantagem-na-disputa/,1,P,1,,,EDUARDO PAES,30,CRIVELLA,12,MARTHA ROCHA,8,BENEDITA DA SILVA,7,BANDEIRA DE MELLO,3,RENATA SOUSA,3,LUIZ LIMA,3,CYRO GARCIA,2,CLARISSA GAROTINHO,1,FRED LUZ,1,PAULO MESSINA,1,,,,,,,,
ES-00783/2020,VITÓRIA,http://www.ibopeinteligencia.com.br/noticias-e-pesquisas/gandini-e-joao-coser-aparecem-empatados-na-disputa-pela-prefeitura-de-vitoria/,1,P,1,,,GANDINI,22,JOAO COSER,22,DELEGADO PAZOLINI,10,NEUZINHA,7,CAPITAO ASSUNCAO,6,SERGIO SA,5,MAZINHO,3,NAMY CHEQUER,2,CORONEL NYLTON,1,GILBERTINHO CAMPOS,1,,,,,,,,,,
MG-00596/2020,UBERLÂNDIA,http://www.ibopeinteligencia.com.br/noticias-e-pesquisas/pesquisa-em-uberlandia-aponta-o-prefeito-odelmo-leao-em-primeiro-lugar-com-ampla-vantagem-sobre-os-concorrentes/,1,P,1,,,ODELMO LEAO,51,ADRIANO ZAGO,8,FELIPE ATTIE,7,LOURIVAL SANTOS,4,THIAGO FERNANDES,4,ARQUIMEDES,3,GILBERTO CUNHA,1,PROFESSOR EDILSON,1,,,,,,,,,,,,,,
