tse_id,url,info_uf,info_muni,info_position,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
PE-08168/2020,https://www.diariodepernambuco.com.br/noticia/politica/2020/08/pesquisa-do-pdt-coloca-tulio-em-5-nas-intencoes-de-voto-para-o-recife.html,PE,RECIFE,Prefeito,1,P,1,,,MARILIA ARRAES,"19,9",MENDONÇA FILHO,"13,5",DANIEL COELHO,"13,4",JOAO CAMPOS,"10,3",TULIO GADELHA,"8,6",PATRICIA DOMINGOS,"6,4",ALBERTO FEITOSA,2,MARCO AURELIO,"1,8",,,,,,,,,,,,,,
ES-05334/2020,https://www.facebook.com/Ipopespesquisas/posts/4291454950925132,ES,BREJETUBA,Prefeito,1,P,1,,,LEVI DA MERCEDINHA,"30,24",PAULINHO DA AUTO ESCOLA,"27,87",,,,,,,,,,,,,,,,,,,,,,,,,,
PR-06217/2020,https://www.facebook.com/Lealdaluz/posts/165506575195620?__tn__=-R,PR,CAMPO MAGRO,Prefeito,1,P,0,,,CLAUDIO CASAGRANDE,"33,5",BOZINHA,"10,6",PASE,"1,7",,,,,,,,,,,,,,,,,,,,,,,,
RN-04873/2020,https://www.blogdomontoril.com.br/blog/noticia.php?id=90718,RN,TOUROS,Prefeito,1,P,1,,,FLAVIO DE TETE,"25,2",PEDRO FILHO,18,ASSIS DO HOSPITAL,14,ERIMAR SIMPLICIO,"4,5",,,,,,,,,,,,,,,,,,,,,,
PR-04204/2020,https://www.youtube.com/watch?v=oxAHapVFXTM,PR,PARANAGUÁ,Prefeito,1,P,1,,,MARCELO ROQUE,"52,6",ALCEUZINHO MARON,"13,7",ADRIANO RAMOS,"7,7",ARNALDO MARANHAO,"5,8",FABIANO ELIAS,"2,3",PICHACO,"1,2",MARCELO CAPRARO,1,,,,,,,,,,,,,,,,
PR-04204/2020,https://www.youtube.com/watch?v=oxAHapVFXTM,PR,PARANAGUÁ,Prefeito,1,P,0,,,MARCELO ROQUE,"19,6",ALCEUZINHO MARON,"2,6",ADRIANO RAMOS,"2,1",ARNALDO MARANHAO,1,,,,,,,,,,,,,,,,,,,,,,
GO-02070/2020,http://blogdoalanribeiro.com.br/2020/09/03/pre-candidato-do-pl-flavio-canedo-possui-177-em-caldas-novas-diz-pesquisa-fortiori/,GO,CALDAS NOVAS,Prefeito,1,P,0,,,FLAVIO CANEDO,"7,1",CORONEL BELELLI,"7,4",KLEBER MARRA,"7,7",JOSE ARAUJO,"1,7",,,,,,,,,,,,,,,,,,,,,,
GO-02070/2020,http://blogdoalanribeiro.com.br/2020/09/03/pre-candidato-do-pl-flavio-canedo-possui-177-em-caldas-novas-diz-pesquisa-fortiori/,GO,CALDAS NOVAS,Prefeito,1,P,1,,,CORONEL BELELLI,"21,7",FLAVIO CANEDO,"17,7",KLEBER MARRA,"17,1",DOUTOR JOAO OSORIO,"9,1",JOSE ARAUJO,"8,6",ARLINDO CEARA,"3,1",MAURO HENRIQUE,"2,6",,,,,,,,,,,,,,,,
AC-09590/2020,https://noticiasdahora.com.br/index.php/politica/12069-tanizio-sa-tem-57-dos-votos-e-seria-reeleito-com-folga-em-manuel-urbano-diz-pesquisa-noticias-da-hora-delta-aprovacao-esta-acima-de-80.html,AC,MANOEL URBANO,Prefeito,1,P,1,,,TANIZIO SA,57,PASSTOR ADEMAR,19,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-09590/2020,https://noticiasdahora.com.br/index.php/politica/12069-tanizio-sa-tem-57-dos-votos-e-seria-reeleito-com-folga-em-manuel-urbano-diz-pesquisa-noticias-da-hora-delta-aprovacao-esta-acima-de-80.html,AC,MANOEL URBANO,Prefeito,1,P,0,,,TANIZIO SA,37,PASSTOR ADEMAR,11,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-03860/2020,http://ismaelcarvalho.com.br/2020/08/28/vitoriosa-contrata-pesquisa-eleitoral/,MG,UBERLÂNDIA,Prefeito,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-07942/2020,https://www.carlinhosfilho.com.br/2020/09/dr-humberto-e-vanessa-maia-empatados.html?m=1,MA,PEDREIRAS,Prefeito,1,P,1,,,DR. HUMBERTO,"35,7",VANESSA MAIA,29,ANTONIO FRANÇA,"21,7",PRISCILA,"5,7",BRUNO CURVINA,"1,3",ASSAIANTE,"1,3",,,,,,,,,,,,,,,,,,
MT-05362/2020,http://www.noticiadosmunicipios.com.br/home/noticia/11345/pesquisa-eleitoral-em-general-carneiro-aponta-marcelo-aquino-com-larga-vantagem-sobre-magali-vilela-fabio-abreu-aparece-em-3%C2%BA-lugar.html,MT,GENERAL CARNEIRO,Prefeito,1,P,1,,,MAGALI VILELA,"22,1",FABIO ABREU,"10,1",ZE MAURO,"1,9",,,,,,,,,,,,,,,,,,,,,,,,
MT-05362/2020,http://www.noticiadosmunicipios.com.br/home/noticia/11345/pesquisa-eleitoral-em-general-carneiro-aponta-marcelo-aquino-com-larga-vantagem-sobre-magali-vilela-fabio-abreu-aparece-em-3%C2%BA-lugar.html,MT,GENERAL CARNEIRO,Prefeito,1,P,0,,,MARCELO AQUINO,"39,1",MAGALI VILELA,"15,2",FABIO ABREU,"4,3",ZE MAURO,"1,1",,,,,,,,,,,,,,,,,,,,,,
RN-01462/2020,https://macaibanoar.com.br/pesquisa-espontanea-para-prefeito-de-macaiba-emidio-jr-174-delegado-normando-159-marilia-dias-147-e-netinho-franca-108/,RN,MACAÍBA,Prefeito,1,P,1,,,EMIDIO JUNIOR,"17,7",DELEGADO NORMANDO,"17,5",MARILIA DIAS,"17,4",NETINHO FRANÇA,"11,8",JANSSEN MOTOS,2,,,,,,,,,,,,,,,,,,,,
RN-01462/2020,https://macaibanoar.com.br/pesquisa-espontanea-para-prefeito-de-macaiba-emidio-jr-174-delegado-normando-159-marilia-dias-147-e-netinho-franca-108/,RN,MACAÍBA,Prefeito,1,P,0,,,EMIDIO JUNIOR,"17,4",DELEGADO NORMANDO,"15,9",MARILIA DIAS,"14,7",NETINHO FRANÇA,"10,8",JANSSEN MOTOS,"1,5",BOLINHA DA FEDERAL,"1,1",,,,,,,,,,,,,,,,,,
PE-07192/2020,https://www.blogdanoeliabrito.com/2020/09/justica-eleitoral-fecha-o-cerco-e.html,PE,ARARIPINA,Prefeito,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-04103/2020,https://www.facebook.com/miguelcoelhope/videos/651778308783742/,PE,PETROLINA,Prefeito,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
