tse_id,url,NM_UE,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
AC-01381/2020,http://www.jornalatribuna.com.br/pesquisa-delta-bocalom-57-e-socorro-neri-33/,RIO BRANCO,1,p,1,,1,BOCALOM,57,SOCORRO,33,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-01513/2020,https://www.portaltucuma.com.br/pesquisa-aponta-empate-tecnico-entre-amazonino-e-david-a-prefeito-de-manaus/,MANAUS,1,P,1,,,AMAZONINO,"37,2",DAVID ALMEIDA,"41,5",,,,,,,,,,,,,,,,,,,,,,,,,,
AM-03171/2020,https://bncamazonas.com.br/eleicoes2020/pesquisa-pontual-e-a-unica-que-aponta-vitoria-de-amazonino-mendes/,MANAUS,1,P,1,,1,AMAZONINO,51.5,DAVID ALMEIDA,"48,5",,,,,,,,,,,,,,,,,,,,,,,,,,
AM-08076/2020,https://amazonasatual.com.br/boca-de-urna-da-action-david-almeida-525-x-475-amazonino/,MANAUS,1,P,1,,1,AMAZONINO,"47,5",DAVID ALMEIDA,"52,5",,,,,,,,,,,,,,,,,,,,,,,,,,
BA-01969/2020,https://www.acordacidade.com.br/noticias/235500/entenda-por-que-tres-pesquisas-do-segundo-turno-nao-foram-divulgadas.html,FEIRA DE SANTANA,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-03108/2020,https://www.acordacidade.com.br/noticias/235282/em-semana-decisiva-tres-pesquisas-serao-divulgadas-em-feira-de-santana.html,FEIRA DE SANTANA,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-01340/2020,https://www.facebook.com/blogdopaulonunes/posts,VITÓRIA DA CONQUISTA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-02363/2020,https://www.obruto.com.br/vitoria-da-conquista-herzem-consegue-impedir-divulgacao-de-pesquisa/,VITÓRIA DA CONQUISTA,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE-03518/2020,https://pt.wikipedia.org/wiki/Elei%C3%A7%C3%A3o_municipal_de_Fortaleza_em_2020,FORTALEZA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES-07952/2020,https://www.aquinoticias.com/2020/11/com-vitoria-apertada-euclerio-sampaio-seria-o-novo-prefeito-de-cariacica-se-a-eleicao-fosse-hoje/,CARIACICA,1,P,1,,,EUCLERIO,"43,22",CELIA,"31,07",,,,,,,,,,,,,,,,,,,,,,,,,,
