tse_id,url,info_uf,info_muni,info_position,util,position,estimulada,suspensa,vv,cand1,resul1,part1,cand2,resul2,part2,cand3,resul3,part3,cand4,resul4,part4,cand5,resul5,part5,cand6,resul6,part6,cand7,resul7,part7,cand8,resul8,part8,cand9,resul9,part9,cand10,resul10,part10,cand11,resul11,part11,cand12,resul12,part12,cand13,resul13,part13,cand14,resul14,part14,cand15,resul15,part15,unnamed: 55,unnamed: 56,unnamed: 57,unnamed: 58,unnamed: 59,unnamed: 60,unnamed: 61,unnamed: 62,unnamed: 63,unnamed: 64,unnamed: 65,unnamed: 66,unnamed: 67,unnamed: 68,unnamed: 69,unnamed: 70,unnamed: 71,unnamed: 72,unnamed: 73,unnamed: 74,unnamed: 75,unnamed: 76,unnamed: 77,unnamed: 78,unnamed: 79,unnamed: 80,unnamed: 81,unnamed: 82,unnamed: 83,unnamed: 84,unnamed: 85,unnamed: 86,unnamed: 87,unnamed: 88,unnamed: 89,unnamed: 90,unnamed: 91,unnamed: 92,unnamed: 93,unnamed: 94,unnamed: 95,unnamed: 96,unnamed: 97,unnamed: 98,unnamed: 99,unnamed: 100,unnamed: 101,unnamed: 102,unnamed: 103,unnamed: 104,unnamed: 105,unnamed: 106,unnamed: 107,unnamed: 108,unnamed: 109,unnamed: 110,unnamed: 111,unnamed: 112,unnamed: 113,unnamed: 114,unnamed: 115,unnamed: 116,unnamed: 117,unnamed: 118,unnamed: 119,unnamed: 120,unnamed: 121,unnamed: 122,unnamed: 123,unnamed: 124,unnamed: 125,unnamed: 126,unnamed: 127,unnamed: 128,unnamed: 129,unnamed: 130,unnamed: 131,unnamed: 132,unnamed: 133
AL-01903/2020,https://www.cadaminuto.com.br/noticia/2020/06/30/roteiro-vice-prefeito-lidera-pesquisa-eleitoral-contra-sobrenome-tradicional,AL,ROTEIRO,"Prefeito, Vereador",1.0,P,1.0,,,ALYSSON,57,,TIAGO CURSINO,17,,GABRIEL JATOBA,"4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-03976/2020,https://www.correiodosmunicipios-al.com.br/2020/06/instituto-data-sensus-apresenta-resultado-de-pesquisa-eleitoral-em-matriz-de-camaragibe/,AL,MATRIZ DE CAMARAGIBE,"Prefeito, Vereador",,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-04343/2020,https://maragogi.7segundos.com.br/noticias/2020/07/27/155246-pesquisa-aponta-ampla-vantagem-do-prefeito-sergio-lira-em-maragogi,AL,MARAGOGI,"Prefeito, Vereador",1.0,P,1.0,,,SERGIO LIRA,52,PP,MARCOS MADEIRA,22,MDB,ADRIANO CALAÇA,6,REDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-04343/2020,https://maragogi.7segundos.com.br/noticias/2020/07/27/155246-pesquisa-aponta-ampla-vantagem-do-prefeito-sergio-lira-em-maragogi,AL,MARAGOGI,"Prefeito, Vereador",1.0,P,0.0,,,SERGIO LIRA,42,PP,MARCOS MADEIRA,"14,5",MDB,ADRIANO CALAÇA,"2,4",REDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-05746/2020,https://arapiraca.7segundos.com.br/noticias/2020/07/04/153338-aliado-de-marx-beltrao-ex-diretor-da-casal-jorge-galvao-lidera-pesquisa-eleitoral-em-jundia,AL,JUNDIÁ,"Prefeito, Vereador",1.0,P,1.0,,,JORGINHO,"53,5",,HUGO BRAGA,11,,MARIA LUIZA,"5,5",,MARLENE,"5,5",,RICARDO MELO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-05746/2020,https://arapiraca.7segundos.com.br/noticias/2020/07/04/153338-aliado-de-marx-beltrao-ex-diretor-da-casal-jorge-galvao-lidera-pesquisa-eleitoral-em-jundia,AL,JUNDIÁ,"Prefeito, Vereador",1.0,P,0.0,,,JORGINHO,43,,HUGO BRAGA,9,,MARIA LUIZA,3,,MARLENE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-06493/2020,https://www.cadaminuto.com.br/noticia/2020/07/21/pesquisa-mostra-preferencia-de-eleitor-pela-vitoria-da-oposicao-no-municipio-de-inhapi,AL,INHAPI,"Prefeito, Vereador",1.0,P,1.0,,,TENORINHO MALTA,51,,CRISTINA COSTA,15,,WELLINGTON MORCEGO,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-08015/2020,https://www.cadaminuto.com.br/noticia/2020/07/06/pesquisa-aponta-reeleicao-com-folga-de-prefeita-em-senador-rui-palmeira,AL,SENADOR RUI PALMEIRA,Prefeito,1.0,P,1.0,,,JEANE MOURA,72,MDB,PADRE,"12,5",,ROGERIO AMARAL,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-08015/2020,https://www.cadaminuto.com.br/noticia/2020/07/06/pesquisa-aponta-reeleicao-com-folga-de-prefeita-em-senador-rui-palmeira,AL,SENADOR RUI PALMEIRA,Prefeito,1.0,P,0.0,,,JEANE MOURA,"64,5",MDB,PADRE,8,,ROGERIO AMARAL,"1,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-09316/2020,https://folhadealagoas.com.br/2020/07/06/eleicao-2020-vinicius-filho-de-ze-hermes-lidera-com-folga-em-canapi/,AL,CANAPI,"Prefeito, Vereador",1.0,P,1.0,,,VINICIUS,57,,MADSON PAULINO,15,,MARCIO MARTINS,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
