tse_id,url,info_uf,info_muni,info_position,util,position,estimulada,suspensa,vv,cand1,resul1,part1,cand2,resul2,part2,cand3,resul3,part3,cand4,resul4,part4,cand5,resul5,part5,cand6,resul6,part6,cand7,resul7,part7,cand8,resul8,part8,cand9,resul9,part9,cand10,resul10,part10,cand11,resul11,part11,cand12,resul12,part12,cand13,resul13,part13,cand14,resul14,part14,cand15,resul15,part15,unnamed: 55,unnamed: 56,unnamed: 57,unnamed: 58,unnamed: 59,unnamed: 60,unnamed: 61,unnamed: 62,unnamed: 63,unnamed: 64,unnamed: 65,unnamed: 66,unnamed: 67,unnamed: 68,unnamed: 69,unnamed: 70,unnamed: 71,unnamed: 72,unnamed: 73,unnamed: 74,unnamed: 75,unnamed: 76,unnamed: 77,unnamed: 78,unnamed: 79,unnamed: 80,unnamed: 81,unnamed: 82,unnamed: 83,unnamed: 84,unnamed: 85,unnamed: 86,unnamed: 87,unnamed: 88,unnamed: 89,unnamed: 90,unnamed: 91,unnamed: 92,unnamed: 93,unnamed: 94,unnamed: 95,unnamed: 96,unnamed: 97,unnamed: 98,unnamed: 99,unnamed: 100,unnamed: 101,unnamed: 102,unnamed: 103,unnamed: 104,unnamed: 105,unnamed: 106,unnamed: 107,unnamed: 108,unnamed: 109,unnamed: 110,unnamed: 111,unnamed: 112,unnamed: 113,unnamed: 114,unnamed: 115,unnamed: 116,unnamed: 117,unnamed: 118,unnamed: 119,unnamed: 120,unnamed: 121,unnamed: 122,unnamed: 123,unnamed: 124,unnamed: 125,unnamed: 126,unnamed: 127,unnamed: 128,unnamed: 129,unnamed: 130,unnamed: 131,unnamed: 132,unnamed: 133
BA-01806/2020,https://www.bahianoticias.com.br/noticia/251090-bn-seculus-juliana-araujo-lidera-preferencia-dos-eleitores-de-morro-do-chapeu.html,BA,MORRO DO CHAPÉU,Prefeito,1.0,P,1.0,,,JULIANA ARAUJO,"39,06",,CLAUDIO,"26,04",,SHEILA,"8,33",,LEO DOURADO,"6,51",,BETO,"2,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-02213/2020,https://www.culturaerealidade.com.br/62-da-populacao-creem-na-vitoria-do-grupo-liderado-por-fredson-que-tem-gestao-aprovada-por-90-dos-eleitores-pesquisa-eleitoral-mulungu-do-morro/,BA,MULUNGU DO MORRO,Prefeito,1.0,P,1.0,,,EDIMARIO BOAVENTURA,56,PSB,ACACIO TELES,34,PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-02213/2020,https://www.culturaerealidade.com.br/62-da-populacao-creem-na-vitoria-do-grupo-liderado-por-fredson-que-tem-gestao-aprovada-por-90-dos-eleitores-pesquisa-eleitoral-mulungu-do-morro/,BA,MULUNGU DO MORRO,Prefeito,1.0,P,0.0,,,EDIMARIO BOAVENTURA,43,PSB,ACACIO TELES,33,PT,FREDSON,7,,AMAURI LUCENA,1,,NETO GAME,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-02741/2020,https://www.augustourgente.com.br/2020/07/prefeito-candinho-guirra-lidera.html,BA,CALDEIRÃO GRANDE,"Prefeito, Vereador",1.0,P,,,,CANDINHO GUIRRA,"53,07",PP,NETINHO GAMA,"35,25",PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-03198/2020,https://oecojornal.com.br/pesquisa-de-intencao-de-voto-indica-larga-vantagem-do-pre-candidato-paulo-mendonca-em-caturama/,BA,CATURAMA,Prefeito,1.0,P,1.0,,,PAULO MENDONÇA,"61,6",,HUGO MENDONÇA,"18,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-03363/2020,https://www.bahianoticias.com.br/noticia/250777-bn-seculus-joao-de-didi-aparece-em-vantagem-para-reeleicao-em-barra-da-estiva.html,BA,BARRA DA ESTIVA,Prefeito,1.0,P,0.0,,,JOAO DE DIDI,"48,16",,BICO,"12,58",,DINHO,"3,07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-03363/2020,https://www.bahianoticias.com.br/noticia/250777-bn-seculus-joao-de-didi-aparece-em-vantagem-para-reeleicao-em-barra-da-estiva.html,BA,BARRA DA ESTIVA,Prefeito,1.0,P,1.0,,,JOAO DE DIDI,"49,08",,BICO,"16,87",,DINHO,"4,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-03460/2020,http://bonfimnoticias.com/site/2020/07/05/ponto-novo-pesquisa-divulgada-pelo-grupo-de-oposicao-e-impugnada-pela-justica-eleitoral/,BA,PONTO NOVO,"Prefeito, Vereador",,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-03766/2020,https://www.bahianoticias.com.br/noticia/250708-bn-seculus-atual-prefeita-de-cafarnaum-sueli-lidera-intencoes-de-voto.html,BA,CAFARNAUM,Prefeito,1.0,P,0.0,,,SUELI FERNANDES,"50,57",PL,WILSON,"29,71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-03766/2020,https://www.bahianoticias.com.br/noticia/250708-bn-seculus-atual-prefeita-de-cafarnaum-sueli-lidera-intencoes-de-voto.html,BA,CAFARNAUM,Prefeito,1.0,P,1.0,,,SUELI FERNANDES,"50,86",PL,WILSON,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-04065/2020,https://www.portaljaguarari.com.br/2020/07/tiago-venancio-lidera-intencoes-de-voto.html,BA,PONTO NOVO,Prefeito,1.0,P,1.0,,,TIAGO VENANCIO,"53,17",PT,THIAGO GILLENO,"34,67",PSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-04742/2020,https://www.espinhadepeixe.com.br/2020/07/atual-prefeito-de-sao-felix-do-coribe.html,BA,SÃO FÉLIX DO CORIBE,Prefeito,1.0,P,0.0,,,CHEPA RIBEIRO,"55,68",,MOACIR,"20,78",,NOZINHO,"2,77",,HELVIO,"1,11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-04742/2020,https://www.espinhadepeixe.com.br/2020/07/atual-prefeito-de-sao-felix-do-coribe.html,BA,SÃO FÉLIX DO CORIBE,Prefeito,1.0,P,1.0,,,CHEPA RIBEIRO,"60,11",,MOACIR,"25,48",,NOZINHO,"3,6",,HELVIO,"2,77",,LEO DE LAURENISIO,"1,94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-04954/2020,http://www.l12.com.br/noticias/8903-2020/08/03/pesquisa-aponta-dr-carlos-isolado-na-intencao-de-votos-para-prefeito-em-livramento,BA,LIVRAMENTO DE NOSSA SENHORA,Prefeito,1.0,P,1.0,,,CARLAO,"61,7",,RICARDINHO,"24,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-05289/2020,https://oecojornal.com.br/primeira-pesquisa-de-intencao-de-voto-indica-lideranca-do-ex-prefeito-e-pre-candidato-beto-em-ibipitanga/,BA,IBIPITANGA,Prefeito,1.0,P,1.0,,,BETO,50,,LENILSON MIRANDA,"1,3",,TOE DE XAVIER,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-05336/2020,https://itapicurufm.com.br/index.php/2020/06/29/ponto-novo-justica-eleitoral-proibe-pesquisa-eleitoral-com-indicios-de-fraude/,BA,PONTO NOVO,Prefeito,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-06166/2020,https://www.interativapn.com/2020/08/ponto-novo-pesquisa-ibope-e-impugnada.html,BA,PONTO NOVO,Prefeito,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-07007/2020,https://www.bahianoticias.com.br/noticia/251219-bn-seculus-pesquisa-mostra-vantagem-de-nilvinha-sobre-afonso-mendonca-em-ibitita.html,BA,IBITITÁ,Prefeito,1.0,P,1.0,,,NIVINHA,"50,2",,AFONSO,"36,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-07007/2020,https://www.bahianoticias.com.br/noticia/251219-bn-seculus-pesquisa-mostra-vantagem-de-nilvinha-sobre-afonso-mendonca-em-ibitita.html,BA,IBITITÁ,Prefeito,1.0,P,0.0,,,NIVINHA,"41,5",,AFONSO,"31,98",,CAFU,"6,07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-07181/2020,https://oecojornal.com.br/eleicoes-2020-divulgada-a-primeira-pesquisa-de-intencao-de-voto-para-a-prefeito-de-erico-cardoso/,BA,ÉRICO CARDOSO,Prefeito,1.0,P,1.0,,,ERICO,50,,ERALDO,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-07825/2020,https://midiabahia.com.br/cascalho-lidera-intencoes-de-voto-para-prefeitura-de-jiquirica/,BA,JIQUIRIÇÁ,Prefeito,1.0,P,0.0,,,CASCALHO,"60,49",,VALDEMAR,"4,88",,BARRETO,"2,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-07825/2020,https://midiabahia.com.br/cascalho-lidera-intencoes-de-voto-para-prefeitura-de-jiquirica/,BA,JIQUIRIÇÁ,Prefeito,1.0,P,1.0,,,CASCALHO,"64,39",,VALDEMAR,"7,8",,BARRETO,"4,39",,GILSON DE PAULO,"1,95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-08601/2020,https://www.bahianoticias.com.br/noticia/250742-bn-seculus-prefeito-reinaldinho-aparece-com-61-da-preferencia-de-votos-em-xique-xique.html,BA,XIQUE-XIQUE,Prefeito,1.0,P,0.0,,,REINALDO BRAGA FILHO,"59,04",MDB,EDUARDO,"19,75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-08601/2020,https://www.bahianoticias.com.br/noticia/250742-bn-seculus-prefeito-reinaldinho-aparece-com-61-da-preferencia-de-votos-em-xique-xique.html,BA,XIQUE-XIQUE,Prefeito,1.0,P,1.0,,,REINALDO BRAGA FILHO,"61,12",MDB,EDUARDO,"22,45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-08641/2020,https://itapebiacontece.com/noticia/peba-dispara-com-3376-pontos-de-vantagem-na-primeira-pesquisa-registrada-para-eleicao-2020,BA,ITAPEBI,Prefeito,1.0,P,0.0,,,JUAREZ DA SILVA OLIVEIRA,"57,92",PP,CLAUDIO CARVALHO,"24,16",PSD,NUNES,"1,04",DEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-08641/2020,https://bahia40graus.com.br/13231-2/,BA,ITAPEBI,Prefeito,1.0,P,1.0,,,JUAREZ DA SILVA OLIVEIRA,"66,11",PP,CLAUDIO CARVALHO,"29,35",PSD,NUNES,"2,08",DEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-08643/2020,https://zh-cn.facebook.com/capitaldachapada,BA,BARRA DA ESTIVA,Prefeito,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-08791/2020,https://bahianoar.com/camacari-elinaldo-lidera-em-nova-pesquisa-de-intencoes-votos/,BA,CAMAÇARI,Prefeito,1.0,P,1.0,,,ELINALDO ARAUJO,42,DEM,IVONEIDE CAETANO,20,PT,OZIEL,"4,1",PDT,FABIO LIMA,"2,5",PP,PEDRINHO DE PEDRAO,"1,3",PSC,ANTONIO CARLOS SOARES,"1,2",PSB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-08791/2020,https://politicalivre.com.br/2020/07/em-sondagem-espontanea-elinaldo-tambem-lidera-com-folga-a-sucessao-em-camacari-segundo-pa-politica-livre/,BA,CAMAÇARI,Prefeito,1.0,P,0.0,,,ELINALDO ARAUJO,"21,6",DEM,IVONEIDE CAETANO,"4,6",PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-09115/2020,https://www.bahianoticias.com.br/noticia/250845-bn-seculus-ricardo-mascarenhas-aparece-em-vantagem-em-todos-os-cenarios-em-itaberaba.html,BA,ITABERABA,Prefeito,1.0,P,0.0,,,RICARDO MASCARENHAS,50,,JOAO MASCARENHAS,"16,2",,LEONARDO MOSCOSO,"11,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-09115/2020,https://www.bahianoticias.com.br/noticia/250845-bn-seculus-ricardo-mascarenhas-aparece-em-vantagem-em-todos-os-cenarios-em-itaberaba.html,BA,ITABERABA,Prefeito,1.0,P,1.0,,,RICARDO MASCARENHAS,"50,18",,JOAO MASCARENHAS,"19,19",,LEONARDO MOSCOSO,"13,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES-09659/2020,https://www.folhadoes.com/noticia/politica-eleicoes-2020/65884/cachoeiro-es-victor-coelho-lidera-com-33-75-jonas-segundo-com-17-50,ES,CACHOEIRO DE ITAPEMIRIM,Prefeito,1.0,P,1.0,,,VICTOR COELHO,"33,75",PSB,JONAS NOGUEIRA,"17,5",PL,RENATA FIORIO,"7,25",PSD,DIEGO LIBARDI,"6,25",DEM,FABRICIO DO ZUMBI,"5,5",PDT,PROFESSOR BRENO,4,PROS,FAYDA BELO,3,PP,JOANA D'ARCK,3,PT,JOVELINO SCHIAVO,"1,25",PRTB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES-09659/2020,https://www.folhadoes.com/noticia/politica-eleicoes-2020/65882/pesquisa-leia-aponta-que-75-nao-tem-candidato-prefeito-cachoeiro-es,ES,CACHOEIRO DE ITAPEMIRIM,Prefeito,1.0,P,0.0,,,VICTOR COELHO,"12,75",PSB,JONAS NOGUEIRA,"3,5",PL,DIEGO LIBARDI,2,DEM,PROFESSOR BRENO,"1,75",PROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-01748/2020,https://www.dm.jor.br/politica/2020/07/marcos-da-farmacia-lidera-pesquisa-em-castelandia/,GO,CASTELÂNDIA,"Prefeito, Vereador",1.0,P,,,,MARCOS ANTONIO,"47,2",MDB,EDNALDO ANDRADE MIGUEL,"42,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-02505/2020,https://www.omaispositivo.com.br/israelandia-pesquisa-aponta-miria-dantas-como-favorita/,GO,ISRAELÂNDIA,"Prefeito, Vereador",1.0,P,0.0,,,MIRIA DANTAS,"38,41",DEM,ADELICIA MOURA,"23,98",PSC,AILTON SEVERINO,"9,03",PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-02505/2020,https://www.omaispositivo.com.br/israelandia-pesquisa-aponta-miria-dantas-como-favorita/,GO,ISRAELÂNDIA,"Prefeito, Vereador",1.0,P,1.0,,,MIRIA DANTAS,"41,59",DEM,ADELICIA MOURA,"26,98",PSC,AILTON SEVERINO,"12,38",PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-02701/2020,https://sdnews.com.br/noticia/1035/cristianopolis-pesquisa-contatus-confirma-lideranca-consolidada-de-juliana-da-farmacia-dem-com-13-81.html,GO,CRISTIANÓPOLIS,Prefeito,1.0,P,0.0,,,JULIANA DA FARMACIA,"33,74",DEM,IRIS AURELIO BORGES DIAS,"20,7",PRB,RODRIGO ACHCAR,"14,57",PSD,EDMAR BORGES,"9,2",PODEMOS,BRUNO RIBEIRO,"3,06",PRTB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-02701/2020,https://sdnews.com.br/noticia/1035/cristianopolis-pesquisa-contatus-confirma-lideranca-consolidada-de-juliana-da-farmacia-dem-com-13-81.html,GO,CRISTIANÓPOLIS,Prefeito,1.0,P,1.0,,,JULIANA DA FARMACIA,"39,11",DEM,IRIS AURELIO BORGES DIAS,"25,3",PRB,RODRIGO ACHCAR,"15,33",PSD,EDMAR BORGES,"13,03",PODEMOS,BRUNO RIBEIRO,"2,3",PRTB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-03407/2020,https://www.facebook.com/jornalenquantoissoemgoias/posts/1454650814735207,GO,ITAPACI,Prefeito,1.0,P,1.0,,,MARIO MACACO,"44,7",,IRON SOLDADO,"19,1",,ANDERSON CAIXETA,"6,8",,GISELE,4,,JOAO BATISTA CURIO,"3,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-03407/2020,https://www.facebook.com/jornalenquantoissoemgoias/posts/1454650814735207,GO,ITAPACI,Prefeito,1.0,P,0.0,,,MARIO MACACO,"28,5",,IRON SOLDADO,"10,8",,ANDERSON CAIXETA,"4,3",,GISELE,"2,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-03863/2020,https://www.primeirahoranews.com.br/noticia/pesquisa-eleitoral-divulgada-em-jornal-impresso-na-cidade-de-novo-gama-movimenta-o-cenario-politico-da-cidade,GO,NOVO GAMA,Prefeito,1.0,P,1.0,,,CRISTOVAM MACHADO,"22,2",PRTB,CARLINHOS DO MANGAO,"19,3",PL,SONIA CHAVES,17,,PELE,"4,7",,JAPAO,"2,9",,LAERCIO,"2,3",,FRANCISCO,"1,8",,KATTYA OLIVEIRA,"1,8",,BB,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-03917/2020,https://www.morrinhosagora.com.br/tiago-mendonca-continua-liderando-pesquisas-para-prefeito-em-morrinhos/,GO,MORRINHOS,Prefeito,1.0,P,1.0,,,TIAGO MENDONÇA,"32,8",DEM,MAYCLLYN CARREIRO,"21,2",PRTB,TERCIO,"19,3",PSD,ANDRE LUIZ,"7,1",MDB,CELISVALDO INACIO,"5,8",PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-03969/2020,https://www.omaispositivo.com.br/mudanca-de-cenario-leva-argemiro-a-lideranca-em-caiaponia-ex-prefeito-e-preferido-por-4139-segundo-colocado-walerio-soma-1774/,GO,CAIAPÔNIA,"Prefeito, Vereador",1.0,P,0.0,,,ARGEMIRO RODRIGUES,"29,56",DEM,WALERIO RODRIGUES,"10,02",MDB,CAIO LIMA,"8,99",PP,LARI,"3,08",MDB,ADAO NAZIR FILHO,"1,03",PSL,EDINHO,"1,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-03969/2020,https://www.omaispositivo.com.br/mudanca-de-cenario-leva-argemiro-a-lideranca-em-caiaponia-ex-prefeito-e-preferido-por-4139-segundo-colocado-walerio-soma-1774/,GO,CAIAPÔNIA,"Prefeito, Vereador",1.0,P,1.0,,,ARGEMIRO RODRIGUES,"41,39",DEM,WALERIO RODRIGUES,"17,74",MDB,CARMEN LUCIA,"11,05",PP,CAIO LIMA,"9,25",PP,ADAO NAZIR FILHO,"3,6",PSL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-06809/2020,https://www.facebook.com/jornalpluralnoticias/posts/708417669724505,GO,ITUMBIARA,Prefeito,1.0,P,1.0,,,ROGERIO,"24,5",PRTB,MURILO BORGES,"21,3",PP,GUGU NADER,"16,8",PSL,DIONE ARAUJO,"10,1",DEM,ZE ANTONIO,"7,3",PRB,PROFESSOR ALFREDO,"1,8",MDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-07017/2020,https://www.omaispositivo.com.br/jaupaci-boa-avaliacao-da-administracao-coloca-laerte-dourado-em-vantagem-na-corrida-eleitoral/,GO,JAUPACI,"Prefeito, Vereador",1.0,P,0.0,,,LAERTE DOURADO,"54,78",PP,SANTO DO AÇOUGUE,"21,97",DEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-07017/2020,https://www.omaispositivo.com.br/jaupaci-boa-avaliacao-da-administracao-coloca-laerte-dourado-em-vantagem-na-corrida-eleitoral/,GO,JAUPACI,"Prefeito, Vereador",1.0,P,1.0,,,LAERTE DOURADO,"55,73",PP,SANTO DO AÇOUGUE,"23,57",DEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
