tse_id,url,util,NM_UE,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
MT-02323/2020,http://inter03.tse.jus.br/dje-rest/rest/downloadDiario?tribunal=MT&numDiario=3303&anoDiario=2020,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-01937/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-06084/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-08277/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-07062/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-08728/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB-01053/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB-01577/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB-09276/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-06761/2020,https://www.opovo.com.br/noticias/politica/2020/11/19/resultado-da-pesquisa-datafolha-recife---segundo-turno-eleicoes-2020.html,1,,p,1,,,MARILIA ARRAES,41,JOAO CAMPOS,34,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-08407/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00826/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-01348/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-01838/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-07977/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-08681/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-05158/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00397/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-02155/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-08980/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ-02617/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
