tse_id,NM_UE,url,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
GO-02296/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-02435/2020,GOIÂNIA,https://noticias.uol.com.br/eleicoes/2020/11/24/ibope-em-goiania-maguito-vilela-lidera-com-54-vanderlan-cardoso-tem-31.htm,1,P,1,,,MAGUITO VILELA,54,VANDERLAN,31,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-04246/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00671/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00540/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00951/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-01458/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-01594/2020,SÃO LUÍS,https://maranhaohoje.com/instituto-prever-projeta-vitoria-de-eduardo-braide-com-13-pontos-de-vantagem-em-relacao-a-duarte-junior/,1,P,1,,,EDUARDO BRAIDE,"52,9",DUARTE,"40,5",,,,,,,,,,,,,,,,,,,,,,,,,,
MA-05555/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-06694/2020,SÃO LUÍS,https://garrone.com.br/pesquisa-exata-mostra-empate-tecnico-entre-braide-e-duarte/,1,P,1,,,EDUARDO BRAIDE,47,DUARTE,42,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-07422/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-08738/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-08813/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-00001/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-07176/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-00231/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
