id_pesq,info_muni,url,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
MA-07740/2020,TIMON,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-09265/2020,SENADOR GUIOMARD,https://pagina20.net/poronga/largada-2.html,1,p,0,,,ANDRE MAIA,"19,67",GILSON DA FUNERARIA,"14,33",BRANCA,,,,,,,,,,,,,,,,,,,,,,,,,
BA-06109/2020,PARAMIRIM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-09366/2020,MANAUS,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-01473/2020,ARCOVERDE,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-00666/2020,GARANHUNS,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00911/2020,CAMAÇARI,https://nossametropole.com.br/2020/09/14/elinaldo-lidera-pesquisa-eleitoral-com-47-das-intencoes-de-voto/,1,p,0,,,ELINALDO ARAUJO,"26,5",IVONEIDE CAETANO,"7,5",,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00911/2020,CAMAÇARI,https://nossametropole.com.br/2020/09/14/elinaldo-lidera-pesquisa-eleitoral-com-47-das-intencoes-de-voto/,1,p,1,,,ELINALDO ARAUJO,47,IVONEIDE CAETANO,"16,2",OZIEL ARAUJO,"2,7",PEDRINHO DE PEDRAO,2,SOCRATES,"1,2",,,,,,,,,,,,,,,,,,,,
BA-06665/2020,SERRINHA,https://www.bahianoticias.com.br/noticia/252605-bn-seculus-em-serrinha-prefeito-adriano-lima-lidera-corrida-eleitoral.html,1,P,0,,,ADRIANO LIMA,"27,5",OSNI,"11,75",BERG DA ARAGON,"2,5",FERRINHA,"7,75",VIVIANE,1,,,,,,,,,,,,,,,,,,,,
BA-06665/2020,SERRINHA,https://www.bahianoticias.com.br/noticia/252605-bn-seculus-em-serrinha-prefeito-adriano-lima-lidera-corrida-eleitoral.html,1,P,1,,,ADRIANO LIMA,"37,5",OSNI,"26,25",BERG DA ARAGON,"7,5",,,,,,,,,,,,,,,,,,,,,,,,
BA-01666/2020,JACOBINA,https://www.bahianoticias.com.br/noticia/252680-bn-seculos-luciano-da-locar-e-favorito-a-reeleicao-em-jacobina.html,1,P,1,,,LUCIANO DA LOCAR,"37,89",TIAGO DIAS,"18,94",MARIANA DO PT,"3,84",,,,,,,,,,,,,,,,,,,,,,,,
BA-01666/2020,JACOBINA,https://www.bahianoticias.com.br/noticia/252680-bn-seculos-luciano-da-locar-e-favorito-a-reeleicao-em-jacobina.html,1,P,0,,,LUCIANO DA LOCAR,"25,9",TIAGO DIAS,"5,52",MARIANA DO PT,"1,2",KATIA DA SAUDE,"2,64",,,,,,,,,,,,,,,,,,,,,,
BA-03672/2020,ANTÔNIO GONÇALVES,https://www.bahianoticias.com.br/noticia/252637-bn-seculus-dudu-tem-vantagem-na-preferencia-do-eleitorado-em-antonio-goncalves.html,1,P,1,,,DUDU,"51,25",ROBERTO,35,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-03672/2020,ANTÔNIO GONÇALVES,https://www.bahianoticias.com.br/noticia/252637-bn-seculus-dudu-tem-vantagem-na-preferencia-do-eleitorado-em-antonio-goncalves.html,1,P,0,,,DUDU,"47,75",ROBERTO,"33,25",,,,,,,,,,,,,,,,,,,,,,,,,,
