tse_id,url,NM_UE,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
AC-06004/2020,https://www.ac24horas.com/2020/10/29/pesquisa-coloca-fagner-sales-vencendo-zequinha-lima-e-sargento-adonis/,CRUZEIRO DO SUL,1,p,1,,,FAGNER SALES,"33,75",ZEQUINA LIMA,"27,78",SARGENTO ADONIS,"15,42",,,,,,,,,,,,,,,,,,,,,,,,
AC-06004/2020,https://www.ac24horas.com/2020/10/29/pesquisa-coloca-fagner-sales-vencendo-zequinha-lima-e-sargento-adonis/,CRUZEIRO DO SUL,1,p,0,,,FAGNER SALES,"24,79",ZEQUINA LIMA,"23,12",SARGENTO ADONIS,"9,89",,,,,,,,,,,,,,,,,,,,,,,,
AL-08661/2020,https://folhadealagoas.com.br/2020/11/01/vinicius-filho-de-ze-hermes-se-aproxima-da-reeleicao-em-canapi-aponta-pesquisa/,CANAPI,1,P,1,,,VINICIUS FILHO,67,MADSON PAULINO,15,MARCIO MARTINS,5,,,,,,,,,,,,,,,,,,,,,,,,
AC-08422/2020,https://www.juruaemtempo.com.br/2020/10/31/em-nova-pesquisa-bocalom-lidera-com-241-de-intencoes-de-votos-em-rio-branco/,RIO BRANCO,1,P,,,,TIAO BOCALOM,"24,1",MINORU KINPARA,"18,5",SOCORRO NERI,"14,9",ROBERTO DUARTE,"10,8",DANIEL ZEN,"2,2",JARBAS SOSTER,"1,8",JAMYL ASFURI,"1,4",,,,,,,,,,,,,,,,
AL-08661/2020,https://folhadealagoas.com.br/2020/11/01/vinicius-filho-de-ze-hermes-se-aproxima-da-reeleicao-em-canapi-aponta-pesquisa/,CANAPI,1,P,0,,,VINICIUS FILHO,65,MADSON PAULINO,"13,5",MARCIO MARTINS,4,,,,,,,,,,,,,,,,,,,,,,,,
AL-08084/2020,https://folhadealagoas.com.br/2020/10/28/dra-silvana-se-aproxima-da-vitoria-em-flexeiras-aponta-pesquisa/,FLEXEIRAS,1,P,0,,,SILVANA CAVALCANTE,61,ANDRE DA TEO,20,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-08084/2020,https://folhadealagoas.com.br/2020/10/28/dra-silvana-se-aproxima-da-vitoria-em-flexeiras-aponta-pesquisa/,FLEXEIRAS,1,P,1,,,SILVANA CAVALCANTE,"62,5",ANDRE DA TEO,21,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-04038/2020,https://folhadealagoas.com.br/2020/10/28/jorginho-se-aproxima-da-vitoria-em-jundia-aponta-pesquisa/,JUNDIÁ,1,P,1,,,JORGINHO,70,MARIA LUIZA,"18,5",,,,,,,,,,,,,,,,,,,,,,,,,,
AL-04038/2020,https://folhadealagoas.com.br/2020/10/28/jorginho-se-aproxima-da-vitoria-em-jundia-aponta-pesquisa/,JUNDIÁ,1,P,0,,,JORGINHO,"68,5",MARIA LUIZA,"17,5",,,,,,,,,,,,,,,,,,,,,,,,,,
AL-04332/2020,https://www.cidadesdomeubrasil.com.br/al/jundia/noticias,JUNDIÁ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-07557/2020,https://webradiojuventude.com/portal/2020/10/cacau-tem-605-em-marechal-deodoro-aponta-data-sensus/,MARECHAL DEODORO,1,p,0,,,CACAU,"56,4",JUNIOR DAMASO,"26,5",,,,,,,,,,,,,,,,,,,,,,,,,,
AL-07557/2020,https://webradiojuventude.com/portal/2020/10/cacau-tem-605-em-marechal-deodoro-aponta-data-sensus/,MARECHAL DEODORO,1,p,1,,,CACAU,"60,5",JUNIOR DAMASO,"30,2",,,,,,,,,,,,,,,,,,,,,,,,,,
AL-09904/2020,https://folhadealagoas.com.br/2020/11/01/veio-duca-lidera-corrida-eleitoral-em-olivenca-aponta-pesquisa/,OLIVENÇA,1,P,1,,,VEIO DUCA,"56,5",JO,36,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-09904/2020,https://folhadealagoas.com.br/2020/11/01/veio-duca-lidera-corrida-eleitoral-em-olivenca-aponta-pesquisa/,OLIVENÇA,1,P,0,,,VEIO DUCA,"55,5",JO,"34,5",,,,,,,,,,,,,,,,,,,,,,,,,,
AL-04729/2020,https://arapiraca.7segundos.com.br/noticias/2020/10/30/162677-davi-teofilo-tem-46-da-intencao-de-voto-em-taquarana-diz-pesquisa,TAQUARANA,1,P,1,,,DAVI,46,GERALDO CICERO,30,RAFAEL,3,,,,,,,,,,,,,,,,,,,,,,,,
AM-01173/2020,https://emtempo.com.br/politica-amazonas/246819/pesquisa-aponta-reeleicao-de-andreson-cavalcante-em-autazes,AUTAZES,1,P,1,,,ANDERSON CAVALCANTE,56,THOME NETO,21,WANDERLAN BAIXINHO,10,ANDRE CORREA,9,,,,,,,,,,,,,,,,,,,,,,
AL-05877/2020,https://www.cadaminuto.com.br/noticia/2020/10/31/em-taquarana-geraldo-cicero-aparece-com-48-1-das-intencoes-de-voto-enquanto-seu-opositor-davi-teofilo-aparece-apenas-com-42-9-diz-pesquisa,TAQUARANA,1,P,1,,,DAVI,"42,9",GERALDO,"48,1",,,,,,,,,,,,,,,,,,,,,,,,,,
AM-01173/2020,https://emtempo.com.br/politica-amazonas/246819/pesquisa-aponta-reeleicao-de-andreson-cavalcante-em-autazes,AUTAZES,1,P,0,,,ANDERSON CAVALCANTE,49,THOME NETO,19,WANDERLAN BAIXINHO,9,ANDRE CORREA,9,,,,,,,,,,,,,,,,,,,,,,
AM-09019/2020,https://anoticiadoam.com.br/category/politica-mundo/,AUTAZES,1,P,0,,,ANDERSON,"35,5",TOME,20,BAIXINHO,"9,2",,,,,,,,,,,,,,,,,,,,,,,,
AM-09019/2020,https://anoticiadoam.com.br/category/politica-mundo/,AUTAZES,1,P,1,,,ANDERSON,50,THOME NETO,27,WANDERLAN BAIXINHO,13,ANDRE CORREA,3,,,,,,,,,,,,,,,,,,,,,,
AM-09015/2020,https://diretoaopontonews.com.br/amazonas/reeleicao-de-dr-junior-em-jurua-pode-estar-garantida-aponta-pesquisa-eleitoral/,JURUÁ,1,P,,,,DR JUNIOR,"49,3",ILQUE CUNHA,"22,4",TABIRA FERREIRA,"19,7",JADER MOTA,"4,9",,,,,,,,,,,,,,,,,,,,,,
AM-00003/2020,https://www.facebook.com/ayuntamientoarona/posts/3681528188544664,MANAUS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-00983/2020,https://amazonas1.com.br/eleicoes-2020/amazonino-segue-liderando-intencoes-de-voto-para-prefeito-de-manaus/,MANAUS,1,P,,,,AMAZONINO MENDES,"33,2",DAVID ALMEIDA,"14,6",RICARDO NICOLAU,"9,3",JOSE RICARDO,"7,2",CAPITAO ALBERTO,"5,6",CORONEL MENEZES,"4,5",ALFREDO NASCIMENTO,"3,5",CHICO PRETO,1,ROMERO REIS,1,,,,,,,,,,,,
BA-03716/2020,https://sudoesteacontece.com.br/opiniao-pesquisas-em-brumado-eduardo-lidera-com-421-fabricio-202-geraldo-171/,BRUMADO,1,P,1,,,EDUARDO VASCONCELOS,"42,1",FABRICIO ARANTES,"20,2",GERALDO AZEVEDO,"17,1",,,,,,,,,,,,,,,,,,,,,,,,
BA-03716/2020,https://www.agorasudoeste.com.br/noticias/45066-2020/10/29/candidato-a-reeleicao-eduardo-vasconcelos-lidera-pesquisa-de-intencoes-de-voto-para-prefeito-de-brumado,BRUMADO,1,P,0,,,EDUARDO VASCONCELOS,"41,3",FABRICIO ARANTES,"15,4",DR GERALDO,"8,7",,,,,,,,,,,,,,,,,,,,,,,,
BA-03292/2020,https://agenciasertao.com/wp-content/uploads/2020/11/impugnacao-pesquisa-radio-alvorada2.pdf,CAETITÉ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
