tse_id,url,info_uf,info_muni,info_position,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
MA-05325/2020,https://www.carolinaotempo.com.br/noticias/cidade/481580,MA,CAROLINA,Prefeito,1,P,1,,,DR. ERIVELTON,61,GILMA BARROS,17,JAYME DA PIPES,15,,,,,,,,,,,,,,,,,,,,,,,,
MA-05325/2020,https://www.carolinaotempo.com.br/noticias/cidade/481580,MA,CAROLINA,Prefeito,1,P,0,,,DR. ERIVELTON,50,GILMA BARROS,12,JAYME DA PIPES,10,,,,,,,,,,,,,,,,,,,,,,,,
MA-03744/2020,https://hora1news.com/2020/08/18/confirmado-dr-orlando-na-corrida-eleitoral-em-presidente-dutra/,MA,PRESIDENTE DUTRA,Prefeito,1,P,1,,,RAIMUNDINHO,46,BINE,21,DR. ORLANDO,20,LUCAS LORENÇO,1,,,,,,,,,,,,,,,,,,,,,,
MA-01773/2020,https://johncutrim.com.br/escutec-erica-revil-lidera-em-lago-verde/,MA,LAGO VERDE,Prefeito,1,P,1,,,ALEX ALMEIDA,34,ERICA REVIL,33,PROFESSOR OLIVEIRA,12,LAERCIO LIMA,3,,,,,,,,,,,,,,,,,,,,,,
MA-01735/2020,https://www.ma10.com.br/2020/08/22/pesquisa-mostra-cenario-da-disputa-eleitoral-no-municipio-de-coelho-neto/,MA,COELHO NETO,Prefeito,1,P,0,,,BRUNO SILVA,"20,9",AMERICO DE SOUSA,13,ALBINO KLAUBERTH,"2,5",ILSON BAIANO,"2,5",,,,,,,,,,,,,,,,,,,,,,
MA-01735/2020,https://www.ma10.com.br/2020/08/22/pesquisa-mostra-cenario-da-disputa-eleitoral-no-municipio-de-coelho-neto/,MA,COELHO NETO,Prefeito,1,P,1,,,BRUNO SILVA,"45,9",AMERICO DE SOUSA,"18,4",ALBINO KLAUBERTH,"10,1",ILSON BAIANO,"8,5",ANTONIO PIRES,"3,8",,,,,,,,,,,,,,,,,,,,
AM-04700/2020,https://amazonasatual.com.br/mendes-almeida-e-ricardo-se-mantem-na-preferencia-dos-eleitores-de-manaus/,AM,MANAUS,Prefeito,1,P,,,,AMAZONINO MENDES,"27,5",DAVID ALMEIDA,"14,3",JOSE RICARDO,"6,3",ALFREDO NASCIMENTO,"5,8",CAPITAO ALBERTO NETO,"5,7",CORONEL MENEZES,"4,6",MARCOS ROTTA,4,SERAFIM CORREA,"3,9",CONCEIÇÃO SAMPAIO,3,RICARDO NICOLAU,"2,1",CHICO PRETO,"1,5",HISSA ABRAHAO,"1,5",JOSUE NETO,"1,4",,,,
RN-07666/2020,https://novonoticias.com/politica/mossoro-pesquisa-aponta-lideranca-de-rosalba-ameacada-por-alysson-bezerra/,RN,MOSSORÓ,Prefeito,1,P,0,,,ROSALBA CIARLINI,"22,3",ALYSSON BEZERRA,"8,7",CLAUDIA REGINA,"3,7",ISOLDA DANTAS,"3,2",DR. DANIEL SAMPAIO,1,,,,,,,,,,,,,,,,,,,,
RN-07666/2020,https://novonoticias.com/politica/mossoro-pesquisa-aponta-lideranca-de-rosalba-ameacada-por-alysson-bezerra/,RN,MOSSORÓ,Prefeito,1,P,1,,,ROSALBA CIARLINI,"32,5",ALYSSON BEZERRA,20,CLAUDIA REGINA,"14,5",ISOLDA DANTAS,"5,5",DR. DANIEL SAMPAIO,"2,5",GUTEMBERG DIAS,"1,5",IRMÃ CEIÇÃO,1,,,,,,,,,,,,,,,,
BA-07846/2020,https://www.bahianoticias.com.br/noticia/251821-bn-seculus-prefeito-leo-de-neco-e-preferencia-entre-eleitores-de-gandu.html,BA,GANDU,Prefeito,1,P,1,,,LEO DE NECO,"70,22",DJALMA,"13,08",,,,,,,,,,,,,,,,,,,,,,,,,,
BA-07846/2020,https://www.bahianoticias.com.br/noticia/251821-bn-seculus-prefeito-leo-de-neco-e-preferencia-entre-eleitores-de-gandu.html,BA,GANDU,Prefeito,1,P,0,,,LEO DE NECO,"69,01",DJALMA,"10,41",,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00960/2020,https://www.bahianoticias.com.br/noticia/251882-bn-seculus-em-santo-estevao-rogerio-costa-tem-vantagem-pesquisa-espontanea.html,BA,SANTO ESTEVÃO,Prefeito,1,P,1,,,ROGERIO COSTA,"33,64",CARLINHOS DA LM,"36,5",,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00960/2020,https://www.bahianoticias.com.br/noticia/251882-bn-seculus-em-santo-estevao-rogerio-costa-tem-vantagem-pesquisa-espontanea.html,BA,SANTO ESTEVÃO,Prefeito,1,P,0,,,ROGERIO COSTA,"24,44",CARLINHOS DA LM,"17,94",ORLANDO SANTIAGO,"3,56",THIAGO DA CENTRAL,"3,33",HUGO NOGUEIRA,"1,24",,,,,,,,,,,,,,,,,,,,
BA-00358/2020,https://www.bahianoticias.com.br/noticia/251651-bn-seculus-dr-laercio-tem-preferencia-dos-eleitores-de-ibotirama-nas-eleicoes-2020.html,BA,IBOTIRAMA,Prefeito,1,P,0,,,DR. LAERCIO,"41,53",PAULO MARIANO,"22,6",WILSON,"1,41",,,,,,,,,,,,,,,,,,,,,,,,
BA-00358/2020,https://www.bahianoticias.com.br/noticia/251651-bn-seculus-dr-laercio-tem-preferencia-dos-eleitores-de-ibotirama-nas-eleicoes-2020.html,BA,IBOTIRAMA,Prefeito,1,P,1,,,DR. LAERCIO,"47,74",PAULO MARIANO,"26,27",,,,,,,,,,,,,,,,,,,,,,,,,,
BA-06789/2020,https://vozdabahia.com.br/bn-seculos-bahia-lidera-corrida-em-varzedo-e-tem-gestao-aprovada-por-maioria-na-cidade/,BA,VARZEDO,Prefeito,1,P,1,,,BAHIA,"63,16",RADAMAN,"17,54",,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00203/2020,https://www.falabarreiras.com/eleicoes-2020/bn-seculus-prefeito-renatinho-sai-na-frente-em-todos-os-cenarios-em-sta-maria-da-vitoria/,BA,SANTA MARIA DA VITÓRIA,Prefeito,1,P,1,,,RENATINHO,"32,29",TONHO DE AGDONIO,"26,03",PRUDENTE,"9,39",DR. LINO,"7,05",,,,,,,,,,,,,,,,,,,,,,
