tse_id,url,NM_UE,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
BA-08184/2020,https://alertabahia.com.br/pesquisa-registrada-no-tse-aponta-755-de-vantagem-para-reinalldo-goes-em-iuiu/,IUIU,1,P,,,1,REINALDO GOES,"83,5",ALICE PIRES,"16,5",,,,,,,,,,,,,,,,,,,,,,,,,,
BA-08307/2020,https://bahia.ba/eleicoes2020/sivaldo-rios-lidera-disputa-para-prefeito-em-capim-grosso-com-4054-das-intencoes-de-voto/,CAPIM GROSSO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-05805/2020,https://www.bahianoticias.com.br/noticia/254250-pesquisa-eleva-paulo-cezar-e-favorito-na-disputa-pela-prefeitura-em-alagoinhas.html,ALAGOINHAS,1,P,0,,,PAULO CEZAR,"35,9",JOAQUIM NETO,"25,5",RADIOVALDO COSTA,"9,1",EDNALDO SACRAMENTO,1,,,,,,,,,,,,,,,,,,,,,,
BA-05805/2020,https://www.bahianoticias.com.br/noticia/254250-pesquisa-eleva-paulo-cezar-e-favorito-na-disputa-pela-prefeitura-em-alagoinhas.html,ALAGOINHAS,1,P,1,,,PAULO CEZAR,"37,1",JOAQUIM NETO,"26,3",RADIOVALDO COSTA,"9,8",EDNALDO SACRAMENTO,"1,4",,,,,,,,,,,,,,,,,,,,,,
BA-08511/2020,https://www.super9.com.mx/Y_z_I4ZTk3OT/11354292091366/b6bd-eb14ff,ANTÔNIO CARDOSO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-02019/2020,https://www.itecgoi.in/courses_list.php?salt3=0530044ba02019-2020&salt4=36370f5f859&salt=18753c1907209,BAIANÓPOLIS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-06818/2020,https://www.boquiraemacao.com.br/2020/11/boquira-ba-duas-pesquisas-estao.html,BOQUIRA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-04163/2020,https://acheisudoeste.com.br/noticias/2,BRUMADO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-09926/2020,https://www.acheisudoeste.com.br/arquivo/11/2020/1,BRUMADO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-03711/2020,https://www.acheisudoeste.com.br/noticias/44315-2020/11/01/www.redeintersoft.com,CACULÉ,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-03556/2020,https://oxarope.com/noticias/32521/luciano-francisqueto-tem-61-83-das-intencoes-de-voto-em-itabela-aponta-pesquisa-11-11-2020/,ITABELA,1,P,0,,,FRANCISQUETO,"59,67",LELU,"15,83",,,,,,,,,,,,,,,,,,,,,,,,,,
BA-05035/2020,https://acheisudoeste.com.br/noticias/2,CAETITÉ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-05195/2020,https://agenciasertao.com/wp-content/uploads/2020/11/Decisao-pesquisa-caetite-2.pdf,CAETITÉ,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-01937/2020,https://www.tvnbn.com.br/bn-seculus-atual-prefeito-marcelo-e-favorito-na-eleicao-em-governador-mangabeira/,GOVERNADOR MANGABEIRA,1,P,1,,,MARCELO,"49,39",DOMINGAS,"26,84",PIMENTEL,"2,76",EDGAR HENRIQUE,"1,38",,,,,,,,,,,,,,,,,,,,,,
BA-08229/2020,http://atarde.uol.com.br/politica/eleicoes/noticias/2145761-a-tardepotencial-pesquisa-petista-a-frente-da-disputa-eleitoral-em-irara,IRARÁ,1,P,0,,,DERIVALDO,49,JUSCELINO,27,BALY,2,CARLINHOS,1,,,,,,,,,,,,,,,,,,,,,,
BA-04154/2020,https://quersaberpolitica.com.br/2016/instituto-seculus-tem-mais-uma-pesquisa-em-casa-nova-impugnada-e-proibida-de-ser-divulgada/,CASA NOVA,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-01937/2020,https://www.tvnbn.com.br/bn-seculus-atual-prefeito-marcelo-e-favorito-na-eleicao-em-governador-mangabeira/,GOVERNADOR MANGABEIRA,1,P,0,,,MARCELO,"45,4",DOMINGAS,"23,01",PIMENTEL,"1,69",EDGAR HENRIQUE,"1,23",,,,,,,,,,,,,,,,,,,,,,
BA-07823/2020,https://agenciasertao.com/wp-content/uploads/2020/11/PESQUISA.pdf,GUANAMBI,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-08335/2020,https://www.bahianoticias.com.br/noticia/254201-bn-seculus-marcos-galvao-e-favorito-a-reeleicao-em-ibicui.html,IBICUÍ,1,P,0,,,MARCOS GALVAO,"53,78",RONE,"38,65",,,,,,,,,,,,,,,,,,,,,,,,,,
BA-08335/2020,https://www.bahianoticias.com.br/noticia/254201-bn-seculus-marcos-galvao-e-favorito-a-reeleicao-em-ibicui.html,IBICUÍ,1,P,1,,,MARCOS GALVAO,"54,18",RONE,"39,04",,,,,,,,,,,,,,,,,,,,,,,,,,
BA-08229/2020,http://atarde.uol.com.br/politica/eleicoes/noticias/2145761-a-tardepotencial-pesquisa-petista-a-frente-da-disputa-eleitoral-em-irara,IRARÁ,1,P,1,,,DERIVALDO,53,JUSCELINO,30,BALY,2,CARLINHOS,1,,,,,,,,,,,,,,,,,,,,,,
BA-03556/2020,https://oxarope.com/noticias/32521/luciano-francisqueto-tem-61-83-das-intencoes-de-voto-em-itabela-aponta-pesquisa-11-11-2020/,ITABELA,1,P,1,,,LUCIANO,"61,83",LELEU,17,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-09709/2020,http://vermelhinhoba.com.br/2020/11/10/itabuna-tem-disputa-equilibrada-entre-gomes-castro-e-azevedo/,ITABUNA,1,P,0,,,FERNANDO GOMES,"21,78",CAPITAO AZEVEDO,"20,92",AUGUSTO CASTRO,"20,42",DR MANGABEIRA,"6,56",GERALDO SIMOES,"5,82",ISAAC NERY,"3,71",CHALIANE SOUZA,"1,98",,,,,,,,,,,,,,,,
BA-09709/2020,http://vermelhinhoba.com.br/2020/11/10/itabuna-tem-disputa-equilibrada-entre-gomes-castro-e-azevedo/,ITABUNA,1,P,1,,,FERNANDO GOMES,"22,15",CAPITAO AZEVEDO,"21,53",AUGUSTO CASTRO,"21,04",DR MANGABEIRA,"7,18",GERALDO SIMOES,"5,57",ISAAC NERY,"3,47",CHALIANE SOUZA,"2,35",,,,,,,,,,,,,,,,
BA-06941/2020,https://www.politicosdosuldabahia.com.br/v1/2020/11/11/itajuipe-pesquisa-registrada-aponta-vitoria-de-marcone-amaral/,ITAJUÍPE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00954/2020,https://www.augustourgente.com.br/2020/11/tv-bandeirantes-vai-divulgar-pesquisa.html,JACOBINA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-08341/2020,https://www.jaguararionline.com/2020/11/jaguarari-sera-palco-de-mais-uma.html,JAGUARARI,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-08509/2020,https://blogdowalterley.com.br/wp-content/uploads/2020/11/DecisA%CC%83o_SuspensA%CC%83o-Pesquisa_Jaguarari.pdf,JAGUARARI,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-05912/2020,https://www.viroumanchete.com.br/noticia/6137/moema-gramacho-com-mais-de-20-pontos-de-vantagem-sobre-teobaldo-mantem-como-certa-a-vitoria-no-domingo-,LAURO DE FREITAS,1,p,1,,,MOEMA GRAMACHO,44,TEOBALDO COSTA,22,MIRELA MACEDO,11,,,,,,,,,,,,,,,,,,,,,,,,
BA-04994/2020,http://www.politicosdosuldabahia.com.br/v1/page/2/,JEQUIÉ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-05092/2020,https://www.chicosabetudo.com.br/noticia/politica/2020/11/10/anabel-de-tista-lidera-corrida-pela-prefeitura-de-jeremoabo-aponta-pesquisa/,JEREMOABO,1,P,,,,ANABEL DE TISTA,"52,26",DERI DO PALOMA,"36,84",,,,,,,,,,,,,,,,,,,,,,,,,,
BA-05912/2020,https://www.viroumanchete.com.br/noticia/6137/moema-gramacho-com-mais-de-20-pontos-de-vantagem-sobre-teobaldo-mantem-como-certa-a-vitoria-no-domingo-,LAURO DE FREITAS,1,p,0,,,MOEMA GRAMACHO,40,TEOBALDO COSTA,21,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-01868/2020,https://www.acheisudoeste.com.br/arquivo/11/2020/1,LIVRAMENTO DE NOSSA SENHORA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-04484/2020,https://www.acheisudoeste.com.br/arquivo/11/2020/1,LIVRAMENTO DE NOSSA SENHORA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-04535/2020,https://www.acheisudoeste.com.br/,LIVRAMENTO DE NOSSA SENHORA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-03505/2020,https://www.blogdonettomaravilha.com.br/2020/11/bn-seculus-laercio-toma-frente-nas.html,SENHOR DO BONFIM,1,P,1,,,LAERCIO JUNIOR,"43,39",CARLOS BRASILEIRO,"40,21",ALAN KARDECSON,"1,32",,,,,,,,,,,,,,,,,,,,,,,,
BA-06219/2020,https://www.acheisudoeste.com.br/arquivo/11/2020/1,LIVRAMENTO DE NOSSA SENHORA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-07970/2020,https://politicalivre.com.br/2020/11/janio-natal-lidera-corrida-a-prefeitura-de-porto-seguro-com-29-mostra-dataqualy-politica-livre-na-projecao-de-votos-validos-ele-vai-a-384/#gsc.tab=0,PORTO SEGURO,1,P,,,,JANIO NATAL,29,ULDURICO,"19,8",LUIGI ROTUNNO,"17,1",LIVIA BITTENCOURT,"6,2",CHICO CANCELA,"3,5",,,,,,,,,,,,,,,,,,,,
BA-04474/2020,http://atarde.uol.com.br/politica/eleicoes/noticias/2145760-a-tardepotencial-pesquisa-eriksson-lidera-em-ribeira-do-pombal,RIBEIRA DO POMBAL,1,P,1,,,ERIKSON,58,NAY DE ZE GRILO,33,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-03505/2020,https://www.blogdonettomaravilha.com.br/2020/11/bn-seculus-laercio-toma-frente-nas.html,SENHOR DO BONFIM,1,P,0,,,LAERCIO JUNIOR,"43,12",CARLOS BRASILEIRO,"40,08",ALAN KARDECSON,"1,32",,,,,,,,,,,,,,,,,,,,,,,,
BA-09141/2020,https://ubaitabaurgente.com.br/municipios/urucuca/urucuca-moacyr-leite-aparece-com-larga-vantagem-em-pesquisa-eleitoral/,URUÇUCA,1,P,,,,MOACYR LEITE,"50,92",FERNANDA SILVA,"20,97",PAULO BARACHO,"7,15",,,,,,,,,,,,,,,,,,,,,,,,
BA-06887/2020,https://www.acessepolitica.com.br/ze-raimundo-assume-lideranca-em-vitoria-da-conquista-diz-pesquisa/,VITÓRIA DA CONQUISTA,1,P,,,,ZE RAIMUNDO,46,HERZEM GUSMAO,35,DAVID SALOMAO,3,ROMILSON FILHO,1,CABO HERLING,1,,,,,,,,,,,,,,,,,,,,
BA-09989/2020,https://www.bahianoticias.com.br/noticia/254203-bn-seculus-intencoes-de-voto-apontam-marcio-messias-como-favorito-em-lapao.html,LAPÃO,1,P,1,,,MARCIO MESSIAS,"53,25",DIEGO MENDONÇA,"39,5",,,,,,,,,,,,,,,,,,,,,,,,,,
