id_pesq,info_muni,url,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
MS-05465/2020,DEODÁPOLIS,http://inter03.tse.jus.br/dje-rest/rest/downloadDiario?tribunal=MS&numDiario=2477&anoDiario=2020,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-09885/2020,CORUMBÁ,https://mspopular.com.br/noticias/justica-anula-pesquisa-e-condena-responsaveis-a-pagar-multas-por-violacao-da-lei/1025,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-04565/2020,OLINDA,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-08257/2020,RECIFE,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-08779/2020,RECIFE,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-07017/2020,BRASILEIRA,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-03513/2020,CASCAVEL,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RO-02258/2020,PORTO VELHO,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-01111/2020,PORTO DA FOLHA,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-01483/2020,LAGARTO,http://inter03.tse.jus.br/djeRest/rest/downloadDiario?tribunal=SE&numDiario=147&anoDiario=2020,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-02373/2020,LAGARTO,http://www.lagartonoticias.com.br/2020/07/13/justica-suspende-divulgacao-de-mais-uma-pesquisa-em-lagarto/,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-02567/2020,LAGARTO,http://inter03.tse.jus.br/djeRest/rest/downloadDiario?tribunal=SE&numDiario=165&anoDiario=2020,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-03048/2020,LAGARTO,http://inter03.tse.jus.br/djeRest/rest/downloadDiario?tribunal=SE&numDiario=118&anoDiario=2020,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-03451/2020,AQUIDABÃ,https://sergipeemfoco.com.br/v2/noticia/justica-proibe-pesquisa-com-erros-em-aquidaba/24307,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-04260/2020,BARRA DOS COQUEIROS,http://inter03.tse.jus.br/djeRest/rest/downloadDiario?tribunal=SE&numDiario=118&anoDiario=2020,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-05159/2020,LAGARTO,http://inter03.tse.jus.br/djeRest/rest/downloadDiario?tribunal=SE&numDiario=157&anoDiario=2020,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-06473/2020,LAGARTO,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-07089/2020,PIRAMBU,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
