tse_id,url,NM_UE,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
AC-05874/2020,https://www.vozdonorte.com.br/juiz-eleitoral-garante-divulgacao-de-pesquisa-data-control-que-mostra-zequinha-lima-favorito-com-343-e-fagner-sales-com-a-maior-rejeicao-283/,CRUZEIRO DO SUL,1,p,1,,,ZEQUINHA LIMA,"34,3",FAGNER SALES,"28,9",SGT ADONIS,"14,9",,,,,,,,,,,,,,,,,,,,,,,,
AC-05874/2020,https://www.vozdonorte.com.br/data-control-zequinha-lima-lidera-pesquisa-de-intencao-de-votos-com-343-na-estimulada-e-fagner-sales-aparece-com-a-maior-rejeicao/,CRUZEIRO DO SUL,1,P,0,,,ZEQUINHA LIMA,"28,9",FAGNER SALES,"26,5",SGT ADONIS,"10,9",,,,,,,,,,,,,,,,,,,,,,,,
AC-06501/2020,https://www.ac24horas.com/2020/11/03/data-control-abdias-na-frente-com-31-e-junior-e-neia-estao-empatados-tecnicamente/,TARAUACÁ,1,P,1,,,ABDIAS DA FARMACIA,"31,2",JUNIOR FEITOZA,"20,9",MARIA LUCINEIA,"19,6",BATISTA,"14,3",BASTOS VIANA,"1,3",,,,,,,,,,,,,,,,,,,,
AC-06501/2020,https://www.ac24horas.com/2020/11/03/data-control-abdias-na-frente-com-31-e-junior-e-neia-estao-empatados-tecnicamente/,TARAUACÁ,1,P,0,,,ABDIAS DA FARMACIA,"24,6",JUNIOR FEITOZA,"17,9",MARIA LUCINEIA,"14,3",BATISTA,"12,3",BASTOS VIANA,1,,,,,,,,,,,,,,,,,,,,
AL-08531/2020,https://correionoticia.com.br/editoria/eleicoes-2020/pesquisa-indica-eleicao-de-ziane-costa-com-larga-vantagem-sobre-adversarios-em-delmiro/48/28005,DELMIRO GOUVEIA,1,P,1,,,ZIANE COSTA,43,PADRE ERALDO,18,RENATO TORRES,17,SAVIO DA GALERIA,8,GABRIEL VARJAO,1,,,,,,,,,,,,,,,,,,,,
AL-08140/2020,https://www.correiodosmunicipios-al.com.br/2020/11/pesquisa-registrada-no-tre-confirma-vitoria-de-veridiano-em-feira-grande/,FEIRA GRANDE,1,P,1,,,VERIDIANO ALMIR,47,FLAVIO DO CHICO,44,FLAVIO MAURICIO,3,,,,,,,,,,,,,,,,,,,,,,,,
AL-01434/2020,https://boainformacao.com.br/2020/11/pesquisa-aponta-para-reeleicao-de-vera-dantas-em-igreja-nova/amp/,IGREJA NOVA,1,P,,,,VERA DANTAS,53,DR MAURICIO,29,VALERIO BELTRAO,3,DR ERNESTINA,1,,,,,,,,,,,,,,,,,,,,,,
AL-00463/2020,https://www.politica82.com.br/jana-braga/eleicao-de-maceio-tem-a-11-pesquisa-registrada-em-seis-semanas/,MACEIÓ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-08550/2020,https://www.cadaminuto.com.br/noticia/2020/11/06/pesquisa-ibrape-mostra-alfredo-gaspar-com-26-davi-davino-com-24-e-jhc-com-23,MACEIÓ,1,P,1,,,ALFREDO GASPAR,26,DAVI DAVINO,24,JHC,23,CICERO ALMEIDA,4,JOSAN LEITE,2,RICARDO BARBOSA,1,VALERIA CORREIA,1,,,,,,,,,,,,,,,,
AL-07644/2020,https://www.correiodosmunicipios-al.com.br/2020/11/nova-pesquisa-aponta-lideranca-de-marcela-gomes-e-val-santos-em-novo-lino/,NOVO LINO,1,P,1,,,MARCELA GOMES,"52,2",DEDE DE BACURAU,"40,6",,,,,,,,,,,,,,,,,,,,,,,,,,
AL-05171/2020,https://www.italotimoteo.com.br/2020/11/ha-uma-semana-para-eleicoes-ze-dos.html,OLHO D ÁGUA DO CASADO,1,P,,,,ZE DA EMATER,"51,5",ELIO ALENCAR,"38,3",,,,,,,,,,,,,,,,,,,,,,,,,,
AL-05696/2020,https://maragogi.7segundos.com.br/noticias/2020/11/04/162873-pesquisa-ibrape-david-pedrosa-e-lider-isolado-em-porto-calvo,PORTO CALVO,1,P,1,,,DAVID PEDROSA,38,ERONITA SPOSITO,35,ANTONIO CARLOS,5,JEFFERSON RODRIGUES,1,,,,,,,,,,,,,,,,,,,,,,
AL-05696/2020,https://maragogi.7segundos.com.br/noticias/2020/11/04/162873-pesquisa-ibrape-david-pedrosa-e-lider-isolado-em-porto-calvo,PORTO CALVO,1,P,0,,,DAVID PEDROSA,"46,4",ERONITA SPOSITO,"33,2",ANTONIO CARLOS,"4,7",,,,,,,,,,,,,,,,,,,,,,,,
AL-05537/2020,https://www.br104.com.br/eleicoes-2020/pesquisa-ibrape-revela-intencao-de-voto-para-a-prefeitura-de-uniao-dos-palmares/,UNIÃO DOS PALMARES,1,P,1,,,KIL,46,SEBASTIAO DE JESUS,15,ZE ALFREDO,14,TITA,5,CAJU,3,PROF SILVANY,1,,,,,,,,,,,,,,,,,,
AL-05537/2020,https://www.br104.com.br/eleicoes-2020/pesquisa-ibrape-revela-intencao-de-voto-para-a-prefeitura-de-uniao-dos-palmares/,UNIÃO DOS PALMARES,1,P,0,,,KIL,"44,2",SEBASTIAO DE JESUS,"14,3",ZE ALFREDO,"11,9",TITA,"3,8",CAJU,"2,3",,,,,,,,,,,,,,,,,,,,
AM-01343/2020,https://www.facebook.com/nathanmacenna10/videos/3466795546739375/,CAREIRO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
