unnamed: 0,tse_id,url,info_uf,info_muni,info_position,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
,AL-03156/2020,https://www.jornaldealagoas.com.br/municipios/34594/2020/06/10/pesquisa-eleitoral-aponta-vitoria-de-cicero-cavalcante-em-matriz-do-camaragibe,AL,MATRIZ DE CAMARAGIBE,"Prefeito, Vereador",1.0,P,1.0,,,CICERO CAVALCANTE,44,OTAVIO HENRIQUE,17,RAMON DANTAS,15,WASHINGTON MOURA,4,,,,,,,,,,,,,,,,,,,,,,
,AL-03156/2020,https://maragogi.7segundos.com.br/noticias/2020/06/10/172443/prefeitura-de-matriz-do-camaragibe-sera-comanda-por-cicero-cavalcante-ou-pelo-filho-diz-pesquisa.html,AL,MATRIZ DE CAMARAGIBE,"Prefeito, Vereador",1.0,P,1.0,,,FERNANDO CAVALCANTE,36,OTAVIO HENRIQUE,17,RAMON DANTAS,15,WASHINGTON MOURA,4,,,,,,,,,,,,,,,,,,,,,,
,AL-03156/2020,https://maragogi.7segundos.com.br/noticias/2020/06/10/172443/prefeitura-de-matriz-do-camaragibe-sera-comanda-por-cicero-cavalcante-ou-pelo-filho-diz-pesquisa.html,AL,MATRIZ DE CAMARAGIBE,"Prefeito, Vereador",1.0,P,0.0,,,CICERO CAVALCANTE,"26,3",RAMON DANTAS,"7,9",MARQUINHOS,"6,9",OTAVIO HENRIQUE,5,ANDERSON,"3,5",WASHINGTON MOURA,"1,4",,,,,,,,,,,,,,,,,,
,AL-03275/2020,https://folhadealagoas.com.br/2020/05/11/jeane-moura-lidera-pesquisa-em-senador-rui-palmeira/,AL,SENADOR RUI PALMEIRA,"Prefeito, Vereador",1.0,P,1.0,,,JEANE MOURA,69,PADRE,16,ROGERIO AMARAL,3,,,,,,,,,,,,,,,,,,,,,,,,
,AL-03275/2020,https://folhadealagoas.com.br/2020/05/11/jeane-moura-lidera-pesquisa-em-senador-rui-palmeira/,AL,SENADOR RUI PALMEIRA,"Prefeito, Vereador",1.0,P,0.0,,,JEANE MOURA,60,PADRE,12,ROGERIO AMARAL,"1,75",,,,,,,,,,,,,,,,,,,,,,,,
,AL-03728/2020,https://folhadealagoas.com.br/2020/04/28/dalminho-lidera-pesquisa-para-prefeito-de-belo-monte/,AL,BELO MONTE,"Prefeito, Vereador",1.0,P,1.0,,,DALMINHO,58,ANTONIO CINTRA,"23,25",,,,,,,,,,,,,,,,,,,,,,,,,,
,AL-03728/2020,https://folhadealagoas.com.br/2020/04/28/dalminho-lidera-pesquisa-para-prefeito-de-belo-monte/,AL,BELO MONTE,"Prefeito, Vereador",1.0,P,0.0,,,DALMINHO,"43,25",ANTONIO CINTRA,20,AVANIO FEITOSA,5,VAL SANTANA,"2,25",,,,,,,,,,,,,,,,,,,,,,
,AL-06204/2020,https://www.alagoasnoticias.com.br/politica,AL,SÃO LUÍS DO QUITUNDE,"Prefeito, Vereador",1.0,P,1.0,,,FERNANDA CAVALCANTE,66,JUNIOR PEDRO,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,AL-06204/2020,https://maragogi.7segundos.com.br/noticias/2020/06/09/172333/ibrape-mostra-fernanda-cavalcante-com-83-de-aprovacao-em-sao-luiz-do-quitunde.html,AL,SÃO LUÍS DO QUITUNDE,"Prefeito, Vereador",1.0,P,0.0,,,FERNANDA CAVALCANTE,"45,1",JUNIOR PEDRO,"9,6",CICERO CAVALCANTE,"1,7",,,,,,,,,,,,,,,,,,,,,,,,
,AL-06765/2020,https://www.cadaminuto.com.br/noticia/2020/05/10/pesquisa-eleitoral-mostra-cenario-favoravel-a-reeleicao-em-carneiros-confira,AL,CARNEIROS,"Prefeito, Vereador",1.0,P,1.0,,,GERALDO FILHO,78,GENIVALDO AGRA,7,RONI,4,,,,,,,,,,,,,,,,,,,,,,,,
