"ANO_ELEICAO","NUM_TURNO","COD_MUN_TSE","SIGLA_UE","CODIGO_CARGO","NUMERO_CANDIDATO","QTDE_VOTOS"
"2016","1","43494","43494","11","31","1201"
"2016","1","53473","53473","11","14","1558"
"2016","1","51810","51810","11","11","1315"
"2016","1","52574",,"11","95","216"
"2016","1","51438","51438","11","27","470"
"2016","1","45691","45691","11","22","976"
"2016","1","45292","45292","11","13","2350"
"2016","1","53112",,"11","95","18"
"2016","1","41548","41548","11","25","2454"
"2016","1","40630","40630","11","12","1089"
"2016","1","47015","47015","11","54","584"
"2016","1","53112",,"11","96","76"
"2016","1","54054","54054","11","14","1307"
"2016","1","42048","42048","11","11","1443"
"2016","1","47970","47970","11","55","2375"
"2016","1","53490",,"11","96","89"
"2016","1","52655","52655","11","45","1272"
"2016","1","44571","44571","11","23","2591"
"2016","1","44490","44490","11","15","1010"
"2016","1","40878",,"11","95","14"
"2016","1","53171","53171","11","14","1185"
"2016","1","40339","40339","11","43","213"
"2016","1","45390","45390","11","45","2677"
"2016","1","40380",,"11","96","276"
"2016","1","54372","54372","11","20","3412"
"2016","1","46396","46396","11","10","2342"
"2016","1","46094","46094","11","13","1991"
"2016","1","40703",,"11","95","57"
"2016","1","53872","53872","11","55","20584"
"2016","1","47252","47252","11","25","11983"
"2016","1","40576","40576","11","45","2887"
"2016","1","40703",,"11","96","160"
"2016","1","51195","51195","11","45","2152"
"2016","1","48178","48178","11","45","6489"
"2016","1","45551","45551","11","31","387"
"2016","1","43753",,"11","96","852"
"2016","1","52159","52159","11","14","1049"
"2016","1","45217","45217","11","13","5706"
"2016","1","50415","50415","11","25","630"
"2016","1","45330",,"11","96","1058"
"2016","1","49239","49239","11","23","103"
"2016","1","44750","44750","11","55","1891"
"2016","1","44997","44997","11","25","1653"
"2016","1","41203",,"11","96","183"
"2016","1","43354","43354","11","23","707"
"2016","1","44733","44733","11","15","2586"
"2016","1","40924","40924","11","55","1596"
"2016","1","45314",,"11","95","46"
"2016","1","50156","50156","11","15","3484"
"2016","1","46493","46493","11","10","648"
"2016","1","03131","03131","11","36","17"
"2016","1","53775","53775","11","15","3382"
"2016","1","42013","42013","11","55","1618"
"2016","1","03018","03018","11","43","2228"
"2016","1","03069","03069","11","11","1720"
"2016","1","49611","49611","11","45","1756"
"2016","1","44059","44059","11","15","2473"
"2016","1","03123","03123","11","10","2671"
"2016","1","03018","03018","11","25","3951"
"2016","1","43630","43630","11","15","1296"
"2016","1","47350","47350","11","10","512"
"2016","1","03131","03131","11","23","1160"
"2012","1","03077","03077","11","15","1160"
"2016","1","40274","40274","11","11","1503"
"2016","1","41750","41750","11","31","1192"
"2012","1","03158","03158","11","55","1587"
"2012","1","03085","03085","11","45","4556"
"2016","1","47198","47198","11","43","55"
"2016","1","51594","51594","11","35","673"
"2016","1","06084","06084","11","27","2062"
"2012","1","03050","03050","11","22","2024"
"2016","1","53333","53333","11","10","1683"
"2016","1","04740","04740","11","15","3731"
"2012","1","06157","06157","11","13","21589"
"2016","1","06092","06092","11","40","945"
"2016","1","41335","41335","11","21","606"
"2016","1","04022","04022","11","55","364"
"2012","1","06173","06173","11","70","2465"
"2016","1","06068","06068","11","13","939"
"2016","1","42617","42617","11","15","1128"
"2016","1","04260","04260","11","20","2896"
"2012","1","06157","06157","11","44","559"
"2016","1","06025","06025","11","55","2095"
"2016","1","46930","46930","11","10","4381"
"2016","1","05673","05673","11","15","23428"
"2012","1","00604","00604","11","27","1199"
"2012","1","06106","06106","11","50","188"
"2016","1","44474","44474","11","14","3293"
"2016","1","05916","05916","11","23","5157"
"2012","1","00787","00787","11","12","646"
"2012","1","00582","00582","11","15","2928"
"2016","1","43010","43010","11","12","523"
"2016","1","05835","05835","11","28","2226"
"2012","1","00116","00116","11","11","3766"
"2012","1","00175","00175","11","55","15914"
"2016","1","41874","41874","11","40","2950"
"2016","1","05231","05231","11","12","5654"
"2012","1","00191","00191","11","13","4876"
"2016","1","31330","31330","11","15","4086"
"2016","1","40312","40312","11","25","14896"
"2016","1","04359","04359","11","15","17268"
"2012","1","00736","00736","11","13","1253"
"2016","1","31593","31593","11","77","563"
"2016","1","45837","45837","11","31","280"
"2016","1","04006","04006","11","15","7780"
"2012","1","00531","00531","11","27","979"
