tse_id,SG_UF,NM_UE,DS_CARGOS,util,url,ambito,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12
"""RN-02501/2022""",RN,RIO GRANDE DO NORTE,"Governador, Deputado Estadual, Deputado Federal, Senador",1,https://98fmnatal.com.br/ultimas/fatima-tem-3324-fabio-dantas-1512-e-styvenson-1412-em-pesquisa-sistema-ponta-negra-consult/,RN,g,1,,,Fátima Bezerra ,33.24,Fábio Dantas ,15.12,Styvenson Valentim,14.12,Daniel Morais,0.35,Rosália Fernandes,0.35,Clorisa Linhares,0.29,,,,,,,,,,,,
"""RN-02501/2022""",RN,RIO GRANDE DO NORTE,"Governador, Deputado Estadual, Deputado Federal, Senador",1,https://98fmnatal.com.br/ultimas/fatima-tem-3324-fabio-dantas-1512-e-styvenson-1412-em-pesquisa-sistema-ponta-negra-consult/,RN,g,0,,,Fátima Bezerra ,19.65,Fábio Dantas ,7.71,Styvenson Valentim,4.41,,,,,,,,,,,,,,,,,,
"""RN-02501/2022""",RN,RIO GRANDE DO NORTE,"Governador, Deputado Estadual, Deputado Federal, Senador",1,https://98fmnatal.com.br/ultimas/senado-pesquisa-aponta-empate-tecnico-entre-carlos-eduardo-e-rogerio-marinho/,RN,s,1,,,Carlos Eduardo,"23,71",Rogério Marinho,"21,59",Rafael Motta,"7,18",Ney Lopes,"2,76",Freitas Júnior,"1,18",,,,,,,,,,,,,,
"""RN-02501/2022""",RN,RIO GRANDE DO NORTE,"Governador, Deputado Estadual, Deputado Federal, Senador",1,https://98fmnatal.com.br/ultimas/senado-pesquisa-aponta-empate-tecnico-entre-carlos-eduardo-e-rogerio-marinho/,RN,s,0,,,Rogerio Marinho,"11,65",Carlos Eduardo,"7,29",Rafael Motta,"2,29",,,,,,,,,,,,,,,,,,
"""RN-03026/2022""",RN,RIO GRANDE DO NORTE,"Governador, Deputado Estadual, Deputado Federal, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""RN-09166/2022""",RN,RIO GRANDE DO NORTE,"Senador, Deputado Estadual, Deputado Federal, Governador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""RS-07079/2022""",RS,RIO GRANDE DO SUL,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-05378/2022,SE,SERGIPE,"Governador, Senador",1,http://www.sergipenoticias.com/politica/2022/07/25790/pesquisa-eleitoral-inedita-em-sergipe.html,SE,G,0,,,Valmir de Francisquinho,16,Fábio Mitidieri,7.5,Rogério Carvalho,"6,9",Delegado Alessandro,"3,8",João Fontes,"1,1",Emília Correia,"0,7",,,,,,,,,,,,
SE-05378/2022,SE,SERGIPE,"Governador, Senador",1,http://www.sergipenoticias.com/politica/2022/07/25790/pesquisa-eleitoral-inedita-em-sergipe.html,SE,G,1,,,Delegado Alessandro,"15,4",Fábio Mitidieri,"15,1",Rogério Carvalho,14,João Fontes,"3,6",Emanuel Franco,"1,5",Dr Cláudio Geriatra,"1,1",,,,,,,,,,,,
SE-05378/2022,SE,SERGIPE,"Governador, Senador",1,http://www.sergipenoticias.com/politica/2022/07/25790/pesquisa-eleitoral-inedita-em-sergipe.html,SE,S,1,,,Delegada Danielle Garcia,"20,8",Valadares Filho ,"11,5",Eduardo Amorim ,"10,5",Jackson Barreto,"7,9",Laércio Oliveira ,"5,7",Mendonça Prado ,"2,1",Luizão Dona Tramp ,"1,6",Adelson Alves ,"1,5",,,,,,,,
SE-05378/2022,SE,SERGIPE,"Governador, Senador",1,http://www.sergipenoticias.com/politica/2022/07/25790/pesquisa-eleitoral-inedita-em-sergipe.html,SE,S,0,,,Delegada Danielle Garcia,"5,7",Valadares Filho ,"4,4",Eduardo Amorim ,"4,2",Jackson Barreto,3,Laércio Oliveira ,"2,2",Mendonça Prado ,"0,7",,,,,,,,,,,,
"""SE-06725/2022""",SE,SERGIPE,"Governador, Deputado Estadual, Deputado Federal, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""SP-02523/2022""",SP,SÃO PAULO,Governador,1,https://g1.globo.com/sp/sao-paulo/eleicoes/2022/noticia/2022/06/30/pesquisa-datafolha-em-sao-paulo-haddad-28percent-franca-16percent-tarcisio-12percent-garcia-10percent.ghtml,SP,g,1,,,Fernando Haddad,28,Márcio França,16,Tarcísio,12,Rodrigo Garcia,10,Felício Ramuth,2,Gabriel Colombo,2,Vinicius Poit,1,Abraham Weintraub,1,Altino Junior,1,Elvis Cezar,1,,,,
"""SP-02523/2022""",SP,SÃO PAULO,Governador,1,https://g1.globo.com/sp/sao-paulo/eleicoes/2022/noticia/2022/06/30/pesquisa-datafolha-em-sao-paulo-haddad-28percent-franca-16percent-tarcisio-12percent-garcia-10percent.ghtml,SP,g,0,,,Haddad,6,Tarcísio,6,França,2,Rodrigo Garcia,2,PT,1,,,,,,,,,,,,,,
"""SP-05624/2022""",SP,SÃO PAULO,Governador,1,https://tucano.org.br/rodrigo-garcia-lidera-intencao-de-voto-dos-rio-pretenses-com-24/,M,g,1,,,Rodrigo,24,Haddad,18,Tarcísio,"15,5",França,"13,8",Vinicius Poit,"1,9",Altino,"1,3",,,,,,,,,,,,
"""SP-08345/2022""",SP,SÃO PAULO,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""SP-08846/2022""",SP,SÃO PAULO,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""TO-03294/2022""",TO,TOCANTINS,"Governador, Senador",0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
"""TO-04883/2022""",TO,TOCANTINS,"Senador, Governador",1,https://www.ogirassol.com.br/politica/pesquisa-o-girassol-mostra-cenario-favoravel-para-reeleicao-do-governador-wanderlei-barbosa-que-aparece-em-primeiro-lugar-com-335-seguido-de-ronaldo-dimas-com-205,TO,g,1,,,Wanderlei Barbosa,"33,5",Ronaldo Dimas,"20,5",Paulo Mourão,"12,6",Osires Damaso,"7,5",,,,,,,,,,,,,,,,
"""TO-04883/2022""",TO,TOCANTINS,"Senador, Governador",1,https://www.ogirassol.com.br/politica/pesquisa-o-girassol-mostra-cenario-favoravel-para-reeleicao-do-governador-wanderlei-barbosa-que-aparece-em-primeiro-lugar-com-335-seguido-de-ronaldo-dimas-com-205,TO,s,1,,,Kátia Abreu,"27,8",Dorinha,"21,5",Vanderlei Luxemburgo,"7,5",Mauro Carlesse,"5,5",Ataídes Oliveira,"6,5",,,,,,,,,,,,,,
"""TO-09536/2022""",TO,TOCANTINS,"Senador, Deputado Federal, Governador",1,https://jmnoticia.com.br/pesquisa-wanderlei-barbosa-lidera-nas-intencoes-de-votos-em-dois-cenarios/,TO,g,1,,,Paulo Mourão,11,Wanderlei Barbosa,31,Ronaldo Dimas,19,Osires Damaso,10,,,,,,,,,,,,,,,,
"""TO-09536/2022""",TO,TOCANTINS,"Senador, Deputado Federal, Governador",1,https://portalstylo.com.br/noticia-1508587857-katia-abreu-lidera-corrida-para-o-senado,TO,s,1,,,Kátia Abreu,26,Dorinha,22,Vanderlei Luxemburgo,12,Ataídes Oliveira,11,,,,,,,,,,,,,,,,
