tse_id,SG_UF,NM_UE,DS_CARGOS,util,url,ambito,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12
"""PI-09450/2022""",PI,PIAUÍ,"Governador, Senador, Deputado Federal, Deputado Estadual",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""PR-02203/2022""",PR,PARANÁ,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""PR-08853/2022""",PR,PARANÁ,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""RJ-03908/2022""",RJ,RIO DE JANEIRO,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""RN-05706/2022""",RN,RIO GRANDE DO NORTE,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""RN-08955/2022""",RN,RIO GRANDE DO NORTE,"Governador, Senador, Deputado Federal, Deputado Estadual, Deputado Distrital",1,https://98fmnatal.com.br/destaque_right/fatima-tem-43-styvenson-20-e-fabio-dantas-17-aponta-pesquisa-item/,RN,g,1,,,Fátima Bezerra,43,Capitão Styenson,20,Fábio Dantas,17,Clorisa Linhares,"2,5",Danniel Morais,1,Rodrigo Vieira,1,Antônio Bento,"0,5",,,,,,,,,,
"""RN-08955/2022""",RN,RIO GRANDE DO NORTE,"Governador, Senador, Deputado Federal, Deputado Estadual, Deputado Distrital",1,https://98fmnatal.com.br/ultimas/no-rn-lula-tem-53-e-bolsonaro-29-aponta-pesquisa-item-para-presidente/,RN,s,1,,,Rogério Marinho,"23,5",Carlos Eduardo Alves,"22,5",Rafael Motta,"17,5",Freitas Júnior,2,Pastor Silvestre,2,Geraldo Pinheiro,"1,5",Veterinária Shirlei Medeiros,1,Dário Barbosa,"0,5",,,,,,,,
"""RO-05595/2022""",RO,RONDÔNIA,"Governador, Senador, Deputado Federal, Deputado Estadual",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""RO-07680/2022""",RO,RONDÔNIA,"Governador, Senador, Deputado Federal, Deputado Estadual",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""RR-00519/2022""",RR,RORAIMA,"Deputado Federal, Deputado Estadual",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""RR-05037/2022""",RR,RORAIMA,"Governador, Senador, Deputado Federal, Deputado Estadual",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""RS-03344/2022""",RS,RIO GRANDE DO SUL,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""RS-04302/2022""",RS,RIO GRANDE DO SUL,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""RS-08690/2022""",RS,RIO GRANDE DO SUL,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""SC-02939/2022""",SC,SANTA CATARINA,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""SC-05493/2022""",SC,SANTA CATARINA,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""SP-03036/2022""",SP,SÃO PAULO,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""SP-03599/2022""",SP,SÃO PAULO,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""SP-04685/2022""",SP,SÃO PAULO,"Governador, Senador",1,https://www.bol.uol.com.br/noticias/2022/09/08/pesquisa-quaest-senado-sao-paulo-setembro.htm,SP,s,0,,,marcio frança,5,marcos pontes,6,,,,,,,,,,,,,,,,,,,,
"""SP-04685/2022""",SP,SÃO PAULO,"Governador, Senador",1,https://www.cnnbrasil.com.br/politica/pesquisa-quaest-em-sao-paulo-haddad-tem-33-tarcisio-20-e-rodrigo-15/,SP,g,1,,,fernando haddad,33,tarcisio de freitas,20,rodrigo garcia,15,carol vigliar,2,antonio jorge,1,gabriel colombo,1,vinicius poit,1,,,,,,,,,,
"""SP-04685/2022""",SP,SÃO PAULO,"Governador, Senador",1,https://www.bol.uol.com.br/noticias/2022/09/08/pesquisa-quaest-senado-sao-paulo-setembro.htm,SP,s,1,,,marcio frança,25,marcos pontes,23,janaina paschoal,7,edson aparecido,2,aldo rebelo,2,vivian mendes,1,ricardo mellao,1,tito bellini,1,antonio carlos,1,,,,,,
"""SP-09627/2022""",SP,SÃO PAULO,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""TO-03664/2022""",TO,TOCANTINS,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""TO-07074/2022""",TO,TOCANTINS,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
