"candidate","SG_UE","CD_CARGO",NUMERO_CANDIDATO
"CESAR SILVESTRI FILHO","PR",3,45
"FLAVIO ARNS","PR",3,19
"RATINHO JUNIOR","PR",3,55
"ROBERTO REQUIAO","PR",3,13
FILIPE BARROS,PR,3,22
SOLANGE FERREIRA BUENO,PR,3,33

"ANTHONY GAROTINHO","RJ",3,44
"CLAUDIO CASTRO","RJ",3,22
"CYRO GARCIA","RJ",3,16
"EDUARDO SERRA","RJ",3,21
"FELIPE SANTA CRUZ","RJ",3,55
"MARCELO FREIXO","RJ",3,40
"PAULO GANIME","RJ",3,30
"RODRIGO NEVES","RJ",3,12
"EMIR LARANGEIRA",RJ,3,35

"BRENO QUEIROGA","RN",3,77
"CLORISA LINHARES","RN",3,35
"DANIEL MORAIS","RN",3,50
"FABIO DANTAS","RN",3,77
"FATIMA BEZERRA","RN",3,13
"ROSALIA FERNANDES","RN",3,16
"STYVENSON VALENTIM","RN",3,19

"ANCELMO JESUS","RO",3,13
"CONFUCIO MOURA","RO",3,15
"DANIEL PEREIRA","RO",3,77
"IVO CASSOL","RO",3,11
"LEO MORAIS","RO",3,19
"MARCOS ROCHA","RO",3,44
"MARCOS ROGERIO","RO",3,22
"PIMENTA RONDONIA","RO",3,50
"VINICIUS MIGUEL","RO",3,40

"ANTONIO DENARIUM","RR",3,11
"FABIO ALMEIDA","RR",3,50
"PASTOR ISAMAR RAMALHO","RR",3,20
"TERESA SURITA","RR",3,15
JURACI FRANCISCO DOS SANTOS,RR,3,12
PETRONIO ARAUJO,RR,3,14
RUDSON LEITE,RR,3,43

"BETO ALBUQUERQUE","RS",3,40
"EDEGAR PRETTO","RS",3,13
"EDUARDO LEITE","RS",3,45
"GABRIEL SOUZA","RS",3,15
"LUIZ CARLOS HEINZE","RS",3,11
MARCO DELLA NINA,RS,3,51
"ONYX LORENZONI","RS",3,22
"PEDRO RUAS","RS",3,50
"ROBERTO ARGENTA","RS",3,20
RICARDO JOBIM,RS,3,30

"ANTIDIO LUNELLI","SC",3,15
"CARLOS MOISES","SC",3,10
"DECIO LIMA","SC",3,13
"ESPIRIDIAO AMIN","SC",3,11
FERNANDO CORUJA,SC,3,12
"GEAN LOUREIRO","SC",3,44
"JORGINHO MELLO","SC",3,22
"ODAIR TRAMONTIN","SC",3,30

"ALESSANDRO VIEIRA","SE",3,45
"FABIO MITIDIERI","SE",3,55
"ROGERIO CARVALHO","SE",3,13
"VALMIR DE FRANCISQUINHO","SE",3,22
"ANTONIO CLAUDIO NEVES",SE,3,27
ELINOS SABINO,SE,3,16
JOAO FONTES,SE,3,14

"ABRAHAM WEINTRAUB","SP",3,35
"ALTINO JUNIOR","SP",3,16
"ELVIS CEZAR","SP",3,12
"FELICIO RAMUTH","SP",3,55
"FERNANDO HADDAD","SP",3,13
"MARCIO FRANCA","SP",3,40
"RODRIGO GARCIA","SP",3,45
"TARCISIO DE FREITAS","SP",3,10
"VINICIUS POIT","SP",3,30
"GABRIEL COLOMBO","SP",3,21

"ATAIDES OLIVEIRA","TO",3,90
"LAUREZ MOREIRA","TO",3,12
"OSIRES DAMASO","TO",3,20
"PAULO MOURAO","TO",3,13
"RONALDO DIMAS","TO",3,22
"WANDERLEI BARBOSA","TO",3,10
