tse_id,SG_UF,NM_UE,DS_CARGOS,util,url,position,ambito,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12
"""AL-08391/2022""",AL,ALAGOAS,"Governador, Senador",1,https://www.jornaldealagoas.com.br/politica/2022/05/26/8518-davi-filho-tem-255-das-intencoes-de-voto-para-o-senado-em-maceio-aponta-pesquisa,s,M,,,,Davi Davino Filho,"25,5",Renan Filho,"22,5",Fernando Collor,17,Mário Agra,2,,,,,,,,,,,,,,,,
"""AL-08391/2022""",AL,ALAGOAS,"Governador, Senador",1,https://www.cadaminuto.com.br/noticia/2022/05/25/eleicoes-pesquisa-realizada-em-maceio-mostra-intencoes-de-votos-para-governo-senado-presidencia-camara-e-ale,g,M,,,,Rodrigo Cunha,"26,5",Rui Palmeira,"25,5",Paulo Dantas,"8,5",,,,,,,,,,,,,,,,,,
"""AM-08346/2022""",AM,AMAZONAS,Governador,1,https://fatoamazonico.com.br/nova-pesquisa-de-intencao-de-votos-confirma-crescimento-de-wilson-lima-a-diferenca-entre-amazonino-e-de-apenas-3/,g,AM,1,,,Amazonino Mendes,"29,5",Wilson Lima,"26,1",Eduardo Braga,"17,3",Ricardo Nicolau,"4,9",Carol Braz,"3,4",Henrique Oliveira,"2,6",,,,,,,,,,,,
"""AM-08799/2022""",AM,AMAZONAS,"Governador, Deputado Distrital, Deputado Estadual, Deputado Federal, Senador",1,https://www.estadopolitico.com.br/idp-aponta-lideranca-de-amazonino-na-corrida-eleitoral-seguido-por-braga-e-wilson/,g,AM,1,,,Amazonino Mendes,"40,1",Eduardo Braga,"20,3",Wilson Lima,"16,6",Ricardo Nicolau,"5,9",Carol Braz,"5,8",,,,,,,,,,,,,,
"""AM-08799/2022""",AM,AMAZONAS,"Governador, Deputado Distrital, Deputado Estadual, Deputado Federal, Senador",1,https://diaadianoticia.com.br/arthur-neto-amplia-margem-de-intencao-de-votos-para-o-senado-em-nova-pesquisa-eleitoral/,s,AM,1,,,Arthur Virgílio Neto,"31,3",Omar Aziz,20,Coronel Menezes,"17,6",,,,,,,,,,,,,,,,,,
"""AM-08931/2022""",AM,AMAZONAS,Governador,1,https://s3.amazonaws.com/img.portalmarcossantos.com.br/wp-content/uploads/2022/06/06191942/PESQ.-GERAL-25.04-a-05.05.2022-MAO-12-MUN.-Sem-incoerencias-Para-Divulgac%CC%A7a%CC%83o.pdf,g,AM,0,,,Wilson,"22,7",Amazonino,"22,`1",Eduardo Braga,"14,8",Carol,"2,4",Plinio,"1,8",Nicolau,"1,6",Henrique,"1,6",,,,,,,,,,
"""AM-08931/2022""",AM,AMAZONAS,Governador,1,https://s3.amazonaws.com/img.portalmarcossantos.com.br/wp-content/uploads/2022/06/06191942/PESQ.-GERAL-25.04-a-05.05.2022-MAO-12-MUN.-Sem-incoerencias-Para-Divulgac%CC%A7a%CC%83o.pdf,g,AM,1,,,Amazonino Mendes,29,Wilson Lima,"28,1",Eduardo Braga,"19,2",Carol,"3,6",Nicolau,3,Plinio,"2,8",Henrique,"2,5",,,,,,,,,,
"""AP-09842/2022""",AP,AMAPÁ,"Senador, Governador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BA-01168/2022""",BA,BAHIA,"Governador, Senador",1,https://www.uol.com.br/eleicoes/2022/06/09/real-time-big-data-bahia.htm,g,BA,1,,,ACM Neto,56,Jerônimo,18,João Roma,10,Kleber Rosa,1,,,,,,,,,,,,,,,,
"""BA-01168/2022""",BA,BAHIA,"Governador, Senador",1,https://www.uol.com.br/eleicoes/2022/06/09/real-time-big-data-bahia.htm,g,BA,0,,,ACM Neto,21,Jerônimo,6,João Roma,5,,,,,,,,,,,,,,,,,,
"""BA-01168/2022""",BA,BAHIA,"Governador, Senador",1,https://www.uol.com.br/eleicoes/2022/06/09/real-time-big-data-bahia.htm,s,BA,1,,,Otto Alencar,29,Dra. Raíssa Soares,11,Cacá Leão,6,Tâmara Azevedo,5,,,,,,,,,,,,,,,,
"""BA-01168/2022""",BA,BAHIA,"Governador, Senador",1,https://www.uol.com.br/eleicoes/2022/06/09/real-time-big-data-bahia.htm,s,BA,0,,,Otto Alencar,7,Dra. Raíssa Soares,4,Cacá Leão,2,Jaques Wagner,1,,,,,,,,,,,,,,,,
"""BA-03239/2022""",BA,BAHIA,"Governador, Senador",1,https://www.uol.com.br/eleicoes/2022/05/18/pesquisa-genial-quaest-senado-bahia-18-de-maio.htm,s,BA,1,,,Otto Alencar,34,Nilo,9,Cacá Leão,8,Dra. Raíssa Soares,6,Tâmara,3,,,,,,,,,,,,,,
"""BA-03239/2022""",BA,BAHIA,"Governador, Senador",1,https://www.uol.com.br/eleicoes/2022/05/18/pesquisa-genial-quaest-senado-bahia-18-de-maio.htm,s,BA,0,,,Otto Alencar,3,Dra. Raíssa Soares,1,,,,,,,,,,,,,,,,,,,,
"""BA-03239/2022""",BA,BAHIA,"Governador, Senador",1,https://www.uol.com.br/eleicoes/2022/05/18/pesquisa-genial-quaest-governo-bahia-18-de-maio.htm,g,BA,0,,,ACM Neto,13,Jerônimo,3,João Roma,3,,,,,,,,,,,,,,,,,,
"""BA-03239/2022""",BA,BAHIA,"Governador, Senador",1,https://www.uol.com.br/eleicoes/2022/05/18/pesquisa-genial-quaest-governo-bahia-18-de-maio.htm,g,BA,1,,,ACM Neto,67,Jerônimo,6,João Roma,5,Rosa,1,,,,,,,,,,,,,,,,
"""BA-04791/2022""",BA,BAHIA,"Governador, Senador",1,https://jornalzero75.com.br/2022/05/01/com-folga-acm-neto-lidera-intencao-de-votos-do-eleitorado-cruzalmense/,g,M,1,,,ACM Neto,"59,78",Jerônimo,"11,56",João Roma,"7,33",,,,,,,,,,,,,,,,,,
"""BA-05997/2022""",BA,BAHIA,"Governador, Senador",1,https://deolhonacidade.net/pesquisa-informe-baiano-seculus-para-o-senado-otto-alencar-lidera-com-caca-leao-em-segundo-lugar%EF%BF%BC%EF%BF%BC/,s,BA,1,,,Otto Alencar,"26,21",Cacá Leão,"9,50",Raíssa Soares,"8,19",Tâmara Azevedo,"2,03",,,,,,,,,,,,,,,,
"""BA-05997/2022""",BA,BAHIA,"Governador, Senador",1,https://www.correio24horas.com.br/noticia/nid/acm-neto-lidera-nova-pesquisa-eleitoral-em-todos-os-cenarios/,g,BA,1,,,ACM Neto,"60,55",Jerônimo,"12,19",João Roma,"7,14",,,,,,,,,,,,,,,,,,
"""BA-05997/2022""",BA,BAHIA,"Governador, Senador",1,https://www.correio24horas.com.br/noticia/nid/acm-neto-lidera-nova-pesquisa-eleitoral-em-todos-os-cenarios/,g,BA,0,,,ACM Neto,"40,04",Jerônimo,"8,26",João Roma,"5,44",,,,,,,,,,,,,,,,,,
"""BA-06101/2022""",BA,BAHIA,"Governador, Senador",1,https://www.uol.com.br/eleicoes/2022/05/17/real-time-big-data-governo-bahia-17-de-maio.htm,g,BA,1,,,ACM Neto,55,Jerônimo,18,João Roma,10,Kleber Rosa,1,,,,,,,,,,,,,,,,
"""BA-06101/2022""",BA,BAHIA,"Governador, Senador",1,https://www.uol.com.br/eleicoes/2022/05/17/real-time-big-data-governo-bahia-17-de-maio.htm,g,BA,0,,,ACM Neto,20,Jerônimo,6,João Roma,5,,,,,,,,,,,,,,,,,,
"""BA-06101/2022""",BA,BAHIA,"Governador, Senador",1,https://www.uol.com.br/eleicoes/2022/05/17/real-time-big-data-governo-bahia-17-de-maio.htm,s,BA,1,,,Otto Alencar,30,Dra. Raíssa Soares,10,Cacá Leão,6,Tâmara Azevedo,4,,,,,,,,,,,,,,,,
"""BA-06101/2022""",BA,BAHIA,"Governador, Senador",1,https://www.uol.com.br/eleicoes/2022/05/17/real-time-big-data-governo-bahia-17-de-maio.htm,s,BA,0,,,Otto Alencar,7,Dra. Raíssa Soares,3,Cacá Leão,2,Jaques Wagner,1,,,,,,,,,,,,,,,,
"""BR-00123/2022""",BR,BRASIL,Presidente,1,https://multimidia.gazetadopovo.com.br/media/docs/1654544303_pesquisa-gerp-junho-presidente.pdf,pr,BR,0,,,Bolsonaro,31,Lula,28,Ciro Gomes,1,,,,,,,,,,,,,,,,,,
"""BR-00123/2022""",BR,BRASIL,Presidente,1,https://multimidia.gazetadopovo.com.br/media/docs/1654544303_pesquisa-gerp-junho-presidente.pdf,pr,BR,1,,,Lula,39,Bolsonaro,37,Ciro Gomes,7,André Janones,3,Michel Temer,2,Simone Tebet,2,Leonardo Péricles,1,,,,,,,,,,
"""BR-00261/2022""",BR,BRASIL,Presidente,1,https://ojacare.com.br/2022/05/24/bolsonaro-tem-3520-contra-3140-de-lula-em-ms-aponta-pesquisa-do-ibp/,pr,MS,1,,,Bolsonaro,"35,2",Lula,"31,4",Tebet,"4,8",Ciro Gomes,"4,4",Doria,"2,6",Janones,"1,4",,,,,,,,,,,,
"""BR-00261/2022""",BR,BRASIL,Presidente,1,https://ojacare.com.br/2022/05/24/bolsonaro-tem-3520-contra-3140-de-lula-em-ms-aponta-pesquisa-do-ibp/,pr,MS,0,,,Bolsonaro,"27,2",Lula,"23,4",Tebet,"2,2",Ciro Gomes,"1,8",Doria,"1,4",Sergio Moro,"1,2",,,,,,,,,,,,
"""BR-00279/2022""",BR,BRASIL,Presidente,1,https://98fmnatal.com.br/ultimas/lula-tem-ampla-vantagem-sobre-bolsonaro-no-rn-mostra-pesquisa-seta-para-presidente/,pr,RN,1,,,Lula,"46,9",Bolsonaro,"26,4",Ciro Gomes,"7,3",Eymael,"1,4",Leonardo Péricles,"1,3",Janones,"1,1",,,,,,,,,,,,
"""BR-00279/2022""",BR,BRASIL,Presidente,1,https://98fmnatal.com.br/ultimas/lula-tem-ampla-vantagem-sobre-bolsonaro-no-rn-mostra-pesquisa-seta-para-presidente/,pr,RN,0,,,Lula,42,Bolsonaro,"23,1",Ciro Gomes,"4,8",,,,,,,,,,,,,,,,,,
"""BR-00448/2022""",BR,BRASIL,Presidente,1,https://www.otempo.com.br/politica/pesquisa-datatempo-mostra-cenario-estavel-na-disputa-a-presidencia-em-minas-1.2680216,pr,MG,1,,,Lula,"44,8",Bolsonaro,28,Ciro Gomes,"6,6",Janones,"3,3",Tebet,"1,25",,,,,,,,,,,,,,
"""BR-00448/2022""",BR,BRASIL,Presidente,1,https://www.otempo.com.br/politica/pesquisa-datatempo-mostra-cenario-estavel-na-disputa-a-presidencia-em-minas-1.2680216,pr,MG,0,,,Lula,"37,7",Bolsonaro,"25,1",Ciro Gomes,2,,,,,,,,,,,,,,,,,,
"""BR-00589/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-00619/2022""",BR,BRASIL,Presidente,1,https://www.metropoles.com/brasil/eleicoes-2022/parana-pesquisas-no-df-bolsonaro-lidera-com-411-lula-tem-327,pr,DF,1,,,Bolsonaro,"41,1",Lula,"32,7",Ciro Gomes,"6,9",Janones,"1,6",Pablo Marçal,"1,6",Tebet,"1,4",,,,,,,,,,,,
"""BR-00702/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
