tse_id,SG_UF,NM_UE,DS_CARGOS,util,url,ambito,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12
"""PR-08853/2022""",PR,PARANÁ,"Governador, Senador",1,https://www.opresente.com.br/politica/ratinho-junior-e-sergio-moro-lideram-intencoes-de-voto-no-parana-aponta-nova-pesquisa-atlasintel-e-arko-advice/,PR,s,1,,,Sergio Moro,"29,8",Alvaro Dias,"26,1",Paulo Martins,"15,6",Desiree,"3,7",Rosane Ferreira,"3,2",Aline Sleutjes,"3,1",Orlando Pessuti,"2,8",Laerson Matias,1,,,,,,,,
"""RJ-00509/2022""",RJ,RIO DE JANEIRO,"Governador, Senador",1,https://g1.globo.com/rj/rio-de-janeiro/eleicoes/2022/noticia/2022/09/15/datafolha-no-rj-castro-tem-31percent-e-freixo-27percent.ghtml,RJ,g,1,,,Claudio Castro,31,Freixo,27,Rodrigo Neves,8,Witzel,3,Eduardo Serra,3,Cyro Garcia,3,Paulo Ganime,1,Juliete Pantoja,1,Luiz Eugenio,1,,,,,,
"""RJ-00509/2022""",RJ,RIO DE JANEIRO,"Governador, Senador",1,https://g1.globo.com/rj/rio-de-janeiro/eleicoes/2022/noticia/2022/09/15/datafolha-no-rj-castro-tem-31percent-e-freixo-27percent.ghtml,RJ,g,0,,,Claudio Castro,21,Freixo,17,Rodrigo Neves,3,Ganime,1,,,,,,,,,,,,,,,,
"""RJ-00509/2022""",RJ,RIO DE JANEIRO,"Governador, Senador",1,https://g1.globo.com/rj/rio-de-janeiro/eleicoes/2022/noticia/2022/09/15/datafolha-no-rj-castro-tem-31percent-e-freixo-27percent.ghtml,RJ,s,1,,,Romário,31,Molon,13,Clarissa,8,Daciolo,7,Daniel Silveira,6,Ceciliano,5,Helvio Costa,1,Raul,1,,,,,,,,
"""RJ-01877/2022""",RJ,RIO DE JANEIRO,"Deputado Federal, Deputado Estadual",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""RJ-02429/2022""",RJ,RIO DE JANEIRO,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""RJ-03908/2022""",RJ,RIO DE JANEIRO,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""RN-03078/2022""",RN,RIO GRANDE DO NORTE,"Governador, Senador, Deputado Federal, Deputado Estadual, Deputado Distrital",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""RN-04565/2022""",RN,RIO GRANDE DO NORTE,"Governador, Senador, Deputado Federal, Deputado Estadual, Deputado Distrital",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""RN-05140/2022""",RN,RIO GRANDE DO NORTE,"Governador, Senador, Deputado Federal, Deputado Estadual, Deputado Distrital",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""RN-05736/2022""",RN,RIO GRANDE DO NORTE,"Governador, Senador, Deputado Federal, Deputado Estadual, Deputado Distrital",0,https://tcmnoticia.com.br/politica/pesquisa-tcm-ts2-em-assu-fatima-bezerra-pt-lidera-com-36-das-intencoes-de-votos/,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""RO-01433/2022""",RO,RONDÔNIA,"Governador, Senador, Deputado Federal, Deputado Estadual",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""RO-02461/2022""",RO,RONDÔNIA,"Governador, Senador",1,https://www.cnnbrasil.com.br/politica/pesquisa-real-time-para-rondonia-marcos-rocha-tem-38-marcos-rogerio-22/,RO,g,1,,,Coronel Marcos Rocha,38,Marcos Rogério,22,Léo Moraes,10,Daniel Pereira,3,Pimenta de Rondônia,2,Comendador Val Queiroz,1,,,,,,,,,,,,
