tse_id,url,info_uf,info_position,util,position,ambito,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12
BR-06661/2022,https://www.gazetadopovo.com.br/stories/poderdata-divulga-pesquisa-eleitoral-para-presidente-em-marco-de-2022/,BR,Presidente,1,pr,BR,1,,,Lula,41,Bolsonaro,32,Ciro,7,Moro,6,Doria,3,Janones,2,Tebet,1,Leite,1,,,,,,,,
BR-07001/2022,https://atendimento.educacao.sp.gov.br/knowledgebase/article/SED-07001/pt-br,BR,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-07089/2022,https://www.paranapesquisas.com.br/destaque/confira-as-pesquisas-eleitorais-divulgadas-nesta-quarta-feira-30/,BR,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-07411/2022,https://www.paranapesquisas.com.br/noticias/ibpad-divulgada-pesquisa-eleitoral-nacional-nesta-quinta-feira-31/,BR,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-07748/2022,https://www.paranapesquisas.com.br/destaque/confira-as-pesquisas-eleitorais-divulgadas-nesta-quarta-feira-30/,BR,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-07968/2022,https://www.uol.com.br/eleicoes/2022/03/30/pesquisa-ipespe-rn-eleicoes-2022.htm,BR,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-07985/2022,https://www.paranapesquisas.com.br/destaque/eleicoes2022-fique-de-olho-nas-pesquisas-eleitorais-que-serao-publicadas-nesta-semana-2/,BR,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-08065/2022,https://www.paranapesquisas.com.br/pesquisas/pesquisa-nacional-situacao-eleitoral-para-o-executivo-federal-em-2022-e-avaliacao-da-administracao-federal-novembro-2021/,BR,Presidente,1,pr,BR,0,,,Lula,"19,7",Bolsonaro,"18,4",Moro,"2,8",Ciro,"1,3",Doria,"0,4",Mandetta,"0,2",Leite,"0,2",,,,,,,,,,
BR-08065/2022,https://www.paranapesquisas.com.br/pesquisas/pesquisa-nacional-situacao-eleitoral-para-o-executivo-federal-em-2022-e-avaliacao-da-administracao-federal-novembro-2021/,BR,Presidente,1,pr,BR,1,,,Lula,"34,9",Bolsonaro,"29,2",Moro,"10,7",Ciro,"6,1",Doria,"3,1",Mandetta,"1,2",Tebet,"0,6",Vieira,"0,4",Pacheco,"0,4",,,,,,
BR-08435/2022,https://pmsrs.mg.gov.br/lancamento/eo-08435/,BR,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-08671/2022,https://cep.guiamais.com.br/cep/08671-450,BR,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE-02528/2022,https://www.jornaldoceara.com/destaque/realizada-pelo-instituto-ipec-pesquisa-para-governo-do-ceara-e-registrada-no-tse-confira-detalhes/,CE,Governador,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE-09564/2022,https://legiscan.com/NY/drafts/A09564/2021,CE,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES-05682/2022,https://www.boe.es/ccaa/boc/2022/030/j05682-05691.pdf,ES,"Governador, Senador, Deputado Federal, Deputado Estadual",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00150/2022,http://www.joaocostagnf.com/2022/04/lula-lidera-pesquisa-escutecimirante-no.html,MA,"Governador, Senador",1,pr,MA,1,,,Lula,57,Bolsonaro,25,Moro,8,Ciro,6,Doria,1,Leite,1,,,,,,,,,,,,
MA-00150/2022,https://www.netoweba.com.br/2022/04/escutec-confirma-lideranca-de-brandao-e_2.html,MA,"Governador, Senador",1,s,MA,1,,,Flávio Dino,51,Roberto Rocha,22,Pastor Bel,3,Antônia Cariongo,1,,,,,,,,,,,,,,,,
MA-00150/2022,http://www.blogdopedrofelipe.com/2022/04/brandao-e-weverton-empatados.html,MA,"Governador, Senador",1,g,MA,1,,,Carlos Brandão,22,Weverton Rocha,21,Edivaldo Holanda Júnior,12,Roberto Rocha,10,Lahésio Bonfim,9,Josimar do Maranhãozinho,5,Simplício Araújo,2,Enilton Rodrigues,1,Hertz Dias,0,,,,,,
MA-02456/2022,https://www.educacao.ma.gov.br/seletivos-2022/,MA,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-03511/2022,https://www.educacao.ma.gov.br/seletivos-2022/,MA,"Governador, Senador, Deputado Federal, Deputado Estadual",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-04312/2022,https://www.educacao.ma.gov.br/seletivos-2022/,MA,"Governador, Senador, Deputado Federal, Deputado Estadual",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-04312/2022,https://www.netoweba.com.br/2022/04/pesquisa-espontanea-para-deputado_1.html,MA,"Governador, Senador, Deputado Federal, Deputado Estadual",1,de,MA,0,,,Cláudio Cunha,"7,39",Fabiana Villar,"3,43",Luciana Genésio,"2,28",Hélio Soares,"2,28",,,,,,,,,,,,,,,,
