tse_id,SG_UF,NM_UE,DS_CARGOS,util,url,ambito,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12
"""TO-01787/2022""",TO,TOCANTINS,"Governador, Senador",1,https://orlanoticias.com.br/dorinha-dispara-e-lidera-com-26-disputa-por-vaga-no-senado/,TO,S,1,,,Professora Dorinha,26,Ataídes Oliveira,20,Kátia Abreu,15,Vanderlei Luxemburgo,8,Mauro Carlesse,7,,,,,,,,,,,,,,
"""TO-01787/2022""",TO,TOCANTINS,"Governador, Senador",1,https://orlanoticias.com.br/wanderlei-lidera-disputa-ao-governo-com-21-pontos-a-frente-de-dimas/,TO,G,1,,,Wanderlei Barbosa,37,Ronaldo Dimas,16,Paulo Mourão,9,Osires Damaso,6,,,,,,,,,,,,,,,,
"""TO-03066/2022""",TO,TOCANTINS,"Governador, Senador",1,https://www.ogirassol.com.br/politica/segunda-rodada-de-pesquisa-o-girassol-mostra-empate-tecnico-entre-a-senadora-katia-abreu-pp-com-245-e-professora-dorinha-ub-com-2244,TO,S,1,,,Kátia Abreu,"24,5",Professora Dorinha,"22,4",Mauro Carlesse,"13,5",Vanderlei Luxemburgo,"12,5",Ataides Oliveira,"9,5",,,,,,,,,,,,,,
"""TO-03066/2022""",TO,TOCANTINS,"Governador, Senador",1,https://www.ogirassol.com.br/politica/segunda-rodada-de-pesquisa-o-girassol-mostra-permanencia-do-governador-wanderlei-barbosa-na-lideranca-com-345-seguido-de-ronaldo-dimas-com-225,TO,G,1,,,Wanderlei Barbosa,"34,5",Ronaldo Dimas,"22,5",Paulo Mourão,"10,7",Osires Damaso,11,,,,,,,,,,,,,,,,
"""TO-03361/2022""",TO,TOCANTINS,"Governador, Deputado Estadual, Deputado Federal, Senador",0,https://tre-to.jusbrasil.com.br/jurisprudencia/1600616455/representacao-rp-6003293520226270000-palmas-to-060032935,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
"""TO-03947/2022""",TO,TOCANTINS,"Governador, Senador",1,https://www.primeirapagina.to/noticias/nova-pesquisa-retrata-quadro-antes-de-findar-as-conven%C3%A7%C3%B5es-wanderlei-segue-liderando-com-30/,TO,G,1,,,Wanderlei Barbosa,30,Ronaldo Dimas,19,Osires Damaso,13,Paulo Mourão,13,Dr. Luciano Teixeira,6,,,,,,,,,,,,,,
"""TO-03947/2022""",TO,TOCANTINS,"Governador, Senador",1,https://orlanoticias.com.br/ataides-dispara-em-pesquisa-vope-primeira-pagina-e-aparece-empatado-tecnicamente-com-katia-abreu-em-1o-lugar-na-corrida-ao-senado/,TO,S,1,,,Kátia Abreu,25,Ataídes Oliveira,20,Professora Dorinha,18,Mauro Carlesse,10,Vanderlei Luxemburgo,7,,,,,,,,,,,,,,
"""TO-04291/2022""",TO,TOCANTINS,"Governador, Senador",1,https://www.portalstylo.com.br/noticia-1508589130-sondagem-mostra-disputa-acirrada-para-o-senado-katia-lidera-mas-e-acompanhada-de-perto-por-adversari,TO,S,1,,,Kátia Abreu,24,Professora Dorinha,22,Mauro Carlesse,14,Ataídes Oliveira,13,Vanderlei Luxemburgo,8,Claudemir Lopes,4,,,,,,,,,,,,
"""TO-05111/2022""",TO,TOCANTINS,"Senador, Governador",1,https://static.poder360.com.br/2022/08/RTBD_TO_AGO_22.pdf,TO,G,0,,,Wanderlei Barbosa,13,Ronaldo Dimas,10,Carlos Amastha,4,,,,,,,,,,,,,,,,,,
"""TO-05111/2022""",TO,TOCANTINS,"Senador, Governador",1,https://static.poder360.com.br/2022/08/RTBD_TO_AGO_22.pdf,TO,G,1,,,Wanderlei Barbosa,24,Ronaldo Dimas,24,Carlos Amastha,14,Paulo Mourão,6,Osires Damaso,6,,,,,,,,,,,,,,
"""TO-05111/2022""",TO,TOCANTINS,"Senador, Governador",1,https://static.poder360.com.br/2022/08/RTBD_TO_AGO_22.pdf,TO,S,1,,,Professora Dorinha,20,Kátia Abreu,13,Mauro Carlesse,13,Vanderlei Luxemburgo,11,Ataídes Oliveira,8,Eli Borges,5,Claudemir Lopes,3,,,,,,,,,,
"""TO-05497/2022""",TO,TOCANTINS,"Governador, Deputado Estadual, Deputado Federal, Senador",0,https://tre-to.jusbrasil.com.br/jurisprudencia/1608031545/representacao-rp-6003371220226270000-palmas-to-060033712,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
