tse_id,SG_UF,NM_UE,DS_CARGOS,util,url,position,ambito,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12
"""AM-04632/2022""",AM,AMAZONAS,"Governador, Senador",1,https://revistacenarium.com.br/wp-content/uploads/2022/05/RTBD_AM_MAI22_04632.pdf,s,am,1,,,Arthur Virgílio,22,omar Aziz,16,coronel menezes,16,luiz castro,10,chico preto,7,,,,,,,,,,,,,,
"""AM-04632/2022""",AM,AMAZONAS,"Governador, Senador",1,https://revistacenarium.com.br/wp-content/uploads/2022/05/RTBD_AM_MAI22_04632.pdf,g,am,1,,,amanonino Mendes,29,Wilson LIma,23,eduardo Braga,17,Ricardo Nicolau,6,henrique oliveira,4,carol braz,3,marcelo amil,1,,,,,,,,,,
"""AM-00595/2022""",AM,AMAZONAS,"Governador, Deputado Estadual, Senador",1,https://radaramazonico.com.br/a-50-dias-do-inicio-das-convencoes-arthur-neto-lidera-pesquisas-de-intencao-de-voto-para-o-senado/,s,AM,1,,,Arthur Virgílio,"25,3",Omar Aziz,23,Alfredo Menezes,"14,7",Luiz Castro,"5,5",Chico Preto,"10,4",,,,,,,,,,,,,,
"""AM-03435/2022""",AM,AMAZONAS,"Governador, Senador",1,https://s3.amazonaws.com/img.portalmarcossantos.com.br/wp-content/uploads/2022/05/31105044/PERSPECTIVA_2_Pesquisa_Eleitoral_Amazonas_final.pdf,g,am,0,,,Amanonino Mendes,"12,2",Wilson LIma,"13,1",Eduardo Braga,"6,8",Ricardo Nicolau,"1,2",,,,,,,,,,,,,,,,
"""AM-01430/2022""",AM,AMAZONAS,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AM-03435/2022""",AM,AMAZONAS,"Governador, Senador",1,https://s3.amazonaws.com/img.portalmarcossantos.com.br/wp-content/uploads/2022/05/31105044/PERSPECTIVA_2_Pesquisa_Eleitoral_Amazonas_final.pdf,g,am,1,,,Amazonino Mendes,"29,4",Wilson Lima,"26,3",Eduardo Braga,"17,7",Ricardo Nicolau,"5,8",João Pedro,"2,1'",Carol Braz,"1,4",,,,,,,,,,,,
"""AM-04632/2022""",AM,AMAZONAS,"Governador, Senador",1,https://revistacenarium.com.br/wp-content/uploads/2022/05/RTBD_AM_MAI22_04632.pdf,g,am,0,,,amazonino mendes,13,Wilson Lima,10,eduardo braga,7,Ricardo Nicolau,1,henrique oliveira,1,Arthur virgílio,1,david almeida,1,,,,,,,,,,
"""AM-04632/2022""",AM,AMAZONAS,"Governador, Senador",1,https://revistacenarium.com.br/wp-content/uploads/2022/05/RTBD_AM_MAI22_04632.pdf,g,AM,1,,,Amazonino mendes,29,Wilson Lima,23,eduardo braga,17,Ricardo Nicolau,6,Henrique Oliveira,4,Carol Braz,3,Marcelo Amil,1,,,,,,,,,,
"""AM-04632/2022""",AM,AMAZONAS,"Governador, Senador",1,https://revistacenarium.com.br/wp-content/uploads/2022/05/RTBD_AM_MAI22_04632.pdf,s,AM,1,,,Arthur Virgílio,22,Omar Aziz,16,Coronel Menezes,16,Luiz Castro,10,Chico Preto,7,,,,,,,,,,,,,,
"""AM-03435/2022""",AM,AMAZONAS,"Governador, Senador",1,https://s3.amazonaws.com/img.portalmarcossantos.com.br/wp-content/uploads/2022/05/31105044/PERSPECTIVA_2_Pesquisa_Eleitoral_Amazonas_final.pdf,s,am,0,,,Omar Aziz,"6,4",Arthur Neto,"5,5",Cel Menezes,"5,4",Chico Preto,"3,1",Luiz Castro,"1,8",,,,,,,,,,,,,,
"""AM-03435/2022""",AM,AMAZONAS,"Governador, Senador",1,https://s3.amazonaws.com/img.portalmarcossantos.com.br/wp-content/uploads/2022/05/31105044/PERSPECTIVA_2_Pesquisa_Eleitoral_Amazonas_final.pdf,s,am,1,,,Omar Aziz,"20,9",Arthur Neto,"20,2",Cel Menezes,"16,1",Chico Preto,"13,1",luiz castro,"6,2",,,,,,,,,,,,,,
"""AM-07029/2022""",AM,AMAZONAS,"Governador, Senador",1,https://www.redetiradentes.com.br/eleicoes-2022-wilson-lima-cresce-e-esquenta-disputa-para-governo-do-amazonas-diz-pontual-pesquisas/,g,AM,1,,,Amazonino mendes,"28,9",Wilson Lima,"23,3",Eduardo braga,"17,1",Ricardo Nicolau,"4,5",Carol Braz,"4,1",Henrique Oliveira,3,,,,,,,,,,,,
"""GO-00614/2022""",GO,GOIÁS,"Governador, Deputado Estadual, Deputado Federal, Senador",1,https://goiasmaior.com.br/noticia/eleicoes-2022-caiado-vencendo-na-capital,g,M,0,,,Caiado,"28,5",Mendanha,"17,33",Marconi Perillo,"5,5",Major Vitor Hugo,"2,5",,,,,,,,,,,,,,,,
"""GO-00766/2022""",GO,GOIÁS,"Senador, Governador",1,https://www.paranapesquisas.com.br/pesquisas/parana-pesquisas-divulga-pesquisa-realizada-no-estado-de-goias-registro-tse-n-o-go-00766-2022-situacao-eleitoral-para-o-executivo-estadual-e-legislativo-federal-e-avaliacao-da-administracao-estadual/,g,GO,0,,,Caiado,"14,7",Mendanha,"6,6",Marconi Perillo,"3,5",Major Vitor Hugo,"1,6",,,,,,,,,,,,,,,,
"""GO-00766/2022""",GO,GOIÁS,"Senador, Governador",1,https://www.paranapesquisas.com.br/pesquisas/parana-pesquisas-divulga-pesquisa-realizada-no-estado-de-goias-registro-tse-n-o-go-00766-2022-situacao-eleitoral-para-o-executivo-estadual-e-legislativo-federal-e-avaliacao-da-administracao-estadual/,g,GO,1,,,Caiado,"40,8",Mendanha,"21,9",Marconi Perillo,"14,6",Major Vitor Hugo,"7,7",Edigar Diniz,"1,5",Wolmir Amado,"1,2",,,,,,,,,,,,
"""GO-00766/2022""",GO,GOIÁS,"Senador, Governador",1,https://www.paranapesquisas.com.br/pesquisas/parana-pesquisas-divulga-pesquisa-realizada-no-estado-de-goias-registro-tse-n-o-go-00766-2022-situacao-eleitoral-para-o-executivo-estadual-e-legislativo-federal-e-avaliacao-da-administracao-estadual/,s,GO,0,,,Delegado Waldir,"1,8",João Campos,"1,7",,,,,,,,,,,,,,,,,,,,
"""GO-00766/2022""",GO,GOIÁS,"Senador, Governador",1,https://www.paranapesquisas.com.br/pesquisas/parana-pesquisas-divulga-pesquisa-realizada-no-estado-de-goias-registro-tse-n-o-go-00766-2022-situacao-eleitoral-para-o-executivo-estadual-e-legislativo-federal-e-avaliacao-da-administracao-estadual/,s,GO,1,,,Marconi Perillo,"27,5",Delegado Waldir,"17,3",João Campos,"8,7",Zacharias Calil,"8,2",Alexandre Baldy,"4,9",Luiz do Carmo,"3,2",Lissauer Vieira,"2,1",,,,,,,,,,
"""GO-01478/2022""",GO,GOIÁS,Governador,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""GO-02079/2022""",GO,GOIÁS,"Governador, Senador",1,https://www.uol.com.br/eleicoes/2022/05/26/real-time-big-data-governo-goias.htm,g,GO,1,,,Caiado,33,Marconi Perillo,18,Mendanha,16,Vanderlan Cardoso,8,Wolmir Amado,8,Major Vitor Hugo,8,José Eliton ,1,,,,,,,,,,
"""GO-02079/2022""",GO,GOIÁS,"Governador, Senador",1,https://www.uol.com.br/eleicoes/2022/05/26/real-time-big-data-governo-goias.htm,g,GO,0,,,Caiado,25,Marconi Perillo,8,Mendanha,6,Delegado Waldir,3,Wolmir Amado,1,,,,,,,,,,,,,,
"""GO-02079/2022""",GO,GOIÁS,"Governador, Senador",1,https://www.uol.com.br/eleicoes/2022/05/26/real-time-big-data-governo-goias.htm,s,GO,1,,,Marconi Perillo,27,João Campos,9,Alexandre Baldy,8,Delegado Waldir,7,Wilder Morais,5,Lissauer Vieira,3,Leonardo Rizzo,1,,,,,,,,,,
"""GO-02079/2022""",GO,GOIÁS,"Governador, Senador",1,https://www.uol.com.br/eleicoes/2022/05/26/real-time-big-data-governo-goias.htm,s,GO,0,,,Marconi Perillo,5,Henrique Meirelles,1,Delegado Waldir,1,João Campos,1,,,,,,,,,,,,,,,,
"""GO-05940/2022""",GO,GOIÁS,Governador,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""GO-06414/2022""",GO,GOIÁS,"Governador, Senador",1,https://goias365.com.br/pesquisa-caiado-lidera-com-46-seguido-por-mendanha-com-18/,g,GO,1,,,Caiado,"46,1",Mendanha,"18,9",Major Vitor Hugo,"6,1",Wolmir Amado,"1,3",,,,,,,,,,,,,,,,
"""GO-07471/2022""",GO,GOIÁS,"Senador, Governador",1,https://www.jornaldemocratico.com.br/post/pesquisa-aponta-que-caiado-lidera-as-inten%C3%A7%C3%B5es-de-votos-do-primeiro-com-30-82,g,GO,1,,,Caiado,"30,82",Mendanha,"22,41",Marconi Perillo,"15,35",Major Vitor Hugo,"12,67",Wolmir Amado,"7,5",,,,,,,,,,,,,,
