tse_id,url,info_uf,info_position,util,position,ambito,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12
AC-04117/2022,https://acriticadoacre.com.br/bolsonaro-seria-o-candidato-a-presidencia-mais-votado-do-ac-se-eleicoes-fossem-hoje-diz-pesquisa/,AC,"Governador, Senador",1,g,AC,1,,,Gladson Cameli,"43,6",Jorge Viana,"23,3",Sérgio Petecão,"9,7",,,,,,,,,,,,,,,,,,
AC-04117/2022,https://acriticadoacre.com.br/bolsonaro-seria-o-candidato-a-presidencia-mais-votado-do-ac-se-eleicoes-fossem-hoje-diz-pesquisa/,AC,"Governador, Senador",1,g,AC,0,,,Gladson Cameli,"39,5",Jorge Viana,"13,8",Marcus Alexandre,"4,7",Sérgio Petecão,"4,3",Mara Rocha,4,Jenilson Leite,"2,9",David Hall,"1,2",Nilson Ruclides,"0,2",Tião Bocalom,"0,2",,,,,,
AC-04117/2022,https://correio68.com/2022/02/24/fieac-perfil-jessica-sales-deixa-jorge-viana-para-tras-em-nova-pesquisa-ao-senado-confira-os-numeros/,AC,"Governador, Senador",1,s,AC,1,,,Jéssica Sales,"22,7",Jorge Viana,"19,8",Alan Rick,16,Mara Rocha,"11,4",Márcia Bittar,"8,9",Mailza Gomes,"4,9",Vanda Milani,"3,3",Sanderson Moura,"2,4",,,,,,,,
AC-04117/2022,https://correio68.com/2022/02/24/fieac-perfil-jessica-sales-deixa-jorge-viana-para-tras-em-nova-pesquisa-ao-senado-confira-os-numeros/,AC,"Governador, Senador",1,s,AC,0,,,Jorge Viana,"11,2",Jéssica Sales,"10,2",Alan Rick,"9,7",Mara Rocha,"5,9",Márcia Bittar,"5,2",Angelim,5,Jenilson Leite,"4,3",Mailza Gomes,"3,9",Vanda Milani,"2,1",Sanderson Moura,"1,3",,,,
AC-04479/2022,https://agazeta.net/noticias/politica/jorge-viana-do-partido-dos-trabalhadores-lidera-pesquisa-para-o-senado-federal-no-acre/,AC,"Governador, Senador",1,s,AC,1,,,Jorge Viana,18,Alan Rick,17,Jéssica Sales,16,Márcia Bittar,16,Vanda Milani,6,Sanderson Moura,3,Maílza Gomes,3,,,,,,,,,,
AC-04479/2022,https://www.diariocidade.com/eleicoes/2022/pesquisas-eleitorais/ac/pesquisa-realtime-acre-marco-eleicoes-2022/,AC,"Governador, Senador",1,g,AC,1,,,Gladson Cameli,44,Jorge Viana,22,Mara Rocha,14,Sérgio Petecão,7,Janilson Leite,4,,,,,,,,,,,,,,
AL-03385/2022,https://tribunahoje.com/noticias/politica/2020/10/10/63851-pesquisa-em-capela-al-aponta-atual-prefeito-na-dianteira-segundo-ibrape,AL,"Governador, Senador",1,g,M,1,,,Adelminho Calheiros,53,Eustaquinho Moreira,33,Pastor Antonio Ferreira,1,,,,,,,,,,,,,,,,,,
AL-03385/2022,https://tribunahoje.com/noticias/politica/2020/10/10/63851-pesquisa-em-capela-al-aponta-atual-prefeito-na-dianteira-segundo-ibrape,AL,"Governador, Senador",1,g,M,0,,,Adelminho Calheiros,"49,3",Eustaquinho Moreira,29,Pastor Antonio Ferreira,"0,4",,,,,,,,,,,,,,,,,,
AL-07120/2022,https://www.datasensus.com.br/post/datasensus-revela-os-n%C3%BAmeros-da-primeira-pesquisa-registrada-para-o-governo-de-alagoas,AL,"Governador, Senador",1,g,AL,1,,,Rodrigo Cunha,31,Renato Filho,10,Jó Pereira,7,Paulo Dantas,7,Antonio Albuquerque,7,,,,,,,,,,,,,,
AL-08574/2022,https://www.jornaldealagoas.com.br/politica/2022/02/23/7824-pesquisa-mostra-rui-palmeira-a-frente-de-rodrigo-cunha-na-briga-pelo-governo,AL,"Governador, Senador",1,g,AL,1,,,Rui Palmeira,25,Rodrigo Cunha,20,Antonio Albuquerque,14,Renato Filho,"7,25",Paulo Dantas,"5,75",,,,,,,,,,,,,,
AL-08574/2022,https://www.jornaldealagoas.com.br/politica/2022/02/23/7824-pesquisa-mostra-rui-palmeira-a-frente-de-rodrigo-cunha-na-briga-pelo-governo,AL,"Governador, Senador",1,s,AL,1,,,Renan Filho,"40,5",Fernando Collor,"15,5",Fábio Costa,"8,75",Davi Davino Filho,"5,75",,,,,,,,,,,,,,,,
AM-00400/2022,https://www.portaldoholanda.com.br/amazonas/lula-lidera-pesquisa-no-amazonas-para-presidente-em-2022,AM,"Governador, Senador",1,pr,AM,1,,,Lula,"37,5",Bolsonaro,"36,8",Sergio Moro,"6,6",Ciro,"4,4",Doria,"1,2",Simone Tebet,1,,,,,,,,,,,,
AM-00400/2022,https://www.portaldoholanda.com.br/amazonas/lula-lidera-pesquisa-no-amazonas-para-presidente-em-2022,AM,"Governador, Senador",1,g,AM,1,,,Amazonino Mendes,"33,4",Wilson Lima,"22,5",Eduardo Braga,"18,6",Ricardo Nicolau,"6,3",Carol Braz,"2,2",João Pedro,"1,2",Marcelo Amil,"0,7",,,,,,,,,,
