tse_id,url,SG_UF,DS_CARGOS,util,position,ambito,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12
AL-02627/2022,https://www.paranapesquisas.com.br/pesquisas/parana-pesquisas-divulga-pesquisa-realizada-no-estado-de-alagoas-registro-tse-n-o-al-02627-2022-situacao-eleitoral-para-o-executivo-estadual-e-legislativo-federal-maio-2022/,AL,"Senador, Governador",1,g,AL,0,,,Renan Filho,"5,8",Paulo Dantas,"4,3",Rodrigo Cunha,"3,3",Rui Palmeira,"1,1",Antonio Albuquerque,"0,8",Regis Cavalcante,"0,1",,,,,,,,,,,,
AL-02627/2022,https://www.paranapesquisas.com.br/pesquisas/parana-pesquisas-divulga-pesquisa-realizada-no-estado-de-alagoas-registro-tse-n-o-al-02627-2022-situacao-eleitoral-para-o-executivo-estadual-e-legislativo-federal-maio-2022/,AL,"Senador, Governador",1,g,AL,1,,,Rodrigo Cunha,"28,6",Rui Palmeira,"22,9",Paulo Dantas,17,Antonio Albuquerque,"6,1",Regis Cavalcante,"2,5",,,,,,,,,,,,,,
AL-02627/2022,https://www.paranapesquisas.com.br/pesquisas/parana-pesquisas-divulga-pesquisa-realizada-no-estado-de-alagoas-registro-tse-n-o-al-02627-2022-situacao-eleitoral-para-o-executivo-estadual-e-legislativo-federal-maio-2022/,AL,"Senador, Governador",1,s,AL,1,,,Renan Filho,"45,8",Fernando Collor,"22,5",Davi Davino Filho,"14,1",Mário Agra,"1,7",,,,,,,,,,,,,,,,
AM-08799/2022,https://www.gazetadopovo.com.br/eleicoes/2022/pesquisa-eleitoral/o-que-dizem-as-pesquisas-de-intencao-de-voto-para-governador-em-16-estados/,AM,"Governador, Deputado Distrital, Deputado Estadual, Deputado Federal, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-06739/2022,https://www.jornalgrandebahia.com.br/2022/04/jeronimo-cresceu-12-em-apenas-um-mes-comemora-presidente-do-pt-sobre-pesquisa-para-governo-da-bahia-confira-dados-do-instituto-parana/,BA,"Governador, Senador",1,g,BA,0,,,ACM Neto,"20,9",Jerônimo Rodrigues,"5,8",João Roma,"3,8",Rui Costa,"2,9",,,,,,,,,,,,,,,,
BA-06739/2022,https://www.jornalgrandebahia.com.br/2022/04/jeronimo-cresceu-12-em-apenas-um-mes-comemora-presidente-do-pt-sobre-pesquisa-para-governo-da-bahia-confira-dados-do-instituto-parana/,BA,"Governador, Senador",1,g,BA,1,,,ACM Neto,"55,4",Jerônimo Rodrigues,"16,1",João Roma,"10,1",Kleber Rosa,"1,2",Giovani Damico,"0,5",,,,,,,,,,,,,,
BA-06739/2022,https://www.jornalgrandebahia.com.br/2022/04/jeronimo-cresceu-12-em-apenas-um-mes-comemora-presidente-do-pt-sobre-pesquisa-para-governo-da-bahia-confira-dados-do-instituto-parana/,BA,"Governador, Senador",1,s,BA,1,,,Otto Alencar,"32,7",João Leão,"15,4",Raíssa Soares,7,Tâmara Azevedo,"5,6",,,,,,,,,,,,,,,,
BA-07794/2022,https://classepolitica.com.br/2022/05/04/acm-neto-lidera-corrida-ao-governo-da-bahia-aponta-pesquisa-confira/,BA,"Senador, Governador",1,g,BA,1,,,ACM Neto,64,Jerônimo Rodrigues,11,João Roma,8,Kleber Rosa,1,,,,,,,,,,,,,,,,
BA-09727/2022,https://www.acordacidade.com.br/noticias/257934/nova-pesquisa-aponta-vitoria-de-acm-neto-no-primeiro-turno.html,BA,"Senador, Governador",1,g,BA,1,,,ACM Neto,"61,54",Jerônimo Rodrigues,"11,26",João Roma,"5,47",Kleber Rosa,"0,77",Giovani Damico,"0,45",,,,,,,,,,,,,,
BA-09727/2022,https://www.jornalfolhadoestado.com/politica/em-pesquisa-otto-alencar-lidera-intencoes-de-voto-para-o-senado,BA,"Senador, Governador",1,s,BA,0,,,Otto Alencar,"28,44",João Leão,"16,09",Raíssa Soares,"8,49",Tâmara Azevedo,"1,61",,,,,,,,,,,,,,,,
