tse_id,url,SG_UF,DS_CARGOS,util,position,ambito,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12
MS-09921/2022,https://rankingpesquisa.com.br/noticias/eleicoes-2022-nova-pesquisa-para-o-senado-veja-os-numeros/,MS,"Governador, Deputado Estadual, Deputado Federal, Senador",1,s,ms,0,,,rose modesto,"12,3",tereza cristina,"10,5",henrique mandetta,"8,10",odilon,"3,5",waldeli,"1,8",,,,,,,,,,,,,,
MT-03989/2022,https://www.midianews.com.br/opiniao/corrida-eleitoral/419387,MT,"Senador, Deputado Distrital, Governador, Deputado Estadual, Deputado Federal",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-08488/2022,https://www.acritica.net/editorias/economia/fgv-diz-que-confianca-da-industria-atinge-maior-pa-08488b0d76ffe1bc4cb/540476/,MT,"Senador, Deputado Estadual, Deputado Federal, Governador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-09210/2022,https://transmitindo.com.br/noticia/22180/pesquisa-do-brasilia-dados-em-varzea-grande-lula-coloca-24-pontos-na-frente-de-bolsonaro-ex-presidente-lidera-com-51-11-e-presidente-tem-26-67-ciro-e-moro-aparecem-com-menos-de-1,MT,"Governador, Deputado Distrital, Deputado Estadual, Deputado Federal, Senador",1,pr,m,1,,,Lula,"51,11",Bolsonaro,"26,67",Ciro,"0,70",Moro ,"0,15",Doria,"0,15",,,,,,,,,,,,,,
PE-00374/2022,https://noticias.uol.com.br/politica/ultimas-noticias/2022/01/28/pesquisa-humberto-costa-governo-pe.htm,PE,"Governador, Deputado Distrital, Deputado Estadual, Deputado Federal, Senador",1,s,pe,1,,,Humberto Costa,31,Geraldo Júlio,16,Raquel Lyra,14,Clarissa Tércio,5,Miguel Coelho,4,,,,,,,,,,,,,,
PE-05753/2022,https://www.carlosbritto.com/gestao-de-miguel-coelho-e-aprovada-por-88-dos-petrolinenses-diz-ipespe/,PE,Governador,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-08757/2022,https://a10mais.com/noticias/justica/juiz-do-tre-suspende-divulgacao-de-pesquisa-para-governador-e-senador-do-piaui-entenda-3997.html,PI,"Governador, Senador",0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
RO-07330/2022,https://www.rondoniaovivo.com/noticia/eleicoes2022/2022/04/14/eleicoes-2022-veja-os-mais-bem-colocados-na-corrida-pela-ale-ro.html,RO,"Governador, Deputado Distrital, Deputado Estadual, Deputado Federal, Senador",1,g,ro,1,,1,Léo Moraes,"33,90",marcos rocha,"22,40",Marcos Rogério,18,Anselmo de Jesus,"7,4",Vinícius Miguel,"5,7",Pimenta de Rondônia,"4,6",Edgar do Boi,"2,7",João Cipriano,"2,7",Adailton Fúria,"1,5",,,,,,
RO-07330/2022,https://portal.rondoniaovivo.com/noticia/eleicoes2022/2022/04/12/eleicoes-2022-jaime-bagatoli-lidera-para-o-senado-em-ro-aponta-pesquisa.html,RO,"Governador, Deputado Distrital, Deputado Estadual, Deputado Federal, Senador",1,s,ro,1,,,Jaime Bagatolli,"22,9",Amir Lando,"19,1",Jacqueline Cassol,"16,6",Expedito Júnior,"12,6",Acir Gurgacz,"9,3",Daniel Pereira,"7,5",Léo Fachin,"2,7",Paulo Cadilack,"2,1",,,,,,,,
RR-00573/2022,http://pdt-rj.org.br/index.php/rodrigo-neves-e-o-pre-candidato-com-maior-potencial-de-crescimento-no-estado-do-rj/,RR,"Senador, Deputado Estadual, Deputado Federal, Governador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-04608/2022,https://static.ndmais.com.br/2022/02/20220222-questionario-pesquisa-sc-2.pdf,SC,"Senador, Governador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-08288/2022,https://institutomais.org.br/Concursos/Detalhe/415,SP,Governador,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO-01067/2022,https://econews.com.br/2022/04/05/justica-manda-suspender-pesquisa-correio-do-povo-por-ilegalidades/,TO,"Senador, Governador",0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
