tse_id,SG_UF,NM_UE,DS_CARGOS,util,url,ambito,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12
"""AL-04092/2022""",AL,ALAGOAS,"Governador, Senador",1,https://www.gazetadopovo.com.br/eleicoes/2022/pesquisa-eleitoral/real-time-big-data-pesquisa-eleitoral-governo-senado-06-07-2022/,AL,g,0,,,Paulo Dantas,11,Fernando Collor,7,Rodrigo Cunha,5,Rui Palmeira,1,,,,,,,,,,,,,,,,
"""AL-04092/2022""",AL,ALAGOAS,"Governador, Senador",1,https://www.gazetadopovo.com.br/eleicoes/2022/pesquisa-eleitoral/real-time-big-data-pesquisa-eleitoral-governo-senado-06-07-2022/,AL,g,1,,,Paulo Dantas,26,Fernando Collor,20,Rodrigo Cunha,20,Rui Palmeira,13,Mônica Carvalho,1,Professor Cícero Albuquerque,1,Régias Cavalcante,1,,,,,,,,,,
"""AL-04092/2022""",AL,ALAGOAS,"Governador, Senador",1,https://www.gazetadopovo.com.br/eleicoes/2022/pesquisa-eleitoral/real-time-big-data-pesquisa-eleitoral-governo-senado-06-07-2022/,AL,s,1,,,Renan Filho,45,Ronaldo Lessa,13,Davi Davino Filho,13,Pastor Ildo Rafael,4,Mário Agra,1,,,,,,,,,,,,,,
"""AL-07421/2022""",AL,ALAGOAS,"Senador, Governador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AL-07934/2022""",AL,ALAGOAS,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AL-08723/2022""",AL,ALAGOAS,"Governador, Senador",1,https://www.correiodosmunicipios-al.com.br/2022/07/lider-paulo-dantas-abre-vantagem-de-11-pontos-para-collor-e-14-para-rodrigo-cunha/,AL,g,1,,,Paulo Dantas,30,Ferando Collor,19,Rodrigo Cunha,16,Rui Palmeira,10,,,,,,,,,,,,,,,,
"""AL-08723/2022""",AL,ALAGOAS,"Governador, Senador",1,https://www.cadaminuto.com.br/noticia/2022/07/06/ibrape-cadaminuto-pesquisa-mostra-que-renan-filho-lidera-para-senado-e-alagoanos-desaprovam-gestao-de-bolsonaro,AL,s,1,,,Renan Filho,54,Davi Davino Filho,11,Ronaldo Lessa,11,Antonio Albuquerque,4,,,,,,,,,,,,,,,,
"""AM-04178/2022""",AM,AMAZONAS,"Senador, Deputado Estadual, Deputado Federal, Governador",1,https://amazonas.news/omar-aziz-lidera-preferencia-do-eleitorado-e-deve-se-reeleger-senador-pelo-amazonas/,AM,s,1,,,Omar Aziz,"28,1",Chico Preto,"22,3",Arthur Neto,"19,6",Alfredo Menezes,"12,4",Luiz Castro,"6,9",,,,,,,,,,,,,,
"""BA-04346/2022""",BA,BAHIA,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-00040/2022""",BR,BRASIL,Presidente,1,https://exame.com/brasil/pesquisa-para-presidente-lula-lidera-com-41-em-mg-bolsonaro-tem-35/,MG,PR,0,,,Lula,33,Jair Bolsonaro,25,Ciro Gomes,3,André Janones,1,Sergio Moro,"0,2",Luiz Felipe d'Ávila,"0,2",Simone Tebet,"0,1",Leonardo Péricles,"0,1",Pablo Marçal,"0,1",,,,,,
"""BR-00040/2022""",BR,BRASIL,Presidente,1,https://exame.com/brasil/pesquisa-para-presidente-lula-lidera-com-41-em-mg-bolsonaro-tem-35/,MG,PR,1,,,Lula,41,Jair Bolsonaro,35,Ciro Gomes,7,Simone Tebet,3,André Janones,2,Luiz Felipe d'Ávila,1,Vera Lúcia,1,Luciano Bivar,"0,4",Leonardo Péricles,"0,3",Pablo Marçal,"0,2",,,,
"""BR-00617/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-01319/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-01592/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
