codigo_tse,urnas_apuradas,eleitorado,abstencoes,total_votos,brancos,nulos,nome,numero,votos_validos,eleito
87912,"100,00",240948,70786,170162,7213,9802,IVAN DUARTE,13,47941,Não eleito
87912,"100,00",240948,70786,170162,7213,9802,PAULA MASCARENHAS,45,105206,Eleito
88013,"100,00",1082726,354692,728034,20938,28801,SEBASTIÃO MELO,15,370550,Eleito
88013,"100,00",1082726,354692,728034,20938,28801,MANUELA,65,307745,Não eleito
88412,"100,00",204282,64016,140266,6788,7935,POZZOBOM,45,71927,Eleito
88412,"100,00",204282,64016,140266,6788,7935,SERGIO CECCHIN,11,53616,Não eleito
80470,"100,00",247014,76681,170333,6226,13490,JOÃO PAULO KLEINUBING,25,42026,Não eleito
80470,"100,00",247014,76681,170333,6226,13490,MÁRIO HILDEBRANDT,19,108591,Eleito
81795,"100,00",403526,114457,289069,8328,18679,ADRIANO SILVA,30,145269,Eleito
81795,"100,00",403526,114457,289069,8328,18679,DARCI DE MATOS,55,116793,Não eleito
31054,"100,00",404901,112597,292304,8514,23103,DELEGADA DANIELLE,23,109864,Não eleito
31054,"100,00",404901,112597,292304,8514,23103,EDVALDO,12,150823,Eleito
62197,"100,00",270749,86636,184113,7457,16373,SUÉLLEN ROSIM,51,89725,Eleito
62197,"100,00",270749,86636,184113,7457,16373,DR RAUL,25,70558,Não eleito
62910,"100,00",843433,297297,546136,45524,111587,DARIO SAADI,10,222030,Eleito
62910,"100,00",843433,297297,546136,45524,111587,RAFA ZIMBALDI,22,166995,Não eleito
63770,"100,00",329171,95937,233234,7859,17295,TAKA YAMAUCHI,55,101231,Não eleito
63770,"100,00",329171,95937,233234,7859,17295,FILIPPI,13,106849,Eleito
64254,"100,00",238124,78422,159702,11450,15762,ALEXANDRE FERREIRA,15,76339,Eleito
64254,"100,00",238124,78422,159702,11450,15762,FLÁVIA LANCHA,55,56151,Não eleito
64777,"100,00",872880,207848,665032,29126,70421,ELÓI PIETÁ,13,238463,Não eleito
64777,"100,00",872880,207848,665032,29126,70421,GUTI,55,327022,Eleito
66397,"100,00",226627,69732,156895,7982,15815,MURILO FELIX,19,60056,Não eleito
66397,"100,00",226627,69732,156895,7982,15815,MARIO BOTION,55,73042,Eleito
66893,"100,00",306518,86621,219897,11092,28563,ATILA,40,88783,Não eleito
66893,"100,00",306518,86621,219897,11092,28563,MARCELO OLIVEIRA,13,91459,Eleito
67130,"100,00",319826,99370,220456,8348,15738,CAIO CUNHA,19,114656,Eleito
67130,"100,00",319826,99370,220456,8348,15738,MARCUS MELO,45,81714,Não eleito
68756,"100,00",290998,100194,190804,11931,21895,LUCIANO ALMEIDA,25,85081,Eleito
68756,"100,00",290998,100194,190804,11931,21895,BARJAS NEGRI,45,71897,Não eleito
69213,"100,00",226260,73930,152330,3608,7203,DANILO MORGADO,17,65780,Não eleito
