tse_id,instituto,estado,cidade,estimulada,vv,position,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
RN-07782/2018,CERTUS,RN,RIO GRANDE DO NORTE,0,,PR,CIRO GOMES,"8,87",HENRIQUE MEIRELLES,"1,13",JAIR BOLSONARO,"16,03",FERNANDO HADDAD,"11,84",LULA,"11,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-07782/2018,CERTUS,RN,RIO GRANDE DO NORTE,1,,PR,CIRO GOMES,"14,96",GERALDO ALCKMIN,"2,98",HENRIQUE MEIRELLES,"1,70",JAIR BOLSONARO,"19,86",MARINA SILVA,"2,84",FERNANDO HADDAD,"20,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-07782/2018,CERTUS,RN,RIO GRANDE DO NORTE,0,,G,CARLOS EDUARDO,"12,77",FATIMA BEZERRA,"22,70",ROBINSON FARIA,"5,82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-07782/2018,CERTUS,RN,RIO GRANDE DO NORTE,1,,G,BRENO QUEIROGA,"1,99",CARLOS EDUARDO,"21,21",FATIMA BEZERRA,"36,24",PROFESSOR CARLOS ALBERTO,"1,91",ROBINSON FARIA,"10,43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-07782/2018,CERTUS,RN,RIO GRANDE DO NORTE,1,,S,ALEXANDRE MOTTA,"1,35",CAP. STYVENSON,"12,09",ZENAIDE MAIA,"9,68",GARIBALDI FILHO,"12,62",GERALDO MELO,"10,96",JACOME,"4,33",MAGNOLIA FIGUEIREDO,"1,81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-07782/2018,CERTUS,RN,RIO GRANDE DO NORTE,0,,S,ALEXANDRE MOTTA,"1,21",CAP. STYVENSON,"13,33",ZENAIDE MAIA,"9,37",GARIBALDI FILHO,"11,42",GERALDO MELO,"11,07",JACOME,"2,98",MAGNOLIA FIGUEIREDO,"1,41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-04070/2018,CERTUS,RN,RIO GRANDE DO NORTE,0,,PR,JAIR BOLSONARO,"35,05",FERNANDO HADDAD,"41,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-04070/2018,CERTUS,RN,RIO GRANDE DO NORTE,1,,PR,JAIR BOLSONARO,"35,39",FERNANDO HADDAD,"45,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-04070/2018,CERTUS,RN,RIO GRANDE DO NORTE,0,,G,CARLOS EDUARDO,"35,89",FATIMA BEZERRA,"41,70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-04070/2018,CERTUS,RN,RIO GRANDE DO NORTE,1,,G,CARLOS EDUARDO,"40,35",FATIMA BEZERRA,"46,45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
