tse_id,url,cidade,estado,util,position,estimulada,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16
AM-00057/2012,https://issuu.com/blogdoholanda/docs/relat__rio_24_outubro_2012_20121024113636/2,MANAUS,AM,1,P,,,ARTHUR VIRGILIO,69.96,VANESSA GRAZZIOTIN,22.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-00058/2012,https://issuu.com/blogdoholanda/docs/relat__rio_27_outubro_2012_20121027231047/2,MANAUS,AM,1,p,,,ARTHUR VIRGILIO,63.92,VANESSA GRAZZIOTIN,27.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-00058/2014,https://blogdafloresta.com.br/jose-melo-cresce-mais-nas-pesquisas-e-abre-vantagem-de-18-pontos-percentuais/,AMAZONAS,AM,1,G,,,JOSÉ MELO,58.0,EDUARDO BRAGA,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-00059/2014,https://www.portalmarcossantos.com.br/wp-content/uploads/2014/10/Relatorio-23-de-Outubro-de-2014-geral.pdf,AMAZONAS,AM,1,G,,,José Melo,54.8,Eduardo Braga,39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-00065/2016,https://www.portalmarcossantos.com.br/2016/10/28/ronaldo-tiradentes-e-durango-duarte-divulgam-pesquisas-dando-vitoria-para-arthur/,MANAUS,AM,1,p,,,ARTHUR VIRGILIO,54.5,MARCELO RAMOS,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-01003/2016,https://www.portalmarcossantos.com.br/2016/09/30/veja-o-quadro-eleitoral-na-ultima-pesquisa-dmp-rede-tiradentes-no-1o-turno-da-eleicao-veja-o-relatorio-completo/,MANAUS,AM,1,P,,,ARTHUR VIRGILIO,33.5,MARCELO RAMOS,29.0,SERAFIM CORREA,6.3,JOSE RICARDO,6.0,SILAS CAMARA,5.8,HISSA ABRAHAO,5.1,HENRIQUE OLIVEIRA,4.5,LUZ CASTRO,1.2,PROFESSOR QUEIROZ,0.8,,,,,,,,,,,,,,
AM-02914/2016,https://correiodaamazonia.com/mais-uma-pesquisa-mostra-marcelo-liderando-o-segundo-turno-com-517/,MANAUS,AM,1,P,1.0,,MARCELO RAMOS,39.7,ARTUR NETO,37.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-02971/2018,https://www.portalam24h.com/politica/pesquisa-aponta-vitoria-de-wilson-lima-com-quase-o-dobro-de-votos-de-amazonino.shtml,AMAZONAS,AM,1,G,,,WILSON LIMA,59.0,AMAZONINO MENDES,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-03330/2018,https://www.portalholofote.com/noticia/11039/,AMAZONAS,AM,1,S,,,REBECCA GARCIA,32.0,EDUARDO BRAGA,27.0,VANESSA GRAZZIOTIN,19.0,ALFREDO NASCIMENTO,16.0,PAUDERNEY AVELINO,12.0,PRACIANO,11.0,LUIS CASTRO,10.0,CHICO PRETO,9.0,DELEGADO WESLEY,4.0,,,,,,,,,,,,,,
AM-03330/2018,https://www.portalholofote.com/noticia/11039/,AMAZONAS,AM,1,G,,,AMAZONINO MENDES,24.1,DAVID ALMEIDA,18.2,WILSON LIMA,16.1,OMAR AZIZ,15.5,NINDBERG BARBOSA,1.8,,,,,,,,,,,,,,,,,,,,,,
