tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
SE-01126/2016,https://docplayer.com.br/22639640-Sem-liberdade-de-criticar-nao-existe-elogio-sincero-beaumarchais.html,SE,ILHA DAS FLORES,1,P,1.0,,,ERALDO DE CABEÇA DANTAS,"47,7",JEAN CARLOS,"31,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-04291/2016,http://www.lagartonoticias.com.br/2016/09/15/filho-de-ex-deputado-disputa-cargo-de-vereador-em-municipio/,SE,RIACHÃO DO DANTAS,1,P,,,,SIMONE DE DONA RAIMUNDA,"43,4",GERANA COSTA,"38,1",NELSON ARAÚJO ,"2,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-01243/2016,http://www.falaporto.com.br/politica/eleicoes-em-porto-ferreira-pesquisas-confirmam-lideranca-de-renata,SP,APARECIDA D OESTE,1,P,,,,RENATA BRAGA,"34,5",MAURÍCIO,27,RÔMULO RIPPA,13,BERQUE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-04266/2016,https://issuu.com/jornalgazetaregional/docs/gazeta_regional_-_edi____o_178,SP,ARUJÁ,1,P,1.0,,,LUIS CAMARGO,"23,6",ZÉ LUIZ MONTEIRO,18,GENÉSIO SEVERINO,"13,4",WILSON,"8,4",GIL DO GÁS,"6,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-04266/2016,https://issuu.com/jornalgazetaregional/docs/gazeta_regional_-_edi____o_178,SP,ARUJÁ,1,P,0.0,,,LUIS CAMARGO,"14,4",ZÉ LUIZ MONTEIRO,"11,2",GENÉSIO SEVERINO,6,WILSON,"5,8",GIL DO GÁS,"5,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-07956/2016,https://www.calameo.com/books/0045120971035eea2bb9a,SP,ARUJÁ,1,P,1.0,,,LUIS CAMARGO,14,GENESIO SEVERINO,11,JOSE LUIZ MONTEIRO,9,MARCIO OLIVEIRA,9,WILSON FERREIRA,7,GIL DO GÁS ,5,MARCIO BATISTA,5,PARAIBA CAR,3,JUVENAL PENTEADO,1,DINO CAPO ,1,NATALINO BISIGATI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-01777/2016,https://grupobomdia.com.br/pesquisas-apontam-eleicao-acirrada-em-bady-bassitt-tecnicamente-empatados/,SP,BADY BASSITT,1,P,,,,TOBARDINI,38,MEIRI,"36,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-03977/2016,https://grupobomdia.com.br/eleicoes-2016-meiri-catelani-vence-em-bady-e-devera-ser-a-prefeita-da-cidade/,SP,BADY BASSITT,1,P,,,,TOBARDINI,35,MEIRI,"49,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-01366/2016,https://www.calameo.com/books/0045120975d48b616ad80,SP,BIRITIBA MIRIM,1,P,1.0,,,JARBAS ,"62,50",ADRIANA FREITAS,"8,75",FERNANDO BOLANHO,"6,25",FABIO FAQUIM,"2,50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-01366/2016,https://www.calameo.com/books/0045120975d48b616ad80,SP,BIRITIBA MIRIM,1,P,0.0,,,JARBAS ,35,ADRIANA FREITAS,7,FERNANDO BOLANHO,"2,50",FABIO FAQUIM,"2,25",INHO,1,JACARE,"0,75",VALDIVINO,"0,50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-03977/2016,https://grupobomdia.com.br/eleicoes-2016-meiri-catelani-vence-em-bady-e-devera-ser-a-prefeita-da-cidade/,SP,BADY BASSITT,1,P,,,,MEIRI CATELANI,"49,5",TOBARDINI,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
