outro id,tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
,PB-08225/2016,http://deolhonocariri.com.br/outros/andre-gomes-lidera-pesquisa-com-593-em-boa-vista-tonito-aparece-em-segundo-com-28,PB,BOA VISTA,1.0,P,0.0,,,ANDRE GOMES,"54,7",ANTONIO PEREIRA,"25,7",EDVAN LEITE,1,,,,,,,,,,,,,,,,,,,,,,,,
,PB-08225/2016,http://deolhonocariri.com.br/outros/andre-gomes-lidera-pesquisa-com-593-em-boa-vista-tonito-aparece-em-segundo-com-28,PB,BOA VISTA,1.0,P,1.0,,,ANDRE GOMES,"59,3",ANTONIO PEREIRA,28,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-00012/2014,https://gilvanmelo.blogspot.com/2014_02_19_archive.html,BR,BRASIL,1.0,PR,0.0,,,DILMA ROUSSEFF,"21,3",LULA,"5,6",AECIO NEVES,"5,6",MARINA SILVA,"3,5",EDUARDO CAMPOS,"2,6",,,,,,,,,,,,,,,,,,,,
,BR-00012/2014,https://issuu.com/diariodegoias/docs/cntfevereiro2014-r117-final,BR,BRASIL,1.0,PR,1.0,,,DILMA ROUSSEFF,"40,7",MARINA SILVA,"20,6",AECIO NEVES,"15,1",,,,,,,,,,,,,,,,,,,,,,,,
,BR-00073/2014,https://issuu.com/diariodovale/docs/7464_-_diario_-_quarta-feira_-_22.1/3,BR,BRASIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-00073/2014,https://issuu.com/jornalodiario/docs/jornal21102014,BR,BRASIL,1.0,PR,,,1.0,DILMA ROUSSEFF,52,AECIO NEVES,48,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ-00073/2014,BR-00073/2014,https://www.brasil247.com/regionais/sudeste/ibope-pezao-sobe-a-56-crivela-tem-44,BR,BRASIL,1.0,G,,,,PEZAO,46,CRIVELLA,36,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-00084/2014,http://ww2.fepam.rs.gov.br/Doclics/signed/2014/P7S/619038.pdf.p7s,BR,BRASIL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-00086/2014,https://blogdowilsonfilho.blogspot.com/2014/04/,BR,BRASIL,1.0,PR,1.0,,,DILMA ROUSSEFF,"36,4",AECIO NEVES,"21,2",EDUARDO CAMPOS,"11,1",,,,,,,,,,,,,,,,,,,,,,,,
,BR-00086/2014,https://issuu.com/orangotoe/docs/755-6c014025-e1c5-488b-abee-ed70a6d0d7ee,BR,BRASIL,1.0,PR,0.0,,,DILMA ROUSSEFF,"20,5",AECIO NEVES,"9,3",EDUARDO CAMPOS,"3,6",LULA,"6,5",MARINA SILVA,"4,5",,,,,,,,,,,,,,,,,,,,
