tse_id,instituto,estado,cidade,estimulada,position,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
RS-01912/2016,STUDIO,RS,SÃO LEOPOLDO,0,P,,ARY VANNAZI,"15,3",CHICO,"6,8",DR. MOACIR,6,PROFESSOR NADO,4,DR. CARLOS SZULCSEWSKI,"1,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-01912/2016,STUDIO,RS,SÃO LEOPOLDO,1,P,,ARY VANNAZI,27,CHICO,"13,3",DR. MOACIR,"12,5",PROFESSOR NADO,"7,8",DR. CARLOS SZULCSEWSKI,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-01912/2016,STUDIO,RS,SÃO LEOPOLDO,0,V,,ADAO RAMBOR,"3,5",CIGANA,"2,3",ARY MOURA,2,BRASIL,"1,8",ANGELO SCHIMIDT,"1,5",JOAO EDUARDO,"1,3",AURELIO DA PADARIA,1,GILBERTO,1,TELBIO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ-0015/2012,IBPS,RJ,ARARUAMA,0,P,,MIGUEL JEOVANI,"16,4",ANDRE MONICA,"11,6",JOAO RIBEIRO,"5,6",CHIQUINHO,"4,2",ANDERSON MOURA,"1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ-0015/2012,IBPS,RJ,ARARUAMA,1,P,,MIGUEL JEOVANI,"40,4",ANDRE MONICA,"16,6",JOAO RIBEIRO,"12,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ-0001/2012,IBPS,RJ,NITERÓI,0,P,,JORGE ROBERTO SILVEIRA,8,RODRIGO NEVES,2,FELIPE PEIXOTO,1,MARCELO FREIXO,1,PAULO EDUARDO,1,SERGIO ZVEITER,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ-0001/2012,IBPS,RJ,NITERÓI,1,P,,RODRIGO NEVES,30,JORGE ROBERTO SILVEIRA,14,SERGIO ZVEITER,13,PAULO EDUARDO,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ-0001/2012,IBPS,RJ,NITERÓI,1,P,,SERGIO ZVEITER,21,JORGE ROBERTO SILVEIRA,16,PAULO EDUARDO,14,CHICO D'ANGELO,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ-08141/2016,IBPS,RJ,RIO DE JANEIRO,0,P,,CRIVELLA,20,MARCELO FREIXO,7,PEDRO PAULO,5,JANDIRA FEGHALI,4,FLAVIO BOLSONARO,4,INDIO DA COSTA,3,OSORIO,3,ALESSANDRO MOLON,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ-08141/2016,IBPS,RJ,RIO DE JANEIRO,1,P,,CRIVELLA,30,MARCELO FREIXO,10,PEDRO PAULO,10,JANDIRA FEGHALI,7,INDIO DA COSTA,6,FLAVIO BOLSONARO,6,OSORIO,4,ALESSANDRO MOLON,1,CARMEM MIGUELES,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ-05099/2016,IBPS,RJ,RIO DE JANEIRO,0,P,,MARCELO FREIXO,"4,5",MARCELO CRIVELLA,"4,4",EDUARDO PAES,3,PEDRO PAULO,"2,5",MOLON,"1,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ-05099/2016,IBPS,RJ,RIO DE JANEIRO,1,P,,MARCELO CRIVELLA,"23,1",MARCELO FREIXO,"12,3",ROMARIO,"11,6",PEDRO PAULO,"6,3",FLAVIO BOLSONARO,6,JANDIRA FEGHALI,"5,6",MOLON,"3,2",INDIO DA COSTA,"2,5",OSÓRIO,"2,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ-05099/2016,IBPS,RJ,RIO DE JANEIRO,0,V,,ROSA FERNANDES,"1,7",CESAR MAIA,"1,4",CESAR DAFLON,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ-03516/2016,IBPS,RJ,SÃO GONÇALO,0,P,,DR. JOSE LUIZ NANCI,"7,3",NEILTON MULIM,"6,3",DEJORGE PATRICIO,"5,6",BRIZOLA NETO,"5,2",DR. DILSON DRUMOND,"2,6",DIEGO SAO PAIO,2,MARLOS COSTA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ-03516/2016,IBPS,RJ,SÃO GONÇALO,1,P,,BRIZOLA NETO,"13,1",DR. JOSE LUIZ NANCI,"12,8",NEILTON MULIM,"11,4",DEJORGE PATRICIO,"9,6",DR. DILSON DRUMOND,"7,2",DIEGO SAO PAIO,"4,8",MARLOS COSTA,"3,5",PROF. JOSEMAR,"1,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
