obs,tse_id,url,estado,cidade,util,position,estimulada,vv,suspensa,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
,PI-00177/2014,https://180graus.com/pesquisa-eleitoral/brvoxsao-raimundo-nonatoedson-ferreira-e-marcelo-castro-liderando,PI,PIAUÍ,1.0,DF,0.0,,,MARCELO CASTRO,24.38,PAES LANDIM,20.0,SILAS FREIRE,5.0,HERACLITO FORTES,3.12,REJANE DIAS,2.19,HUGO NAPOLEAO,1.88,ATILA LIRA,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00178/2014,https://180graus.com/pesquisa-eleitoral/brvox-em-alto-longa-traz-heraclito-fortes-e-antonio-felix-na-lideranca,PI,PIAUÍ,1.0,DE,0.0,,,ANTONIO FELIX,20.31,WILSON BRANDAO,14.69,JULIO ARCOVERDE,4.06,JOAO MADISON,2.81,FLAVIO NOGUEIRA JR,2.5,SEVERO EULALIO,2.19,LIMMA,2.19,ALUISIO MARTINS,2.19,B. SA,1.88,BETO REGO,1.56,TIAGO VASCONCELOS,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00178/2014,https://180graus.com/pesquisa-eleitoral/brvox-em-alto-longa-traz-heraclito-fortes-e-antonio-felix-na-lideranca,PI,PIAUÍ,1.0,DF,0.0,,,HERACLITO FORTES,13.12,IRACEMA PORTELA,12.19,HUGO NAPOLEAO,9.38,REJANE DIAS,8.12,MARCELO CASTRO,3.44,FLAVIO NOGUEIRA,3.12,ASSIS CARVALHO,1.56,JULIO CESAR,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00179/2014,https://180graus.com/pesquisa-eleitoral/brvoxcapitao-de-campos-traz-atila-lira-e-wilson-brandao-na-lideranca,PI,PIAUÍ,1.0,DE,0.0,,,WILSON BRANDAO,27.81,ANTONIO FELIX,12.19,MARDEN MENEZES,4.38,FLAVIO NOGUEIRA JR,4.06,BRENNO ANDRADE,2.81,ANTONIO UCHOA,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00179/2014,https://180graus.com/pesquisa-eleitoral/brvoxcapitao-de-campos-traz-atila-lira-e-wilson-brandao-na-lideranca,PI,PIAUÍ,1.0,DF,0.0,,,ATILA LIRA,8.44,HERACLITO FORTES,7.5,HUGO NAPOLEAO,6.56,OSMAR JUNIOR,5.62,IRACEMA PORTELLA,5.0,RODRIGO MARTINS,5.0,SILAS FREIRE,4.38,FLAVIO NOGUEIRA,2.19,REJANE DIAS,1.88,MARDEN MENEZES,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00180/2014,https://issuu.com/oxente/docs/revista180_-_22_web/44,PI,PIAUÍ,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00181/2014,https://issuu.com/oxente/docs/revista180_-_22_web,PI,PIAUÍ,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00183/2012,https://portaldocatita.blogspot.com/2012/08/brvox-180-graus.html,PI,LUIS CORREIA,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00184/2014,https://180graus.com/pesquisa-eleitoral/brvoxsao-joao-do-piaui-traz-paes-landim-e-fabio-novo-na-lideranca,PI,PIAUÍ,1.0,DE,0.0,,,FABIO NOVO,20.31,EDSON FERREIRA,9.38,ZE SANTANA,7.81,HELIO ISAIAS,5.62,JANAINA MARQUES,2.81,ZE CARVALHO,1.88,FIRMINO PAULO,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00184/2014,https://180graus.com/pesquisa-eleitoral/brvoxsao-joao-do-piaui-traz-paes-landim-e-fabio-novo-na-lideranca,PI,PIAUÍ,1.0,DF,0.0,,,PAES LANDIM,20.62,REJANE DIAS,20.62,HERACLITO FORTES,5.62,MARCELO CASTRO,3.12,ZE FRANCISCO,2.81,ASSIS CARVALHO,1.88,HUGO NAPOLEAO,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
