tse_id,url,,estado,sg_ue,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
PR-00036/2012,http://www.youblisher.com/p/402107-Informativo-Avanca-Arapoti-Braz-Prefeito-25/,7871966000143,PR,74292,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00049/2012,https://docplayer.com.br/19788079-Pesquisa-de-opiniao-publica-eleicoes-2012-foz-do-iguacu-parana-realizada-nos-dias-13-e-14-de-agosto-de-2012.html,481961000165,PR,75639,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00049/2012,https://informeeativo.blogspot.com/2012/,481961000165,PR,75639,1,P,1.0,,,reni pereira,0.568,chico brasileiro,0.227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00049/2012,https://informeeativo.blogspot.com/2012/,481961000165,PR,75639,1,P,0.0,,,reni pereira,0.405,chico brasileiro,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00049/2012,https://informeeativo.blogspot.com/2012/,481961000165,PR,75639,1,P,1.0,,1.0,reni pereira,0.707,chico brasileiro,0.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00049/2012,https://informeeativo.blogspot.com/2012/,481961000165,PR,75639,1,P,1.0,,,reni pereira,0.588,chico brasileiro,0.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00119/2012,http://livrozilla.com/doc/434997/faculdades-integradas-do-brasil-%E2%80%93-unibrasil-curso-de-p%C3%B3s,4996040000196,PR,84654,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00137/2012,http://zhadvogados.com.br/noticias-e-artigos-juridicos/zavadniak-honorato-advogados-associados-advocacia-trabalhista-curitiba-advogados-trabalhistas-curitiba-advocacia-especializada-26/,481961000165,PR,75655,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00139/2012,https://www.yumpu.com/pt/document/view/8854422/setembro-de-2012indd-folha-de-colorado,7871966000143,PR,75159,1,P,0.0,,,joaquim da farmacia,0.423,zemardi,0.29,renato cardoso,0.067,mario da fruticol,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00139/2012,https://www.yumpu.com/pt/document/view/8854422/setembro-de-2012indd-folha-de-colorado,7871966000143,PR,75159,1,P,1.0,,,joaquim da farmacia,0.437,zemardi,0.3,renato cardoso,0.07,mario da fruticol,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00153/2012,https://fuxicosdequitandinha.blogspot.com/2012/09/saiu-pesquisa-duas.html,7871966000143,PR,78018,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00171/2012,https://impactoprdiario.blogspot.com/2012/09/,7871966000143,PR,76678,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00171/2012,https://issuu.com/metropole/docs/metropole18-9-12,7871966000143,PR,76678,1,P,1.0,,1.0,marcelo belinati,0.602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00171/2012,https://issuu.com/metropole/docs/metropole18-9-12,7871966000143,PR,76678,1,P,1.0,,,marcelo belinati,0.483,marcia lopes,0.095,barbosa neto,0.089,alexandre kireeff,0.066,eduardo cheida,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00171/2012,https://londrinanalatinha.blogspot.com/2012/09/,7871966000143,PR,76678,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00171/2012,https://www.fabiocampana.com.br/2012/09/nova-pesquisa-amplia-lideranca-marcelo-belinati-ja-tem-483/,7871966000143,PR,76678,1,P,0.0,,,marcelo belinati,0.448,barbosa neto,0.085,marcia lopes,0.081,alexandre kireeff,0.055,eduardo cheida,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00220/2012,https://noticiasdearapoti.blogspot.com/2012/09/secretario-da-habitacao-visita-potinho.html,7871966000143,PR,74292,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
