tse_id,url,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
MT-04960/2016,https://www.olhardireto.com.br/noticias/exibir.asp?id=426663,1,P,,0.0,0.0,EMANUEL PINHEIRO,"21,67%",PROCURADOR MAURO,"21,27%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-07982/2016,https://matogrossomais.com.br/2016/09/26/emanuel-pinheiro-abre-vantagem-de-883-procurador-e-wilson-disputam-vaga/,1,P,1.0,0.0,0.0,EMANUEL PINHEIRO,"28,75%",PROCURADOR MAURO,"19,92%",WILSON SANTOS,"16,83%",JULIER SEBASTIÃO,"5,08%",SERYS SLHESSARENKO,0.02,RENATO SANTANA,"0,08%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-07982/2016,https://matogrossomais.com.br/2016/09/26/emanuel-pinheiro-abre-vantagem-de-883-procurador-e-wilson-disputam-vaga/,1,P,0.0,0.0,0.0,EMANUEL PINHEIRO,"20,83%",PROCURADOR MAURO,"16,33%",WILSON SANTOS,"14,42%",JULIER SEBASTIÃO,"4,67%",SERYS SLHESSARENKO,"1,92%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-07982/2016,https://www.folhamax.com/politica/tres-vereadores-e-empresario-lideram-pesquisa-para-camara-de-vereadores-de-cuiaba/100477,1,V,,0.0,0.0,ADEVAIR CABRAL,"2,17%",CHICO 2000,"1,83%",TONINHO DE SOUZA,"1,50%",FABINHO,"1,42%",JUCA DO GUARANÁ,"1,17%",MISSAEL GALVÃO,"1,17%",CÉLIO,"1,08%",RICARDO SAAD,"0,92%",DR. XAVIER,"0,83%",ELIZEU NASCIMENTO,"0,83%",GUSTAVO COSTA,"0,83%",POP,"0,75%",WILSON KERO KERO,"0,75%",ZÉ ADRENALINA,"0,75%",SGT. JOELSON,"0,67%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-08499/2016,https://www.folhamax.com/politica//pesquisa-indica-reeleicao-do-prefeito-de-leverger-com-50/101012,1,P,0.0,0.0,0.0,VALDIRZINHO,"47,5%",FRANKLIN,"13,5%",MARCELO QUEIROZ,"13,25%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-08499/2016,https://www.folhamax.com/politica//pesquisa-indica-reeleicao-do-prefeito-de-leverger-com-50/101012,1,P,1.0,0.0,0.0,VALDIRZINHO,0.5,FRANKLIN,"14,25%",MARCELO QUEIROZ,"14,25%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-03334/2016,http://blogoosfero.cc/diogenesbrandao/blog/idesa-indica-vitoria-de-antonio-doido-em-sao-miguel-do-guama,1,P,1.0,0.0,0.0,ANTONIO DOIDO,"32,2%",CACAU,"25,2%",EDUARDO,"25,1%",CARLOS VAZ,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-05187/2016,https://diogenesbrandao.blogspot.com/2016/09/pesquisa-idesa-aponta-vitoria-de-chita.html,1,P,1.0,0.0,0.0,CHITA,"27,2",ZÉ MIGUEL,"18,1%",ELTON MAUES,"15,9%",RAÍ MORAES,"6,6%",PEDRO HENRIQUE,"3,5%",PR JAIRO,"2,3%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-05187/2016,https://diogenesbrandao.blogspot.com/2016/09/pesquisa-idesa-aponta-vitoria-de-chita.html,1,P,0.0,0.0,0.0,CHITA,0.18,ZÉ MIGUEL,"12,8%",ELTON MAUES,"12,1%",RAÍ MORAES,"7,7%",PEDRO HENRIQUE,"2,4%",PR JAIRO,"1,5%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-05452/2016,https://www.casemine.com/judgement/uk/5b46f20c2c94e0775e7f1466,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-05960/2016,https://folhadetucurui.blogspot.com/2016/08/pesquisa-doxa-jones-william-permanece.html,1,P,0.0,0.0,0.0,JONES WILLIAM,"33,2%",JAIRO HOLANDA,"29,1%",JOILSON,"1,1%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-05960/2016,https://folhadetucurui.blogspot.com/2016/08/pesquisa-doxa-jones-william-permanece.html,1,P,1.0,0.0,0.0,JONES WILLIAM,"43,7%",JAIRO HOLANDA,"31,1%",JOILSON,"3,1%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-07491/2016,https://diogenesbrandao.blogspot.com/2016_09_30_archive.html,1,P,0.0,0.0,0.0,ELSINHO,0.43,YOTI,0.32,QUANDU,0.09,EDUARDO DO POSTO,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-07491/2016,https://diogenesbrandao.blogspot.com/2016_09_30_archive.html,1,P,,0.0,0.0,ELSINHO,34%%,YOTI,32%%,QUANDU,15%%,EDUARDO DO POSTO,8%%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-07839/2016,https://folhadetucurui.blogspot.com/2016/09/estao-registradas-quatro-pesquisas-para.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-09841/2016,https://pererecadavizinha.blogspot.com/2016/08/edmilson-lidera-disputa-pela-prefeitura.html,1,P,1.0,0.0,0.0,EDMILSON,"36,9%",EDER MAURO,"24,5%",ZENALDO,"10,1%",REGINA BARATA,"2,6%",ÚRSULA VIDAL,"2,6%",MANESCHY,"1,6%",PROF. IVANILDO,"0,6%",LÉLIO COSTA,"0,4%",CLÉBER REBELO,"0,5%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00205/2012,https://www.gp1.com.br/noticias/pesquisa-em-sao-joao-do-piaui-abel-landim-4280-dr-alexandre-23-e-dr-gil-carlos-1340-263380.html,1,P,1.0,0.0,0.0,ABEL LANDIM,"42,8%",DR ALEXANDRE,0.23,DR GIL CARLOS,"18,6%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00205/2012,https://www.gp1.com.br/noticias/pesquisa-em-sao-joao-do-piaui-abel-landim-4280-dr-alexandre-23-e-dr-gil-carlos-1340-263380.html,1,P,0.0,0.0,0.0,ABEL LANDIM,"40,4%",DR ALEXANDRE,"20,6%",DR GIL CARLOS,"15,6%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00385/2012,https://issuu.com/jornal-o-dia/docs/capa_041012/15,1,P,1.0,0.0,0.0,ROBÉRIO LEITE,"51,33%",DR. WALMIR CAFÉ,"39,33%",MAURO JÚNIOR,"1,8%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
