obs,outro id,tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
,,BR-02681/2018,http://www.ofachodegrossos.com/2018/09/fatima-lidera-com-o-dobro-dos-pontos-de.html,BR,BRASIL,1.0,PR,,,,JAIR BOLSONARO,21,FERNANDO HADDAD,20,CIRO GOMES,14,GERALDO ALCKMIN,3,MARINA SILVA,2,ALVARO DIAS,1,HENRIQUE MEIRELLES,1,JOAO AMOEDO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RN-07553/2018,BR-02681/2018,https://folhadoalto.blogspot.com/2018_09_14_archive.html,BR,BRASIL,1.0,S,1.0,,,CAPITAO STYVENSON,21,ZENAIDE MAIA,15,GARIBALDI ALVES,14,GERALDO MELO,10,ANTONIO JACOME,5,ALEXANDRE MOTTA,2,MAGNOLIA FIGUEIREDO,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RN-03095/2018,BR-03943/2018,http://www.blogdosilverioalves.com/2018/10/pesquisa-seta-divulgada-hoje-4-podera.html,BR,BRASIL,1.0,G,1.0,,,FATIMA BEZERRA,32,CARLOS EDUARDO ALVES,16,ROBINSON FARIA,11,BRENO QUEIROGA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BR-03943/2018,http://www.bloglucianoseixas.com/2018/10/pesquisa-setagoverno-votos-validos.html,BR,BRASIL,1.0,PR,1.0,,,FERNANDO HADDAD,30,JAIR BOLSONARO,26,CIRO GOMES,11,GERALDO ALCKMIN,2,MARINA SILVA,2,JOAO AMOEDO,1,HENRIQUE MEIRELLES,1,CABO DACIOLO,1,ALVARO DIAS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RN-03095/2018,BR-03943/2018,https://fernando-averdade.blogspot.com/2018/10/pesquisa-setablogdobg-senado-soma.html,BR,BRASIL,1.0,S,1.0,,,CAPITAO STYVENSON,29,ZENAIDE MAIA,23,GERALDO MELO,14,GARIBALDI ALVES,13,ANTONIO JACOME,7,MAGNOLIA FIGUEIREDO,3,ALEXANDRE MOTTA,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RN-0533/2018,BR-04314/2018,http://blogdachris.com/post/fatima-bezerra-tem-52-dos-votos-validos-contra-48-de-carlos-eduardo/1772/,BR,BRASIL,1.0,G,1.0,,,FATIMA BEZERRA,42,CARLOS EDUARDO ALVES,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BR-04314/2018,https://www.efranciscogomes.com/2018/10/no-rn-pesquisa-indica-empate-entre.html,BR,BRASIL,1.0,PR,,,1.0,FERNANDO HADDAD,52,JAIR BOLSONARO,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RN-09856/2018,BR-05663/2018,https://folhadoalto.blogspot.com/2018_08_08_archive.html,BR,BRASIL,1.0,G,1.0,,,FATIMA BEZERRA,"25,5",CARLOS EDUARDO ALVES,"14,7",ROBINSON FARIA,"8,7",PROF CARLOS ALBERTO,"2,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RN-09856/2018,BR-05663/2018,https://nossajosedapenha.blogspot.com/2018/08/pesquisa-seta-espontanea-para-do.html,BR,BRASIL,1.0,G,0.0,,,FATIMA BEZERRA,"8,4",CARLOS EDUARDO ALVES,"6,5",ROBINSON FARIA,"2,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RN-09856/2018,BR-05663/2018,https://costabrancanews.com/capitao-styvenson-cresce-5-e-se-distancia-de-garibaldi-e-zenaide-na-corrida-para-o-senado/,BR,BRASIL,1.0,S,,,,CAPITAO STYVENSON,21,GARIBALDI FILHO,13,ZENAIDE MAIA,14,GERALDO MELO,9,ANTONIO JACOME ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
