tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13
BR-00980/2014,https://www.vilanoticias.com/ibope-e-futura-mostram-larga-vantagem-de-paulo-hartung-eleicao-deve-ser-decidida-no-primeiro/,BR,BRASIL,1,pr,,,,Dilma,30,Marina Silva,29,Aécio Neves,21,Pastor Everaldo,2.0,,,,,,,,,,,,,,,,,,
BR-01039/2018,https://especiais.gazetadopovo.com.br/eleicoes/2018/pesquisas-eleitorais/ibope/ibope-para-presidente-em-ro-bolsonaro-lidera-com-52/,BR,BRASIL,1,pr,,,,Jair Bolsonaro,52,Fernando Haddad,18,Ciro Gomes,6,Geraldo Alckmin,6.0,Marina Silva,3.0,Henrique Meirelles,2.0,Cabo Daciolo,2.0,Alvaro Dias,2.0,João Amoedo,1.0,Guilherme Boulos,1.0,,,,,,
BR-01050/2014,https://noticias.r7.com/eleicoes-2014/minas-gerais/boca-de-urna-pimentel-pode-vencer-no-primeiro-turno-com-53-dos-votos-validos-05102014,BR,BRASIL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-01054/2014,"https://www.bnews.com.br/noticias/eleicoes/eleicoes/97130,pesquisa-ibope-boca-de-urna-rui-tem-49-souto-39-e-lidice-9.html",BR,BRASIL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-01060/2014,https://www.paradoxzero.com/2014/pesquisa-brasil-ibope-boca-urna-outubro-2014/,BR,BRASIL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-01221/2014,https://aldoalmeida.blogspot.com/2014/10/aecio-volta-subir-e-eleicao-esta.html,BR,BRASIL,1,pr,,,,Dilma,49,Aécio Neves,43,,,,,,,,,,,,,,,,,,,,,,
BR-01226/2014,https://www.jornaldocomercio.com/site/noticia.php?codn=177454,BR,BRASIL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-01948/2018,https://exame.com/brasil/no-distrito-federal-ibaneis-vai-ao-2o-turno-diz-ibope/,BR,BRASIL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-02316/2018,https://blogdopavulo.com/boca-de-urna-2o-turno-leia-projecao-nos-estados-e-no-distrito-federal/,BR,BRASIL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-03599/2018,https://diariopoliticocustodiense.blogspot.com/2018/03/pesquisa-cniibope-pt-e-o-partido.html,BR,BRASIL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-04412/2018,https://kuyava.blogspot.com/feeds/posts/default,BR,BRASIL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-05229/2018,https://www.piroponews.com/2018/10/pr-ratinho-jr-do-psd-sera-eleito.html,BR,BRASIL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-06398/2018,https://blogdopavulo.com/boca-de-urna-2o-turno-leia-projecao-nos-estados-e-no-distrito-federal/,BR,BRASIL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-06445/2018,https://www.todapolitica.com/eleicoes-2018/pesquisa-eleitoral-minas-gerais/,BR,BRASIL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-06913/2018,https://www.pemais.com/2018/09/,BR,BRASIL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-06971/2018,https://www.tribunadoagreste.com.br/2018/10/boca-de-urna-ibope-no-rs-eduardo-leite-tem-52-e-jose-ivo-sartori-tem-48/,BR,BRASIL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
