tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13
PE-03078/2018,https://oglobo.globo.com/brasil/boca-de-urna-do-ibope-governador-de-pernambuco-tem-50-dos-votos-validos-pode-ser-reeleito-no-primeiro-turno-23136968,PE,PERNAMBUCO,1,g,,,1.0,Paulo Câmara,50,Armando Monteiro,34,Dani Portela,7,Julio Losso,4.0,Maurício Rands,4.0,,,,,,,,,,,,,,,,
PE-03445/2016,http://www.blogbrunobrito.com/2016/09/em-petrolina-sai-pesquisa-do-ibope.html,PE,PETROLINA,1,p,,,,Miguel Coelho,30,Adalberto Cavalcanti,20,Odacy Amorim,19,Edinaldo Lima,15.0,Perpétua Rodrigues,1.0,,,,,,,,,,,,,,,,
PE-07101/2018,https://g1.globo.com/pe/pernambuco/eleicoes/2018/noticia/2018/09/27/pesquisa-ibope-para-o-senado-em-pernambuco-humberto-32-jarbas-31-mendonca-22.ghtml,PE,PERNAMBUCO,1,s,,,,Humberto Costa,32,Jarbas,31,Mendonça Filho,22,Silvio Costa,12.0,Bruno Araújo,9.0,Pastor Jairinho,5.0,Adriana Rocha,3.0,Eugênia,2.0,Hélio Cabral,2.0,Albanise Pires,2.0,Lídia Brunes,1.0,Alex Rola,1.0,,
PE-07101/2018,"https://www.terra.com.br/noticias/brasil/politica/ibopepe-camara-oscila-para-35-monteiro-vai-a-27-e-julio-lossio-tem-3,18f50cff519faa6e948b6f6e90ead7481d091n71.html",PE,PERNAMBUCO,1,g,,,,Paulo Câmara,35,Armando Monteiro,27,Julio Lossio,3,Mauricio Rands,2.0,Ana Patricia Alves,1.0,Simone Fontana,1.0,Dani Portela,1.0,,,,,,,,,,,,
PI-05272/2016,https://www.todapolitica.com/eleicoes-2016/pesquisa-eleitoral-teresina/,PI,TERESINA,1,p,,,,Firmino Filho,48,Dr. Pessoa,31,Amadeu Campos,10,Lourdes Melo,1.0,Quem-Quem,1.0,Everton Diego,1.0,,,,,,,,,,,,,,
PR-00040/2012,https://issuu.com/orangotoe/docs/3-c898444e-356d-4cf5-8623-f983745558ca/7,PR,CURITIBA,1,p,1.0,,,Luciano Ducci,25,Gustavo Fruet,24,Ratinho Jr,23,Rafael Greca,6.0,Carlos Moraes,1.0,,,,,,,,,,,,,,,,
PR-00040/2012,https://issuu.com/orangotoe/docs/3-c898444e-356d-4cf5-8623-f983745558ca/7,PR,CURITIBA,1,p,0.0,,,Luciano Ducci,14,Gustavo Fruet,14,Ratinho Jr,11,Rafael Greca,3.0,,,,,,,,,,,,,,,,,,
PR-00042/2014,https://issuu.com/mauriciograbo/docs/jornal_centro_c__vico_outubro_issuu,PR,PARANÁ,1,g,,,1.0,Beto Richa,"55,2",Roberto Requião,"32,9",Gleisi Hoffmann,"10,5",,,,,,,,,,,,,,,,,,,,
PR-00162/2012,https://eleicoes.uol.com.br/2012/noticias/2012/09/14/ibope-ratinho-jr-e-ducci-seguem-empatados-na-frente-em-curitiba.htm,PR,CURITIBA,1,p,,,,Luciano Ducci,31,Ratinho Jr,30,Gustavo Fruet,16,Rafael Greca,8.0,Alzimara Bacellar,1.0,Bruno Meirinho,1.0,,,,,,,,,,,,,,
PR-00462/2012,https://eleicoes.uol.com.br/2012/noticias/2012/10/02/em-curitiba-ratinho-jr-tem-35-ducci-28-e-fruet-16-aponta-ibope.htm,PR,CURITIBA,1,p,,,,Ratinho Jr,35,Luciano Ducci,28,Gustavo Fruet,16,Rafael Greca,9.0,Alzimara Bacellar,1.0,Bruno Meirinho,1.0,,,,,,,,,,,,,,
PR-00624/2012,"https://www.terra.com.br/noticias/brasil/politica/pr-ibope-indica-segundo-turno-entre-bueno-e-lemos-em-cascavel,2ffedf0a2566b310VgnCLD200000bbcceb0aRCRD.html",PR,CASCAVEL,1,p,,,,Edgar Lemos,33,José Bueno,26,Jorge Lange,14,Idalina Barreiros,5.0,Chico Menin,4.0,Lisias Tomé,3.0,,,,,,,,,,,,,,
PR-00646/2012,https://zip.postcodebase.com/zipcode/00646-2012,PR,FOZ DO IGUAÇU,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00647/2012,https://www.emergencyglassrepair.com/nissan-rogue/,PR,PONTA GROSSA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00650/2012,https://zip.postcodebase.com/zipcode/00650-2012,PR,LONDRINA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00653/2012,https://zip.postcodebase.com/zipcode/00653-2012,PR,MARINGÁ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00654/2012,http://www.compolitica.org/home/wp-content/uploads/2017/06/FONTESEFERRACIOLI_-NOVASELEIC%CC%A7O%CC%83ESNOVASESTRATE%CC%81GIAS_.pdf,PR,CURITIBA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
