tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
PI-00012/2014,https://portalalertaburiti.blogspot.com/2014/09/eleicoes-2014-credibilidade-em-teresina.html,PI,PIAUÍ,1,G,1.0,,,WELLINGTON DIAS,"42,12",ZE FILHO,"39,25",MAO SANTA,"2,38",DANIEL SOLON,"1,75",MAKLANDEL AQUINO,"1,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00012/2016,http://www.piripirireporter.com/noticias/13242/brvox-2012-luiz-42-x-odival-34-brvox-2016-luiz-28-x-jove-24-ate-o-dia-das-eleicoes-pesquisas-dividem-opinioes.html,PI,PIRIPIRI,1,P,0.0,,,LUIS MENEZES,28,JOVE OLIVEIRA,"24,67",SOCORRO PINTO,"5,33",ODIVAL ANDRADE,"2,33",JOCANO PINTO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00022/2014,https://180graus.com/pesquisa-eleitoral/brvox-em-eliseu-martins-dr-marcos-tem-mais-de-81-de-apoio-popular,PI,PIAUÍ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00025/2014,https://180graus.com/pesquisa-eleitoral/brvox-jerumenha-chirlene-araujo-tem-aprovacao-de-62-veja-dados,PI,PIAUÍ,1,S,1.0,,,WILSON MARTINS ,"40,53",JOAO VICENTE CLAUDINO,"28,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00028/2014,http://cidadesnanet.com/noticias/politica/eleicoes-2014-wellington-dias-lidera-pesquisa-em-todo-o-piaui-veja-numeros/,PI,PIAUÍ,1,G,0.0,,,WELLINGTON DIAS,"17,42",MARCELO CASTRO,"9,79",MAO SANTA,"1,75",WILSON MARTINS,"1,67",SILVIO MENDES,"1,27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00028/2014,http://cidadesnanet.com/noticias/politica/eleicoes-2014-wellington-dias-lidera-pesquisa-em-todo-o-piaui-veja-numeros/,PI,PIAUÍ,1,G,1.0,,,WELLINGTON DIAS,"44,39",MARCELO CASTRO,"19,89",MAO SANTA,"12,49",LUIS COELHO,"1,75",DANIEL SOLON,"1,27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00028/2014,http://www.jornaldacidadepi.com.br/detalhe.php?n=7903,PI,PIAUÍ,1,DF,0.0,,,MARLLOS SAMPAIO,"1,75",JULIO CESAR,"1,71",ATILA LIRA,"1,43",HUGO NAPOLEAO,"1,27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00028/2014,https://fabionascimentonoticias.blogspot.com/2014/03/instituto-data-az-divulga-pesquisa-onde.html,PI,PIAUÍ,1,DE,0.0,,,WILSON BRANDAO,"1,19",MARDEM MENEZES,"1,19",FABIO NOVO,"1,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00032/2014,http://www.blogdocoveiro.com.br/2014/04/cocal-avaliacao-da-administracao-do.html,PI,PIAUÍ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00036/2014,https://blogdofumanchuphb.blogspot.com/2014/05/data-az-wellington-dias-segue-liderando_9.html,PI,PIAUÍ,1,G,1.0,,,MAO SANTA,"12,49",MARCELO CASTRO,"16,31",WELLINGTON DIAS,"46,3",DANIEL SOLON,"1,99",ZE FILHO,"6,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00036/2014,https://cidadesnanet.com/news/politica/wellington-dias-tem-46-marcelo-castro-16-e-mao-santa-12-em-nova-pesquisa/,PI,PIAUÍ,1,G,0.0,,,MAO SANTA,"3,1",MARCELO CASTRO,"5,89",WELLINGTON DIAS,"21,88",ZE FILHO,"2,47",SILVIO MENDES,"1,51",WILSON MARTINS,"1,35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00036/2014,https://fabionascimentonoticias.blogspot.com/2014/05/data-az-ultima-pesquisa-divulgada.html,PI,PIAUÍ,1,DF,0.0,,,REJANE DIAS,"1,67",ATILA LIRA,"1,59",MARLLOS SAMPAIO,"1,51",HUGO NAPOLEAO,"1,43",JULIO CESAR,"1,11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00036/2014,https://gabrielhammer.blogspot.com/2014/05/wellington-dias-segue-liderando-corrida.html,PI,PIAUÍ,1,DE,0.0,,,WILSON BRANDAO,"1,59",ROBERTO RIOS,"1,19",FERNANDO MONTEIRO,"1,11",LIZIE COELHO,"1,11",FABIO NOVO,"0,95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00044/2012,http://pdfdirff.com/download/tinjauan-prosedur-kredit.pdf,PI,SÃO RAIMUNDO NONATO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00045/2014,https://180graus.com/pesquisa-eleitoral/brvox-em-piripiri-dr-pinto-com-32-e-marden-31reynolds-6-e-benno-3,PI,PIAUÍ,1,DE,1.0,,,DR. PINTO,"32,52",MARDEN MENEZES,"31,55",REYNOLDS BENICIO ,"6,55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00052/2014,https://piauidepontaaponta.blogspot.com/2014_06_19_archive.html,PI,PIAUÍ,1,G,,,,WELLINGTON DIAS,"39,70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00057/2014,https://issuu.com/oxente/docs/revista180_-_22_web/23,PI,PIAUÍ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00067/2014,http://www.blogdocoveiro.com.br/2014/07/data-az-wellington-lidera-na-grande.html,PI,PIAUÍ,1,G,1.0,,,WELLINGTON DIAS,"52,45",ZE FILHO ,"14,59",MAO SANTA,"11,45",DANIEL SOLON,"1,57",MAKLANDEL AQUINO,"1,2",NETO SAMBAIBA,"0,65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
