obs,tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
,PE-05114/2016,https://www.ojornaldetoritama.com.br/2016/09/nova-pesquisa-registrada-mostra-lucinha.html,PE,TORITAMA,1,P,0.0,,,Lucinha,36.0,Odon Ferreira,26.0,Edilson Tavates,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PE-05210/2016,http://www.blogdocesarmello.com.br/2016/08/,PE,SANTA CRUZ DO CAPIBARIBE,1,P,1.0,,,Edson Vieira,44.0,Fernando Aragão,29.0,Clodoaldo Barros,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PE-05210/2016,http://www.blogdocesarmello.com.br/2016/08/,PE,SANTA CRUZ DO CAPIBARIBE,1,P,0.0,,,Edson Vieira,42.0,Fernando Aragão,25.0,Josér Augusto,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PE-05638/2016,https://blogs.ne10.uol.com.br/jamildo/2016/10/22/tony-gel-possui-5096-e-raquel-lyra-4904-dos-votos-validos-em-caruaru-diz-pesquisa/,PE,CARUARU,1,P,,,,Tony Gel,42.43,Raquel Lyra,40.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PE-05920/2016,https://blogs.ne10.uol.com.br/jamildo/2016/10/25/lupercio-tem-5709-das-intencoes-de-votos-validos-e-antonio-campos-4291-diz-datametrica/,PE,OLINDA,1,P,,,,Professor Lupércio,42.2,Atônio Campos,31.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PE-06501/2016,https://nodetalhe.com.br/tony-gel-lidera-em-caruaru/,PE,CARUARU,1,P,1.0,,,Tony Gel,46.21,Raquel Lyra,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PE-06822/2016,https://henriquebarbosa.com/2016/09/27/109872-2/,PE,RECIFE,1,P,1.0,,,Geraldo Julio,37.0,João Paulo,28.0,Daniel Coelho,11.0,Priscila Krause,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PE-06822/2016,https://henriquebarbosa.com/2016/09/27/109872-2/,PE,RECIFE,1,P,0.0,,,Geraldo Julio,30.0,João Paulo,24.0,Daniel Coelho,8.0,Priscila Krause,1.0,Edilson Silva,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PE-06968/2016,http://www.blogdomagno.com.br/ver_post.php?id=167734,PE,JABOATÃO DOS GUARARAPES,1,P,,,,Anderson Ferreira,40.3,Neco,31.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PE-07673/2016,https://giro.matanorte.com/destaques/fred-gadelha-anuncia-oficialmente-que-desiste-de-concorrer-reeleicao-em-goiana/,PE,GOIANA,1,P,1.0,,,Oswaldinho,33.0,Edval,21.0,Tenente Menezes,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
