tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
MS-06651/2016,https://www.msnoticias.com.br/editorias/politica-mato-grosso-sul/pesquisa-valle-eleitor-consolida-lideranca-de-marquinhos/68952/,MS,CAMPO GRANDE,1,P,0.0,,,MARQUINHOS TRAD ,"39,76",ROSE MODESTO,"23,64",ALCIDES BERNAL,"8,23",CORONEL DAVID ,"1,05",ALEX DO PT,"0,58",MARCELO BLUMA,"0,35",SUEL FERRANTI,"0,35",ROSANA SANTOS,"0,23",ATHAYDE NERI,"0,23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-06651/2016,https://www.msnoticias.com.br/editorias/politica-mato-grosso-sul/pesquisa-valle-eleitor-consolida-lideranca-de-marquinhos/68952/,MS,CAMPO GRANDE,1,P,1.0,,,MARQUINHOS TRAD ,"46,47",ROSE MODESTO,"25,64",ALCIDES BERNAL,"11,05",CORONEL DAVID ,"1,88",ALEX DO PT,"0,7",MARCELO BLUMA,"0,7",SUEL FERRANTI,"0,58",ROSANA SANTOS,"0,35",ATHAYDE NERI,"0,23",PEDROSSIAN FILHO,"0,11",AROLDO FIGUERO,"0,11",JOSE ARCE,"0,11",ADALTO GARCIA,"0,11",ELIZEU AMARILHA,"0,11",LAURO DAVID,"0,11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-06651/2016,https://diariomsnews.com.br/noticias/campo-grande/veja-os-novos-numeros-para-vereadores-da-capital-segundo-o-instituto-valle-6421,MS,CAMPO GRANDE,1,V,0.0,,,CORINGA,"2,82",CARLAO,"2,11",CHIQUINHO TELLES,"2,00",DR. CURRY ,"1,76",SILVIO PITU,"1,64",DR. JAMAL,"1,64",VANDERLEI CABELUDO,"1,64",LIZ DERZI MATOS,"1,41",AYRTON ARAUJO,"1,29",MAJOR AJALA,"1,17",ALEXANDRE REZENDE,"1,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-07573/2016,https://issuu.com/adelinomegaweb/docs/pesquisa-valle-850-entrevistas/7,MS,CAMPO GRANDE,1,P,0.0,,,MARQUINHOS TRAD ,"32,23",ROSE MODESTO,"20,11",ALCIDES BERNAL,"11,05",ALEX DO PT,"0,7",MARCELO BLUMA,"0,58",CORONEL DAVID,"0,58",AROLDO FIGUEIRO ,"0,47",NELSINHO TRAD,"0,47",PUCCINELLI,"0,35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-07573/2016,https://issuu.com/adelinomegaweb/docs/pesquisa-valle-850-entrevistas/7,MS,CAMPO GRANDE,1,P,1.0,,,MARQUINHOS TRAD ,"40,40",ROSE MODESTO,"25,17",ALCIDES BERNAL,"16,47",ALEX DO PT,"2,11",CORONEL DAVID,"1,88",MARCELO BLUMA,"0,94",ATHAYDE NERY,"0,58",ROSANA SANTOS,"0,47",SUEL FERRANTI,"0,35",PEDROSSIAN FILHO,"0,23",AROLDO FIGUERO,"0,23",JOSE ARCE,"0,11",ADALTO GARCIA,"0,11",ELISEU AMARILHA ,"0,11",LAURO DAVID ,"0,11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-07573/2016,https://issuu.com/adelinomegaweb/docs/pesquisa-valle-850-entrevistas/7,MS,CAMPO GRANDE,1,V,0.0,,,CORINGA ,"3,05",LIZ DERZI MATOS,"1,88",VANDERLEI CABELUDO,"1,41",LUCAS DE LIMA,"1,29",CHIQUINHO TELLES,"1,17",PAULO SIUFI,"1,17",DR. LOESTER ,"1,05",SILVIO PITU ,"1,05",EDUARDO CURY ,"0,94",DR. LIVIO,"0,94",OTAVIO TRAD,"0,82",JOEL FAUSTINO,"0,82",EDUARDO ROMERO,"0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-09178/2016,https://diariomsnews.com.br/noticias/campo-grande/marquinhos-trad-lidera-pesquisas-oficialmente-registradas-para-prefeito-de-campo-grande-5162,MS,CAMPO GRANDE,1,P,1.0,,,MARQUINHOS TRAD,"33,17",ALCIDES BERNAL,"24,70",ROSE MODESTO ,"8,82",WALDERMIR MOKA,"3,76",TEREZA CRISTINA,"2,35",PEDROSSIAN FILHO,"2,11",SERGIO LONGEN,"1,76",ALEX DO PT,"1,17",RENATO GOMES,"0,47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-09462/2016,http://www.capitalnews.com.br/colunistas/marco-eusebio/rose-reage-na-reta-final-diz-pesquisa-valle/297027,MS,CAMPO GRANDE,1,P,1.0,,,MARQUINHOS TRAD,"46,58",ROSE MODESTO,"34,94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-09462/2016,http://www.capitalnews.com.br/colunistas/marco-eusebio/rose-reage-na-reta-final-diz-pesquisa-valle/297027,MS,CAMPO GRANDE,1,P,0.0,,,MARQUINHOS TRAD,"41,17",ROSE MODESTO,"30,94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-01536/2016,https://issuu.com/bocadopovonews/docs/ed_834_baixa,MS,TERENOS,1,P,1.0,,,DONIZETE ,"42,28",DR. RENATO,"33,71",BARATAO,"2,85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-01373/2016,https://jornaldetucurui.blogspot.com/2016/04/eleicoes-2016-pesquisa-doxa-aponta.html,PA,GOIANÉSIA DO PARÁ,1,P,1.0,,,TONHAO,26,ITAMAR,24,RIBAMAR,23,RUSSINHO,"2,4",DADA SERGIPANO,"2,2",ACACIO BARROS,"1,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-01373/2016,https://jornaldetucurui.blogspot.com/2016/04/eleicoes-2016-pesquisa-doxa-aponta.html,PA,GOIANÉSIA DO PARÁ,1,P,0.0,,,TONHAO,"16,3",ITAMAR,15,RIBAMAR,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-03804/2016,https://portaltailandia.com/tailandia-pa/pesquisa-mostra-disputa-equilibrada-pela-prefeitura-de-tailandia/,PA,TAILÂNDIA,1,P,,,,MACARRAO,"32,2",NEY DA SAUDE,"31,3",ALEMAO,"20,6",DR. DIMAS,"6,3",ROBERTO,"0,7",REINALDO,"1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00124/2016,http://www.jesocarneiro.com.br/politica/candidata-do-psb-josy-amaral-lidera-pesquisa-para-prefeitura-de-altamira.html,PA,ALTAMIRA,1,P,1.0,,,JOSY ,"43,7",JUVENIL,"36,2",JOAO BATISTA,"6,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-09588/2016,https://blogdojcampos.blogspot.com/2016/10/em-altamira-pesquisa-confirma-lideranca.html,PA,ALTAMIRA,1,P,,,,JOSY,"48,6",JUVENIL,"41,8",JOAO BATISTA,"4,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-03022/2016,http://www.hiroshibogea.com.br/pesquisa-doxa-celio-boiadeiro-larga-na-frente-em-eldorado-do-carajas/,PA,ELDORADO DOS CARAJÁS,1,P,1.0,,,CELIO BOIADEIRO,51,HIARA,9,FRANCA,7,TOTA,5,DIVINO DO POSTO,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-06482/2016,https://static.poder360.com.br/2017/02/Ananindeua_prefeito_1turno.pdf,PA,ANANINDEUA,1,P,1.0,,,MANOEL PIONEIRO,"39,3",JEFFERSON LIMA,"16,7",CORONEL NEIL,"21,6",BETO ANDRADE,"2,6",JORGE FARIAS,"1,2",PAULO RONALDO,"0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-06528/2016,https://diogenesbrandao.blogspot.com/2016/10/pesquisa-doxa-pioneiro-e-neil-podem-ir.html,PA,ANANINDEUA,1,P,,,1.0,MANOEL PIONEIRO,"50,3",CORONEL NEIL,"25,3",JEFERSON LIMA,"20,4",JORGE FARIAS ,"2,2",BETO ANDRADE ,"1,4",PAULO RONALDO,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00126/2016,https://diogenesbrandao.blogspot.com/2016_09_24_archive.html,PA,BELÉM,1,P,1.0,,,ZENALDO COUTINHO,"21,2",URSULA VIDAL,"4,1",REGINA BARATA,"2,2",PROFESSOR IVANILDO,"0,7",EDER MAURO,"16,7",LELIO COSTA,"1,1",CLEBER RABELO,"1,2",EDIMILSON RODRIGUES,"31,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00032/2014,https://noticiasdecampoverde.blogspot.com/feeds/posts/default,PA,PARÁ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO-00037/2014,https://infoabelavista.blogspot.com/2014/09/tre-suspende-divulgacao-de-pesquisa-que.html,TO,TOCANTINS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-08711/2016,http://www.acheisudoeste.com.br/noticias/19847-2016/09/13/eleicoes-2016-primeira-pesquisa-eleitoral-e-registrada-em-brumado,BA,BRUMADO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-01969/2016,https://midiabahia.com.br/jiquirica-pesquisa-eleitoral-registrada-no-tre-sera-divulgada-nesta-quinta-feira-04/,BA,JIQUIRIÇÁ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
