obs,tse_id,url,estado,cidade,util,position,estimulada,vv,suspensa,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
,BR-05770/2018,https://guaiba.com.br/2018/10/06/real-time-big-data-bolsonaro-lidera-com-34-contra-24-de-haddad/,BR,BRASIL,1.0,PR,1.0,,,JAIR BOLSONARO,34,FERNANDO HADDAD,24.0,CIRO GOMES,12.0,GERALDO ALCKMIN,6.0,MARINA SILVA,4.0,JOAO AMOEDO,2.0,HENRIQUE MEIRELLES,1.0,ALVARO DIAS,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-05793/2018,http://208.113.167.84/2018/07/06/pesquisa-com-lula-ou-sem-lula-bolsonaro-lidera-no-es/,BR,BRASIL,1.0,PR,1.0,,,JAIR BOLSONARO,25.5,LULA,23.6,MARINA SILVA,9.5,CIRO GOMES,6.2,GERALDO ALCKMIN,5.1,ALVARO DIAS,3.1,MANUELA D'AVILA,1.2,JOAO AMOEDO,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-05793/2018,http://208.113.167.84/2018/07/06/pesquisa-com-lula-ou-sem-lula-bolsonaro-lidera-no-es/,BR,BRASIL,1.0,PR,1.0,,,JAIR BOLSONARO,27.5,MARINA SILVA,15.1,CIRO GOMES,9.9,GERALDO ALCKMIN,5.6,ALVARO DIAS,3.7,MANUELA D'AVILA,2.1,FERNANDO HADDAD,2.0,HENRIQUE MEIRELLES,1.3,JOAO AMOEDO,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-05804/2018,https://noticias.r7.com/eleicoes-2018/realtime-big-data-em-sp-paulo-skaf-tem-25-e-joao-doria-22-02102018,BR,BRASIL,1.0,G,,,,PAULO SKAF,25,JOAO DORIA,22.0,MARCIO FRANÇA,15.0,LUIZ MARINHO,7.0,LISETE ARELARO,2.0,MAJOR COSTA E SILVA,2.0,ROGERIO CHEQUER,1.0,MARCELO CANDIDO,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-05888/2018,http://www.demamacedo.com.br/2018/10/joao-lidera-com-folga-eleicoes-na-pb.html,BR,BRASIL,1.0,G,1.0,,,JOAO AZEVEDO,38,LUCELIO CARTAXO,22.0,JOSE MARANHAO,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-05888/2018,http://www.panoramanoticias.com.br/2018/10/na-paraiba-haddad-tem-30-e-bolsonaro-23.html,BR,BRASIL,1.0,PR,,,,FERNANDO HADDAD,30,JAIR BOLSONARO,23.0,CIRO GOMES,18.0,GERALDO ALCKMIN,5.0,MARINA SILVA,4.0,ALVARO DIAS,2.0,JOAO AMOEDO,2.0,HENRIQUE MEIRELLES,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-05888/2018,https://areialterramistadaborborema.blogspot.com/2018/10/pesquisa-bigdatarecord-joao-lidera.html#!,BR,BRASIL,1.0,G,0.0,,,JOAO AZEVEDO,33,ZE MARANHAO,16.0,LUCELIO CARTAXO,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-05888/2018,https://jeftenews.blogspot.com/2018/10/real-time-big-data-nos-numeros-para-o.html,BR,BRASIL,1.0,S,,,,CASSIO CUNHA LIMA,33,VENEZIANO VITAL,32.0,LUZ COUTO,26.0,DANIELA RIBEIRO,22.0,ROBERTO PAULINO,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-05945/2018,http://www.xodonews.com.br/confira-as-pesquisas-realtime-big-data-para-o-governo-dos-estados/,BR,BRASIL,1.0,G,,,,WITZEL,53,PAES,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-05971/2018,https://www.youtube.com/watch?v=d0EZDjv2UcE,BR,BRASIL,1.0,PR,1.0,,,JAIR BOLSONARO,29,GERALDO ALCKMIN,9.0,MARINA SILVA,7.0,JOAO AMOEDO,6.0,ALVARO DIAS,5.0,CIRO GOMES,5.0,FERNANDO HADDAD,5.0,HENRIQUE MEIRELLES,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
