tse_id,instituto,estado,cidade,position,estimulada,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
GO-50653/2010,VERITA,GO,GOIAS,G,1,,MARCONI PERILLO,51.1,IRIS REZENDE,42.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-52162/2010,VERITA,GO,GOIAS,PR,0,,JOSE SERRA,49.3,DILMA,39.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-52162/2010,VERITA,GO,GOIAS,PR,1,,JOSE SERRA,50.9,DILMA,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-52162/2010,VERITA,GO,GOIAS,G,0,,MARCONI PERILLO,49.2,IRIS REZENDE,41.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-52162/2010,VERITA,GO,GOIAS,G,1,,MARCONI PERILLO,50.7,IRIS REZENDE,42.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-54134/2010,VERITA,GO,GOIAS,PR,0,,JOSE SERRA,47.2,DILMA,43.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-54134/2010,VERITA,GO,GOIAS,PR,1,,JOSE SERRA,49.0,DILMA,44.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-54134/2010,VERITA,GO,GOIAS,G,0,,MARCONI PERILLO,50.0,IRIS REZENDE,43.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-54134/2010,VERITA,GO,GOIAS,G,1,,MARCONI PERILLO,50.8,IRIS REZENDE,43.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-58362/2010,VERITA,MG,MINAS GERAIS,PR,0,,DILMA,26.8,JOSE SERRA,36.8,MARINA SILVA,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-58362/2010,VERITA,MG,MINAS GERAIS,PR,1,,DILMA,37.46,JOSE SERRA,31.44,MARINA SILVA,7.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-58362/2010,VERITA,MG,MINAS GERAIS,S,0,,AECIO NEVES,55.76,ITAMAR FRANCO,16.47,PIMENTEL,8.82,MIGUEL MARTINI,6.42,MINEIRINHO,1.93,EFRAIM MOURA,1.55,BETAO,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-58362/2010,VERITA,MG,MINAS GERAIS,S,1,,AECIO NEVES,52.82,ITAMAR FRANCO,25.56,PIMENTEL,12.74,MIGUEL MARTINI,2.17,MARILDA RIBEIRO,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-58362/2010,VERITA,MG,MINAS GERAIS,G,0,,HELIO COSTA,18.6,ANTONIO ANASTASIA,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-58362/2010,VERITA,MG,MINAS GERAIS,G,1,,HELIO COSTA,42.8,ANTONIO ANASTASIA,24.52,VANESSA PORTUGAL,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-76660/2010,VERITA,MG,MINAS GERAIS,S,1,,AECIO NEVES,73.8,PIMENTEL,35.1,ITAMAR FRANCO,48.1,MARILDA RIBEIRO,1.4,MIGUEL MARTINI,1.2,ZITO VIEIRA,3.4,JOSE JOAO DA SILVA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-76660/2010,VERITA,MG,MINAS GERAIS,G,1,,ANTONIO ANASTASIA,48.3,HELIO COSTA,37.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-76660/2010,VERITA,MG,MINAS GERAIS,PR,1,,DILMA,46.2,JOSE SERRA,27.2,MARINA SILVA,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
