feito_por,tse_id,url,,estado,sg_ue,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
FABRICIO,ES-00012/2014,http://pdf.redetribuna.com.br/2014/julho/27-07-2014/no27071450.pdf,28500023000184,ES,ES,1,S,0.0,,,Rose de Freitas,0.198,João Coser,0.179,Neucimar Fraga,0.084,Raphael Furtado,0.018,André Moreira,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,ES-00022/2014,http://pdf.redetribuna.com.br/2014/outubro/04-10-2014/no04101439.pdf,28500023000184,ES,ES,1,S,1.0,,,Rose de Freitas,0.372,João Coser,0.214,Neucimar Fraga,0.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,ES-00022/2014,http://pdf.redetribuna.com.br/2014/outubro/04-10-2014/no04101439.pdf,28500023000184,ES,ES,1,S,0.0,,,Rose de Freitas,0.278,João Coser,0.143,Neucimar Fraga,0.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,ES-00022/2014,https://issuu.com/jornalfato/docs/jornal_fato_0510-14,28500023000184,ES,ES,1,G,1.0,,,Paulo Hartung,0.523,Renato Casagrande,0.436,Roberto Carlos,0.025,Camila Valadao,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,ES-00063/2012,https://dagmarvulpi.blogspot.com/2012_09_10_archive.html,28500023000184,ES,57053,1,P,1.0,,,Luiz Paulo,0.42,Luciano Rezende,0.211,Iriny Lopes,0.15,Gustavo de Biassi,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,ES-00063/2012,https://dagmarvulpi.blogspot.com/2012/09/apesar-dos-resultados-das-pesquisas.html,28500023000184,ES,57053,1,P,1.0,,,Luiz Paulo,0.42,Luciano Rezende,0.211,Iriny Lopes,0.15,Gustavo de Biassi,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,ES-00114/2012,https://dagmarvulpi.blogspot.com/2012_10_01_archive.html,28500023000184,ES,56111,1,P,1.0,,,Marcelo Coelho,0.645,Doutora Gilcinea,0.145,Jones Cavaglieri,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,ES-02563/2018,https://folhaviana.com/pesquisa-enquet-hartung-tem-305-das-intencoes-de-voto-e-casagrande-291/,28500023000184,ES,ES,1,G,1.0,,,Paulo Hartung,0.305,Renato Casagrande,0.291,Rose de Freitas,0.068,Andre Moreira,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,ES-02563/2018,https://nobrejornal.blogspot.com/2018/06/pesquisa-sinaliza-riscos-eleitorais.html,28500023000184,ES,ES,1,G,1.0,,,Paulo Hartung,0.305,Renato Casagrande,0.291,Rose de Freitas,0.068,Andre Moreira,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,ES-02563/2018,https://vozdabarra.com.br/eleicoes-2018-l-pesquisa-sinaliza-riscos-eleitorais-a-hartung-nos-dois-turnos-da-disputa-ao-governo/,28500023000184,ES,ES,1,G,1.0,,,Paulo Hartung,0.305,Renato Casagrande,0.291,Rose de Freitas,0.068,Andre Moreira,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
