url,tse_id,cidade,estado,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
http://www.inmet.gov.br/portal/css/content/home/editais/PROCESSOS%20SEI%202018_2019/Dispensa%20de%20Licita%C3%A7%C3%A3o/SEI_21160.0000372019_93%20-%20Aquisi%C3%A7%C3%A3o%20de%20Capas%20de%20Processo.pdf,BR-00015/2018,BRASIL,BR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://jornalggn.com.br/noticia/clipping-do-dia-111/,BR-00016/2014,BRASIL,BR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://jataubanews.blogspot.com/2014/04/cassio-lidera-pesquisa-da-tv-itarare-e.html,BR-00056/2014,BRASIL,BR,1,G,,,,CASSIO CUNHA LIMA,435.0,RICARDO COUTINHO,225.0,VENEZIANO VITAL,143.0,,,,,,,,,,,,,,,,,,,,,,,,
http://circuitomt.com.br/editorias/politica/41355-na-disputa-ao-governo-maggi-tem-59-e-taques-22-segundo-vox-populi.html,BR-00061/2014,MATO GROSSO,MT,1,G,0.0,,,BLAIRO MAGGI,9.0,PEDRO TAQUES,4.0,MAURICIO TONHA,1.0,SILVAL BARBOSA,1.0,LUDIO CABRAL,1.0,,,,,,,,,,,,,,,,,,,,
http://circuitomt.com.br/editorias/politica/41355-na-disputa-ao-governo-maggi-tem-59-e-taques-22-segundo-vox-populi.html,BR-00061/2014,MATO GROSSO,MT,1,G,1.0,,,BLAIRO MAGGI,59.0,PEDRO TAQUES,22.0,JOSE MARCONDES,1.0,,,,,,,,,,,,,,,,,,,,,,,,
https://www.huffpostbrasil.com/2014/04/16/vox-populi-dilma-venceria-no-1-turno-com-40_n_5162426.html,BR-00075/2014,BRASIL,BR,1,PR,,,,DILMA ROUSSEFF,40.0,AÉCIO NEVES,16.0,EDUARDO CAMPOS,8.0,PASTOR EVERALDO,2.0,LEVY FIDELIX,0.0,RANDOLFE RODRIGUES,0.0,EYMAEL,0.0,MAURO IASI,0.0,,,,,,,,,,,,,,
https://tucano.org.br/no-mt-aecio-e-o-que-mais-cresce-nas-intencoes-de-voto/,BR-00117/2014,MATO GROSSO,MT,1,PR,,,,DILMA ROUSSEFF,36.0,AECIO NEVES,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.brasil247.com/geral/em-minas-pimentel-seria-eleito-no-primeiro-turno,BR-00129/2014,MINAS GERAIS,MG,1,PR,,,,AECIO NEVES,22.0,DILMA HOUSSEFF,20.0,EDUARDO CAMPOS,2.0,,,,,,,,,,,,,,,,,,,,,,,,
https://www.brasil247.com/geral/em-minas-pimentel-seria-eleito-no-primeiro-turno,BR-00129/2014,MINAS GERAIS,MG,1,G,,,,FERNANDO PIMENTEL,28.0,PIMENTA DA VEIGA,16.0,MARIA DA CONSOLAÇÃO,2.0,VANESSA PORTUGAL,2.0,JULIO DELGADO,1.0,,,,,,,,,,,,,,,,,,,,
https://www.huffpostbrasil.com/2014/06/12/dilma-estabiliza-e-aecio-segue-subindo-na-vox-populi-president_n_5487442.html,BR-00156/2014,BRASIL,BR,1,PR,,,,DILMA ROUSSEFF,40.0,AECIO NEVES,21.0,EDUARDO CAMPOS,8.0,PASTOR EVERALDO,2.0,JOS'E MARIA,1.0,,,,,,,,,,,,,,,,,,,,
https://www.agoramt.com.br/politica/taques-diz-que-adversarios-tem-medo-dele/32310,BR-00217/2014,MATO GROSSO,MT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
