obs,tse_id,url,,estado,sg_ue,util,position,estimulada,vv,suspensa,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
,DF-00084/2014,http://www.exataop.com.br/pesquisas/resultados/PESQUISA%20SEGUNDOTURNOG02_DF_OUTUBRO_DIA%2018_site.pdf,3303870000128,DF,DF,1.0,G,1.0,,,ROLLEMBERG,44.0,FREJAT,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DF-00088/2014,https://jornaldebrasilia.com.br/politica-e-poder/na-corrida-ao-buriti-frejat-passa-rollemberg-segundo-instituto-exata-op/,3303870000128,DF,DF,1.0,G,,1.0,,ROLLEMBERG,49.8,FREJAT,50.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DF-01019/2018,https://blogdopoliglota.com.br/category/politica/distrito-federal/page/40/,3303870000128,DF,DF,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DF-01019/2018,https://diariodopoder.com.br/ibope-confirma-crescimento-de-ibaneis-e-seu-empate-com-eliana-pedrosa/,3303870000128,DF,DF,1.0,G,1.0,,,ELIANA PEDROSA,21.0,IBANEIS,20.0,ALBERTO FRAGA,11.0,RODRIGO ROLLEMBERG,11.0,ROGERIO ROSSO,11.0,GENERAL PAULO CHAGAS,3.0,MIRAGAYA,3.0,ALEXANDRE GUERRA,2.0,FATIMA SOUSA,1.0,RENAN ROSA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DF-01019/2018,https://diariodopoder.com.br/ibope-confirma-crescimento-de-ibaneis-e-seu-empate-com-eliana-pedrosa/,3303870000128,DF,DF,1.0,G,0.0,,,ELIANA PEDROSA,13.0,IBANEIS,13.0,ALBERTO FRAGA,8.0,RODRIGO ROLLEMBERG,7.0,ROGERIO ROSSO,6.0,ALEXANDRE GUERRA,2.0,MIRAGAYA,2.0,GENERAL PAULO CHAGAS,1.0,FATIMA SOUSA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DF-01019/2018,https://radardf.com.br/tag/instituto-exata-op/,3303870000128,DF,DF,1.0,G,1.0,,,IBANEIS ROCHA,19.2,ALBERTO FRAGA,16.3,ELIANA PEDROSA,16.1,RODRIGO ROLLEMBERG,10.1,ROGERIO ROSSO,8.6,GENERAL PAULO CHAGAS,4.1,JULIO MIRAGAYA,3.1,ALEXANDRE GUERRA,3.0,PROFESSORA FATIMA,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DF-02151/2018,https://www.tudooknoticias.com.br/sem-categoria/ibaneis-consolida-vitoria-pelo-menos-nas-pesquisas/,3303870000128,DF,DF,1.0,PR,,,,JAIR BOLSONARO,73.0,FERNANDO HADDAD,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DF-02151/2018,https://www.tudooknoticias.com.br/sem-categoria/ibaneis-consolida-vitoria-pelo-menos-nas-pesquisas/,3303870000128,DF,DF,1.0,G,,1.0,,IBANEIS ROCHA,78.0,RODRIGO ROLLEMBERG,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DF-02176/2018,https://blogdopoliglota.com.br/2018/09/26/fraga-lidera-pesquisa-eleitoral-e-o-resultado-que-os-baroes-da-midia-recusam-a-divulgar/,3303870000128,DF,DF,1.0,G,1.0,,,ALBERTO FRAGA,16.3,ELIANA PEDROSA,15.7,IBANEIS ROCHA,12.7,RODRIGO ROLLEMBERG,10.7,ROGERIO ROSSO,9.9,GENERAL PAULO CHAGAS,3.5,ALEXANDRE GUERRA,3.1,JULIO MIRAGAYA,2.8,PROFESSORA FATIMA SOUZA,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DF-02176/2018,https://blogdopoliglota.com.br/2018/09/26/fraga-lidera-pesquisa-eleitoral-e-o-resultado-que-os-baroes-da-midia-recusam-a-divulgar/,3303870000128,DF,DF,1.0,G,0.0,,,ALBERTO FRAGA,7.2,ELIANA PEDROSA,7.0,IBANEIS ROCHA,6.0,RODRIGO ROLLEMBERG,5.4,ROGERIO ROSSO,4.2,GENERAL PAULO CHAGAS,2.0,JULIO MIRAGAYA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
