tse_id,url,,estado,sg_ue,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
MA-00003/2014,https://blogdozeorlando.blogspot.com/2014/02/,5833992000151,MA,MA,1,G,,,,FLAVIO DINO,55.3,LUIS FERNANDO SILVA,13.7,ELIZIANE GAMA,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00003/2014,https://blogdozeorlando.blogspot.com/2014/02/,5833992000151,MA,MA,1,G,0.0,,,FLAVIO DINO,29.1,LUIS FERNANDO SILVA,5.1,ROSEANA SARNEY,2.0,ELIZIANE GAMA,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00003/2014,https://blogdozeorlando.blogspot.com/2014/02/,5833992000151,MA,MA,1,S,,,,ROBERTO ROCHA,25.2,ROSEANA SARNEY,20.7,DOMINGOS DUTRA,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00003/2014,https://joselandiareal.blogspot.com/2014/02/eleicoes-2014-pesquisa-estadual-traduz.html,5833992000151,MA,MA,1,G,1.0,,,FLAVIO DINO,55.3,LUIS FERNANDO SILVA,13.7,ELIZIANE GAMA,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00003/2014,https://joselandiareal.blogspot.com/2014/02/segundo-pesquisa-datam-flavio-dino-tem.html,5833992000151,MA,MA,1,S,,,,ROBERTO ROCHA,25.1,ROSEANA SARNEY,20.7,DOMINGOS DUTRA,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00004/2014,https://altamiradomara.blogspot.com/2014/02/,5833992000151,MA,MA,1,G,,,,FLAVIO DINO,38.1,ELIZIANE GAMA,17.5,LUIS FERNANDO,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00004/2014,https://bloguedovarao.blogspot.com/2014/02/eleicoes-2014-flavio-lidera-com-folga.html,5833992000151,MA,MA,1,G,,,,FLAVIO DINO,38.1,ELIZIANE GAMA,17.5,LUIS FERNANDO,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00004/2014,https://bloguedovarao.blogspot.com/2014/02/eleicoes-2014-flavio-lidera-com-folga.html,5833992000151,MA,MA,1,G,0.0,,,FLAVIO DINO,18.7,ELIZIANE GAMA,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00004/2014,https://josenetoformiga.blogspot.com/2014/02/eleicoes-2014-flavio-dino-lidera.html,5833992000151,MA,MA,1,G,,,,FLAVIO DINO,38.1,ELIZIANE GAMA,17.5,LUIS FERNANDO,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00004/2014,https://josenetoformiga.blogspot.com/2014/02/eleicoes-2014-flavio-dino-lidera.html,5833992000151,MA,MA,1,S,,,,ROBERTO ROCHA,23.7,ROSEANA SARNEY,15.0,HAROLDO SABOIA,9.5,DOMINGOS DUTRA,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
