tse_id,instituto,estado,cidade,estimulada,vv,position,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
BR-00194/2014,DATAFOLHA,BR,BRASIL,1.0,,PR,LULA,49,AECIO NEVES,17,EDUARDO CAMPOS,9,PASTOR EVERALDO PEREIRA,2,JOSE MARIA,1,DENISE ABREU,1,RANDOLFE RODRIGUES,1,EDUARDO JORGE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ-00009/2014,DATAFOLHA,RJ,RIO DE JANEIRO,0.0,,G,LUIZ FERNANDO PEZAO,8,GAROTINHO,7,MARCELO CRIVELLA,4,LINDBERG FARIAS,2,SERGIO CABRAL,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ-00009/2014,DATAFOLHA,RJ,RIO DE JANEIRO,1.0,,G,GAROTINHO,24,MARCELO CRIVELLA,24,LUIZ FERNANDO PEZAO,14,LINDBERG FARIAS,12,TARCISIO MOTTA,2,DAYSE OLIVEIRA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-00010/2014,DATAFOLHA,SP,SÃO PAULO,0.0,,G,GERALDO ALCKMIN,15,SKAF,2,NO CANDIDADO DO PT/CANDIDATO DA DILMA,1,PADILHA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-00010/2014,DATAFOLHA,SP,SÃO PAULO,1.0,,G,GERALDO ALCKMIN,54,SKAF,16,PADILHA,4,GILBERTO NATALINI,1,LAERCIO BENKO,1,RAIMUNDO SENA,1,WAGNER FARIAS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-00219/2014,DATAFOLHA,BR,BRASIL,0.0,,PR,DILMA,22,AECIO NEVES,9,EDUARDO CAMPOS,2,LULA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-00219/2014,DATAFOLHA,BR,BRASIL,1.0,,PR,DILMA,36,AECIO NEVES,20,EDUARDO CAMPOS,8,PASTOR EVERALDO,3,LUCIANA GENRO,1,RUI COSTA PIMENTA,1,ZE MARIA,1,EDUARDO JORGE,1,EYMAEL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-00144/2014,DATAFOLHA,BR,BRASIL,0.0,,PR,DILMA ROUSSEFF,19,AECIO NEVES,7,LULA,3,EDUARDO CAMPOS,2,MARINA SILVA,1,JOSE SERRA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-00144/2014,DATAFOLHA,BR,BRASIL,1.0,,PR,DILMA ROUSSEFF,34,AECIO NEVES,19,EDUARDO CAMPOS,7,PASTOR EVERALDO,4,MAGNO MALTA,2,JOSE MARI,1,EDUARDO JORGE,1,DENISE ABREU,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-00007/2014,DATAFOLHA,SP,SÃO PAULO,0.0,,PR,DILMA ROUSSEFF,11,AECIO NEVES,8,LULA,1,EDUARDO CAMPOS,1,MARINA SILVA,1,CANDIDATO DO PT/CANDIDATO DO LULA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
