tse_id,url,,estado,sg_ue,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
MS-00294/2012,http://g1.globo.com/mato-grosso-do-sul/eleicoes/2012/noticia/2012/10/em-corumba-ms-paulo-duarte-tem-53-e-solange-26-diz-ibope.html,3683644000110,MS,91413,1.0,P,1.0,,,PAULO DUARTE ,53,SOLANGE ,26,ELANO,9,PROF. MONJE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-00376/2012,https://noticias.uol.com.br/fernandorodrigues/pesquisas/2012/2turno/prefeito/campo-grande.jhtm,3683644000110,MS,90514,1.0,P,1.0,,,ALCIDES BERNAL,"60,7",EDSON GIROTO,"27,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-00879/2018,http://www.cassilandianoticias.com.br/ultimas-noticias/governador-de-ms-confira-mais-um-insttuto-de-pesquisa,3683644000110,MS,MS,1.0,G,1.0,,,REINALDO AZAMBUJA,"41,1",JUIZ ODILON,"38,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-01361/2016,https://www.midiamax.com.br/politica/2016/datamax-aponta-disputa-em-dois-turnos-na-eleicao-em-campo-grande,3683644000110,MS,90514,1.0,P,1.0,,,MARQUINHOS TRAD,"33,1",ROSE MODESTO,"23,4",ALCIDES BERNAL,"15,1",CORONEL DAVID,"2,5",MARCELO BLUMA,"1,9",ALEX,"1,6",PEDROSSIAN FILHO,"1,1",AROLDO FIGUEIRO,"0,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-03656/2018,https://www.jd1noticias.com/politica/datamax-mostra-reinaldo-com-52-e-odilon-com-47/57375/,3683644000110,MS,MS,1.0,G,1.0,,1.0,REINALDO AZAMBUJA,52,ODILON DE OLIVEIRA,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-03822/2016,https://www.midiamax.com.br/politica/2016/com-puccinelli-na-disputa-datamax-aponta-empate-entre-marquinhos-e-bernal,3683644000110,MS,90514,1.0,P,1.0,,,MARQUINHOS TRAD,"18,53",ALCIDES BERNAL,"17,66",ANDRE PUCCINELLI ,"14,43",ROSE MODESTO,"10,07",CORONEL DAVID,"2,11",PEDRO PEDROSSIAN ,"1,99",DAGOBERTO NOGUEIRA,"1,62",ALEX,"1,49",ATHAYDE NERY,"1,24",MARCELO BLUMA,1,RENATO GOMES ,"0,5",HAROLDO FIGUEIRO,"0,25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-03967/2016,https://www.campograndenews.com.br/politica/no-campo-da-pesquisa-teve-instituto-passando-longe-da-verdade-das-urnas,3683644000110,MS,90514,1.0,P,1.0,,,MARQUINHOS TRAD,"58,77",ROSE MODESTO,"41,23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-04438/2016,https://www.midiamax.com.br/politica/2016/marquinhos-mantem-lideranca-e-indecisos-se-destacam-na-3a-pesquisa-datamax,3683644000110,MS,90514,1.0,P,1.0,,,MARQUINHOS TRAD,"26,5",ROSE MODESTO,"17,8",ALCIDES BERNAL,"12,2",ALEX,"1,1",MARCELO BLUMA,"0,9",ATHAYDE ,"0,7",CORONEL DAVID,"0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-06677/2018,http://www.correiodecorumba.com.br/?s=noticia&id=30997%22,3683644000110,MS,MS,1.0,S,1.0,,,NELSINHO TRAD,"25,5",ZECA ,"23,3",MOKA,"18,1",DELCIDIO AMARAL,"14,5",MARCELO MIGLIOLI,"11,7",SORAYA THRONICKE,"10,2",SERGIO HARFOUCHE ,"8,7",GILMAR DA CRUZ,"1,9",BETO FIGUEIRO,"1,9",ANISIO GUATO,"1,1",THIAGO FREITAS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-06677/2018,https://www.midiamax.com.br/politica/2018/datamax-reinaldo-tem-503-dos-votos-validos-e-esta-no-limite-para-ser-reeleito-no-1-turno,3683644000110,MS,MS,1.0,G,1.0,,,REINALDO AZAMBUJA,"50,3",JUIZ ODILON,"31,9",JUNIOR MOCHI,"8,7",HUMBERTO AMADUCCI,"5,3",MARCELO BLUMA,"2,4",JOAO ALFREDO,"1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-09130/2016,https://www.midiamax.com.br/politica/2016/coligacao-de-rose-pede-acesso-a-pesquisa-eleitoral-do-datamax-na-justica,3683644000110,MS,90514,1.0,P,1.0,,,MARQUINHOS TRAD,"33,1",ROSE MODESTO,"24,3",ALCIDES BERNAL,"11,5",MARCELO BLUMA,"2,1",CORONEL DAVID,2,ALEX,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-09178/2018,http://pdtms.org.br/site/para-odilon-lideranca-em-pesquisa-pode-aumentar-devido-a-baixa-rejeicao/,3683644000110,MS,MS,1.0,G,1.0,,,ODILON,"25,4",REINALDO AZAMBUJA,"22,6",ANDRE PUCCINELLI ,"21,9",LUIZ HENRIQUE MANDETTA,"2,6",HUMBERTO AMADUCCI,1,ALFREDO DANIEZI,"0,9",SUEL FERRANTI ,"0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-00077/2012,https://professoramariadalva.blogspot.com/2012/07/pivetta-lidera-intencao-de-votos-em.html,3973340000197,MT,90603,1.0,P,1.0,,,OTAVIANO PIVETTA,61,ROGERIO FERRARIN ,"29,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
