outro_id,tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
MG-00091/2014,BR-00653/2014,http://gazetadotriangulo.com.br/tmp/noticias/pesquisa-eleitoral-araguari-para-candidatos-a-deputado-estadual-e-federal/,BR,MiNAS GERAIS,1.0,DF,1.0,,,Marcos Alvim ,46.1,Bonifacio Andrada,10.6,Odelmo Leão ,5.1,Weliton Prado ,3.7,Carlos do MG,2.4,Cezinha,2.2,Mauro Imoveis,1.2,Marcos Montes ,1,Zé Vitor,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-00125/2014,BR-00683/2014,http://www.blogdosergiovieira.com.br/2014/09/pesquisa-veritabrasil-247-sinaliza.html,BR,GOIÁS,1.0,G,1.0,,,Marconi,44.1,Iris,24.8,Vanderlan Cardoso,8.7,Antonio Gomide ,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-01128/2014,http://blogdoserido.com.br/noticias/certus-registra-pesquisa-no-rio-grande-do-norte/,BR,BRASIL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-01143/2014,http://www.sentoseagora.com.br/2014/10/aecio-lidera-em-minas-com-547-dos-votos.html,BR,BRASIL,1.0,PR,1.0,,,Aecio ,48.3,Dilma ,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-00045/2014,BR-01156/2014,https://agorarn.com.br/noticia/pesquisa-certusblogdobg-confirma-vitoria-de-robinson/,BR,RIO GRANDE DO NORTE,1.0,G,1.0,,,Robinson Faria,51.54,Henrique Alves,48.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-01205/2014,http://noticiasdesantaluz.com.br/pesquisas-datafolha-ibope-vox-populi-sensus-mda-e-verita-movimentam-vespera-de-eleicao/,BR,BRASIL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-05819/2018,BR-01666/2018,http://www.blogdosilverioalves.com/2018/10/pesquisa-certusfiern-aponta-segundo.html,BR,RIO GRANDE DO NORTE,1.0,G,1.0,,1.0,Fátima Bezerra,46.91,Carlos Eduardo ,33.55,Robinson Faria,12.53,Queiroga,3.5,Carlos Alberto,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-05819/2018,BR-01666/2018,https://www.blogdojoaomarcolino.com/2018/10/certusfiern-para-senado-styvenson-1631.html,BR,RIO GRANDE DO NORTE,1.0,S,1.0,,,Cap. Styvenson,16.3,Zenaide ,13.5,Garibaldi,12.4,Geraldo,12.3,Figueiredo,1.8,Jacome,5,Aleandre Motta,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-07782/2018,BR-04034/2018,http://www.canguaretamadefato.com/2018/09/eleicao-2018-fatima-bezerra-pode-vencer.html,BR,RIO GRANDE DO NORTE,1.0,G,1.0,,,Fátima Bezerra,36.24,Carlos Eduardo ,21.21,Robinson Faria,10.43,Queiroga,1.99,Carlos Alberto,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-07782/2018,BR-04034/2018,https://toinhoffilho.blogspot.com/2018/09/senado-geraldo-melo-e-o-que-mais-cresce.html,BR,RIO GRANDE DO NORTE,1.0,S,1.0,,,Geraldo Melo ,10.96,Zenaide Maia,12.6,Garibaldi Alves,12.6,Styvenson,12.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
