obs,outro id,tse_id,url,,estado,sg_ue,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
,GO-00048/2014,BR-00229/2014,https://diariodegoias.com.br/fortiori-marconi-tem-vantagem-de-dez-pontos-sobre-iris/,5850850000100,BR,BRASIL,1,G,0.0,,,MARCONI PERILLO,23,IRIS REZENDE,9,VANDERLAN CARDOSO,3,ANTONIO GOMIDE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GO-00048/2014,BR-00229/2014,https://diariodegoias.com.br/fortiori-marconi-tem-vantagem-de-dez-pontos-sobre-iris/,5850850000100,BR,BRASIL,1,G,1.0,,,MARCONI PERILLO,38,IRIS REZENDE,28,VANDERLAN CARDOSO,8,ANTONIO GOMIDE,7,PROF. WESLEI GARCIA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BR-00229/2014,https://issuu.com/diariodegoias/docs/pesquisafortiorijulho14/2,5850850000100,BR,BRASIL,1,PR,1.0,,,DILMA ROUSSEFF,29,AECIO NEVES,25,EDUARDO CAMPOS,8,PASTOR EVERALDO,4,LUCIANA GENRO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BR-00229/2014,https://issuu.com/diariodegoias/docs/pesquisafortiorijulho14/2,5850850000100,BR,BRASIL,1,PR,0.0,,,DILMA ROUSSEFF,21,AECIO NEVES,11,LULA,2,EDUARDO CAMPOS,2,MARINA SILVA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GO-00048/2014,BR-00229/2014,https://issuu.com/diariodegoias/docs/pesquisafortiorijulho14/2,5850850000100,BR,BRASIL,1,S,1.0,,,RONALDO CAIADO,35,VILMAR ROCHA,14,MARIA SANT'ANNA,11,AGUIMAR JESUINO,1,ANTONIO VIEIRA NETO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GO-00048/2014,BR-00229/2014,https://issuu.com/diariodegoias/docs/pesquisafortiorijulho14/2,5850850000100,BR,BRASIL,1,S,0.0,,,RONALDO CAIADO,8,VILMAR ROCHA,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BR-00380/2014,https://www.jornalopcao.com.br/reportagens/tendencia-de-crescimento-de-marconi-e-estagnacao-dos-demais-candidatos-abre-chance-de-vitoria-1o-turno-12726/,5850850000100,BR,BRASIL,1,PR,1.0,,,DILMA ROUSSEFF,32,AECIO NEVES,26,EDUARDO CAMPOS,10,PASTOR EVERALDO,4,ZE MARIA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BR-00380/2014,https://www.jornalopcao.com.br/reportagens/tendencia-de-crescimento-de-marconi-e-estagnacao-dos-demais-candidatos-abre-chance-de-vitoria-1o-turno-12726/,5850850000100,BR,BRASIL,1,PR,0.0,,,DILMA ROUSSEFF,25,AECIO NEVES,15,EDUARDO CAMPOS,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GO-00065/2014,BR-00380/2014,https://www.jornalopcao.com.br/reportagens/tendencia-de-crescimento-de-marconi-e-estagnacao-dos-demais-candidatos-abre-chance-de-vitoria-1o-turno-12726/,5850850000100,BR,BRASIL,1,S,1.0,,,RONALDO CAIADO,33,VILMAR ROCHA,13,MARINA SANT'ANNA,10,ANTONIO NETO,2,ELBER SAMPAIO,1,ALDO MURO,1,AGUIMAR JESUINO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GO-00065/2014,BR-00380/2014,https://www.jornalopcao.com.br/reportagens/tendencia-de-crescimento-de-marconi-e-estagnacao-dos-demais-candidatos-abre-chance-de-vitoria-1o-turno-12726/,5850850000100,BR,BRASIL,1,S,0.0,,,RONALDO CAIADO,11,VILMAR ROCHA,3,MARINA SANT'ANNA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
