"CNPJ","tse_id","url","NM_UE","util","position","estimulada","suspensa","vv","cand1","resul1","cand2","resul2","cand3","resul3","cand4","resul4","cand5","resul5","cand6","resul6","cand7","resul7","cand8","resul8","cand9","resul9","cand10","resul10","cand11","resul11","cand12","resul12","cand13","resul13","cand14","resul14","cand15","resul15","cand16","resul16","cand17","resul17","cand18","resul18","cand19","resul19","cand20","resul20","cand21","resul21","cand22","resul22","cand23","resul23","cand24","resul24","cand25","resul25","cand26","resul26","cand27","resul27","cand28","resul28","cand29","resul29","cand30","resul30","cand31","resul31","cand32","resul32","cand33","resul33","cand34","resul34","cand35","resul35","cand36","resul36","cand37","resul37","cand38","resul38","cand39","resul39","cand40","resul40","cand41","resul41","cand42","resul42","cand43","resul43","manual_filename","SG_UE","obs","new_id","sg_uf.x","instituto","total"
"81908345000140","SP-01579/2016","http://www.paranapesquisas.com.br/wp-content/uploads/2016/05/S%C3%A3oBernardoCampoMaio16.pdf","SÃO BERNARDO DO CAMPO","TRUE","p","0","NA","NA","ALEX MANENTE","6.6","ORLANDO MORANDO","5.8","TARCISIO SECOLI","2.3","MAURICIO SOARES","1.9","PROFESSOR ALDO SANTOS","1.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","manual/22-(leva-geral2_leva7)-fran1-salvaged-entrega.csv.csv","NA","NA","NA","SP","NA","17.9"
"81908345000140","SP-01579/2016","http://www.paranapesquisas.com.br/wp-content/uploads/2016/05/S%C3%A3oBernardoCampoMaio16.pdf","SÃO BERNARDO DO CAMPO","TRUE","p","1","NA","NA","ALEX MANENTE","31.3","ORLANDO MORANDO","25.8","TARCISIO SECOLI","6.3","MAURICIO SOARES","8.6","PROFESSOR ALDO SANTOS","4.8","MARCELO LIMA","3.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","manual/22-(leva-geral2_leva7)-fran1-salvaged-entrega.csv.csv","NA","NA","NA","SP","NA","80.2"
"81908345000140","SP-05275/2016","https://diariodopoder.com.br/uncategorized/doria-tem-335-russomanno-197-marta-147-e-haddad-121-diz-pesquisa","SÃO PAULO","TRUE","p","1","NA","NA","MARTA SUPLICY","14.7","RUSSOMANO","19.7","HADDAD","12.1","JOAO DORIA","33.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","manual/22-(leva-geral2_leva7)-fran1-salvaged-entrega.csv.csv","NA","NA","NA","SP","NA","80"
"67662494000140","SP-07313/2016","https://grupobomdia.com.br/pesquisas-apontam-eleicao-acirrada-em-bady-bassitt-tecnicamente-empatados/","BADY BASSITT","TRUE","p","NA","NA","NA","TOBARDINI","38","MEIRI","36.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","manual/22-(leva-geral2_leva7)-fran1-salvaged-entrega.csv.csv","NA","NA","NA","SP","NA","74.5"
