"tse_id","url","NM_UE","util","position","estimulada","suspensa","vv","cand1","resul1","cand2","resul2","cand3","resul3","cand4","resul4","cand5","resul5","cand6","resul6","cand7","resul7","cand8","resul8","cand9","resul9","cand10","resul10","cand11","resul11","cand12","resul12","cand13","resul13","cand14","resul14","cand15","resul15","cand16","resul16","cand17","resul17","cand18","resul18","cand19","resul19","cand20","resul20","cand21","resul21","cand22","resul22","cand23","resul23","cand24","resul24","cand25","resul25","cand26","resul26","cand27","resul27","cand28","resul28","cand29","resul29","cand30","resul30","cand31","resul31","cand32","resul32","cand33","resul33","cand34","resul34","cand35","resul35","cand36","resul36","cand37","resul37","cand38","resul38","cand39","resul39","cand40","resul40","cand41","resul41","cand42","resul42","cand43","resul43","manual_filename","SG_UE","obs","new_id","sg_uf.x","instituto","total","year"
"SP-08554/2016","http://www.falaporto.com.br/politica/pesquisa-full-marketing-confirma-renata-braga-na-frente-na-corrida-eleitoral-com-37-5","PORTO FERREIRA",TRUE,"p",1,NA,NA,"RENATA BRAGA",37.5,"DR MAURICIO",25,"ROMULO RIPPA",18.5,"PROF BERQUE",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"manual/38-(leva-geral1(1700-1))-maricelia5-entrega.xlsx.csv",NA,NA,NA,NA,NA,0.89,2016
"SP-08554/2016","http://www.falaporto.com.br/politica/pesquisa-full-marketing-confirma-renata-braga-na-frente-na-corrida-eleitoral-com-37-5","PORTO FERREIRA",TRUE,"p",1,NA,1,"RENATA BRAGA",43.4,"DR MAURICIO",28.9,"ROMULO RIPPA",18.5,"PROF BERQUE",9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"manual/38-(leva-geral1(1700-1))-maricelia5-entrega.xlsx.csv",NA,NA,NA,NA,NA,0.91,2016
