tse_id;url;NM_UE;util;position;estimulada;suspensa;vv;cand1;resul1;cand2;resul2;cand3;resul3;cand4;resul4;cand5;resul5;cand6;resul6;cand7;resul7;cand8;resul8;cand9;resul9;cand10;resul10;cand11;resul11;cand12;resul12;cand13;resul13;cand14;resul14;cand15;resul15;cand16;resul16;cand17;resul17;cand18;resul18;cand19;resul19;cand20;resul20;cand21;resul21;cand22;resul22;cand23;resul23;cand24;resul24;cand25;resul25;cand26;resul26;cand27;resul27;cand28;resul28;cand29;resul29;cand30;resul30;cand31;resul31;cand32;resul32;cand33;resul33;cand34;resul34;cand35;resul35;cand36;resul36;cand37;resul37;cand38;resul38;cand39;resul39;cand40;resul40;cand41;resul41;cand42;resul42;cand43;resul43;manual_filename;SG_UE;obs;new_id;sg_uf.x;instituto;total;year;for_patch_2;person;for_patch_1;br_poll_id;state_poll_id;cannot_find_id;tse_id_new;scenario;for_patch_3;OBS;new_tse_id;for_patch_5;for_patch_4;ID;OBS.1;for_patch_7;CNPJ;for_patch_6;for_patch_9;for_patch_9_round_2
BR-02075/2018;https://www.infomoney.com.br/politica/haddad-chega-a-15-com-apoio-de-lula-e-divide-lideranca-com-bolsonaro-no-limite-da-margem-de-erro-mostra-xp-ipespe/;BRASIL;1;pr;1;NA;NA;JAIR BOLSONARO;11;FERNANDO HADDAD;15;GERALDO ALCKMIN;9;CIRO GOMES;7;ALVARO DIAS;6;HENRIQUE MEIRELLES;2;JOAO AMOEDO;1;VERA LUCIA;1;CABO DACIOLO;1;GUILHERME BOULOS;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;manual/24-(leva-geral2_leva1)-pedro8-entrega.xlsx.csv;NA;NA;NA;NA;NA;54;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE
BR-02075/2018;https://www.infomoney.com.br/politica/haddad-chega-a-15-com-apoio-de-lula-e-divide-lideranca-com-bolsonaro-no-limite-da-margem-de-erro-mostra-xp-ipespe/;BRASIL;1;pr;1;NA;NA;LULA;31;JAIR BOLSONARO;20;GERALDO ALCKMIN;9;MARINA SILVA;8;CIRO GOMES;7;ALVARO DIAS;5;JOAO AMOEDO;1;HENRIQUE MEIRELLES;1;CABO DACIOLO;1;VERA LUCIA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;manual/24-(leva-geral2_leva1)-pedro8-entrega.xlsx.csv;NA;NA;NA;NA;NA;84;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE
BR-02157/2018;https://www.ma10.com.br/2018/08/15/pesquisa-data-ilha-revela-cenario-eleitoral-para-governo-e-presidencia/;BRASIL;1;pr;1;NA;NA;CANDIDATO PT APOIADO POR LULA;27.2;JAIR BOLSONARO;19.5;MARINA SILVA;19.3;CIRO GOMES;10.2;GERALDO ALCKMIN;2.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;manual/24-(leva-geral2_leva1)-pedro8-entrega.xlsx.csv;NA;NA;NA;NA;NA;789;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE
BR-02157/2018;https://www.ma10.com.br/2018/08/15/pesquisa-data-ilha-revela-cenario-eleitoral-para-governo-e-presidencia/;BRASIL;1;pr;1;NA;NA;LULA;67.09;JAIR BOLSONARO;19.51;CIRO GOMES;5.7;MARINA SILVA;5.75;GERALDO ALCKMIN;1.42;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9947;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE
BR-02702/2018;https://jairgomesapodi.blogspot.com/2018/03/politica-bolsonaro-lidera-pesquisa.html;RIO GRANDE DO NORTE;1;pr;1;NA;NA;JAIR BOLSONARO;19.24;CIRO GOMES;9.76;MARINA SILVA;6.94;FLAVIO ROCHA;2.59;GERALDO ALCKMIN;1.88;FERNANDO COLLOR;1.35;MICHEL TEMER;1.24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;manual/21-(leva-geral2_leva6)-maricelia3(inc)-pedro17(comp)-entrega.xlsx.csv;NA;NA;NA;NA;NA;43;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE
BR-02702/2018;https://tonymacedo.blogspot.com/2018/03/;RIO GRANDE DO NORTE;1;pr;1;NA;NA;LULA;48.82;JAIR BOLSONARO;15.82;CIRO GOMES;2.53;MARINA SILVA;2.29;FLAVIO ROCHA;1.82;GERALDO ALCKMIN;1.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;manual/21-(leva-geral2_leva6)-maricelia3(inc)-pedro17(comp)-entrega.xlsx.csv;NA;NA;NA;NA;NA;7234;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE
BR-02843/2018;https://images.infomoney.com.br/uploads/voterprofile_(1).pdf?_ga=2.162306044.1332081834.1532095639-1999979334.1532095639;BRASIL;1;pr;1;NA;NA;LULA;29;JAIR BOLSONARO;20;MARINA SILVA;8;CIRO GOMES;7;GERALDO ALCKMIN;7;ALVARO DIAS;5;JOAO AMOEDO;1;MANUELA D'AVILA;1;HENRIQUE MEIRELLES;1;GUILHERME BOULOS;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;manual/24-(leva-geral2_leva1)-pedro8-entrega.xlsx.csv;NA;NA;NA;NA;NA;80;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE
BR-02843/2018;https://images.infomoney.com.br/uploads/voterprofile_(1).pdf?_ga=2.162306044.1332081834.1532095639-1999979334.1532095639;BRASIL;1;pr;1;NA;NA;JAIR BOLSONARO;21;FERNANDO HADDAD;13;MARINA SILVA;10;CIRO GOMES;8;GERALDO ALCKMIN;7;ALVARO DIAS;5;HENRIQUE MEIRELLES;2;MANUELA D'AVILA;2;GUILHERME BOULOS;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;manual/24-(leva-geral2_leva1)-pedro8-entrega.xlsx.csv;NA;NA;NA;NA;NA;69;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE
BR-02891/2018;https://www.slideshare.net/lcazenha/brasil-109994652;BRASIL;1;pr;1;NA;NA;JAIR BOLSONARO;23.9;MARINA SILVA;13.2;CIRO GOMES;10.2;GERALDO ALCKMIN;8.5;ALVARO DIAS;4.9;FERNANDO HADDAD;3.8;CABO DACIOLO;1.2;JOAO AMOEDO;1.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;manual/24-(leva-geral2_leva1)-pedro8-entrega.xlsx.csv;NA;NA;NA;NA;NA;668;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE
BR-02891/2018;https://www.slideshare.net/lcazenha/brasil-109994652;BRASIL;1;pr;1;NA;NA;LULA;30.8;JAIR BOLSONARO;22;MARINA SILVA;8.1;GERALDO ALCKMIN;6.6;CIRO GOMES;5.9;ALVARO DIAS;4;JOAO AMOEDO;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;manual/24-(leva-geral2_leva1)-pedro8-entrega.xlsx.csv;NA;NA;NA;NA;NA;784;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE
