"url","tse_id","util","position","estimulada","cand1","resul1","cand2","resul2","cand3","resul3","cand4","resul4","cand5","resul5","cand6","resul6","cand7","resul7","cand8","resul8","cand9","resul9","cand10","resul10","cand11","resul11","cand12","resul12","cand13","resul13","person","suspensa","vv","cand14","resul14","cand15","resul15","cand16","resul16","cand17","resul17","cand18","resul18","cand19","resul19","cand20","resul20","cand21","resul21","cand22","resul22","cand23","resul23","cand24","resul24","cand25","resul25","cand26","resul26","cand27","resul27","cand28","resul28","cand29","resul29","cand30","resul30","SG_UE","cand31","resul31","cand32","resul32","cand33","resul33","cand34","resul34","cand35","resul35","cand36","resul36","cand37","resul37","cand38","resul38","cand39","resul40","cand41","resul41","cand42","resul42","cand43","resul43","instituto","scenario","total","NM_UE","for_patch_1","for_patch_4","ID","year","for_patch_2","for_patch_3","OBS"
"https://www.jpnews.com.br/tres-lagoas/pesquisa-aponta-preferencias-de-eleitores-em-30-cidades-do-estado/113659/","MS-05306/2018",TRUE,"s",1,"NELSINHO TRAD",36,"ZECA PT",22.33,"WALDEMIR MOKA",12,"PEDRO CHAVES",7.32,"SERGIO HARFOUCHE",6.58,"DORIVAL BETINI",6.16,"CHICO MAIA",5.75,"MARCELO MIGLIOLI",3.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEDRO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2546,100.06,"MATO GROSSO DO SUL",FALSE,NA,3696,2018,FALSE,FALSE,NA
"https://cidadeverde.com/noticias/266348/wilson-joao-vicente-e-ciro-lideram-corrida-para-o-senado-em-2018","PI-00411/2018",TRUE,"s",1,"WILSON MARTINS",24.54,"JOAO VICENTE",16.97,"CIRO NOGUEIRA",16.53,"REGINA SOUSA",13.9,"ROBERT RIOS",12.49,"JULIO CESAR",8.71,"FLAVIO NOGUEIRA",6.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEDRO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3801,99.82,"PIAUÍ",FALSE,NA,3734,2018,FALSE,FALSE,NA
"https://cidadesnanet.com/news/destaque/nova-pesquisa-poe-na-frente-lula-w-dias-dr-pessoa-e-empate-tecnico-entre-frank-wilson-e-ciro/","PI-02732/2018",TRUE,"s",1,"DR PESSOA",25.15,"FRANK AGUIAR",16.1,"WILSON MARTINS",15.7,"CIRO NOGUEIRA",15.55,"ROBERT RIOS",9.7,"REGINA SOUSA",8.05,"DR MARCOS VINICIUS",3.25,"ANTONIO JOSE LIRA",3,"ELISEU AGUIAR",2.55,"JOAQUIM SARAIVA",1.05,"JESUS RODRIGUES",1,NA,NA,NA,NA,"PEDRO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3852,101.1,"PIAUÍ",FALSE,NA,3757,2018,FALSE,FALSE,NA
"https://www.45graus.com.br/barras-pi/nova-pesquisa-deixa-eleitores-desconfiados-em-barras","PI-06052/2016",TRUE,"p",NA,"EDILSON CAPOTE",53.5,"CARLOS MONTE",46.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEDRO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3898,100,"BARRAS",FALSE,NA,3801,2016,FALSE,FALSE,NA
"https://portaldobikanca.blogspot.com/2018/04/pesquisa-amostragem-para-o-senado.html","PI-06776/2018",TRUE,"s",1,"WILSON MARTINS",21.16,"CIRO NOGUEIRA",16.51,"DR PESSOA",15.1,"REGINA SOUSA",14.75,"MARCELO CASTRO",12.29,"ROBERT RIOS",11.76,"JULIO CESAR LIMA",7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEDRO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3910,99.47,"PIAUÍ",FALSE,NA,3807,2018,FALSE,FALSE,NA
"https://carlsonpessoa.blogspot.com/2018/09/piaui-tem-pesquisa-eleitoral-pra-todo.html","PI-07451/2018",TRUE,"g",1,"WELLINGTON DIAS",41.95,"DR PESSOA",41.72,"LUCIANO NUNES",9.59,"ELMANO FERRER",3.17,"FABIO SERVIO",1.41,"VALTER ALENCAR",1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEDRO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3931,99.25,"PIAUÍ",FALSE,NA,3820,2018,FALSE,FALSE,NA
"http://www.netoferreira.com.br/page/5/?s=Urbano+Santos","MA-00134/2012",TRUE,"p",1,"IRACEMA CRISTINA",77.54,"LEA COSTA",17.64,"ZEQUINHA",4.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEDRO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9458",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1695,99.67,NA,FALSE,NA,3912,2012,FALSE,FALSE,NA
"https://horanews34.wordpress.com/2012/09/28/pinoquio-instituto-que-divulgou-pesquisa-que-apontou-carmen-neto-com-vantagem-em-mata-roma-e-apontado-como-suspeito-de-alterar-resultados-em-diversas-cidades/","MA-00154/2012",TRUE,"p",1,"CARMEM NETO",58.03,"GLINOEL GARRETO",40.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEDRO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1709,98.83,NA,FALSE,NA,3920,2012,FALSE,FALSE,NA
"http://www.netoferreira.com.br/poder/2012/09/eduardo-castelo-branco-lidera-disputa-em-anajatuba-com-4116-2/","MA-00185/2012",TRUE,"p",1,"EDUARDO CASTELO BRANCO",41.16,"HELDER ARAGAO",31.77,"PROFESSOR WELITON",25.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEDRO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1718,98.66,NA,FALSE,NA,3921,2012,FALSE,FALSE,NA
"https://jersanaraujo.blogspot.com/2012/09/inopma-divulga-resultado-de-pesquisa.html","MA-00303/2012",TRUE,"p",1,"CONCEICAO",59.82,"MARIA RAIMUNDA",38.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEDRO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1738,98.61,NA,FALSE,NA,3923,2012,FALSE,FALSE,NA
