OBS,tse_id,url,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul40,cand41,resul41,cand42,resul42,cand43,resul43,person,instituto,scenario,total,for_correction_1,correction_1_pending,ID,year
,BA-02372/2016,https://www.jornaldosudoeste.com/edcarlos-lidera-com-5508-disputa-pela-prefeitura-de-maetinga/,TRUE,p,0,NA,NA,EDCARLOS OLIVEIRA,"52,48",ALINE COSTA AGUIAR SILVEIRA,22.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOB,NA,248,5270.46,FALSE,NA,53,2016
,BA-02372/2016,https://www.jornaldosudoeste.com/edcarlos-lidera-com-5508-disputa-pela-prefeitura-de-maetinga/,TRUE,p,1,NA,NA,EDCARLOS OLIVEIRA,"55,08",ALINE COSTA AGUIAR SILVEIRA,26.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOB,NA,249,5534.71,FALSE,NA,54,2016
,BA-03423/2016,https://www.jornaldosudoeste.com/emerson-leal-consolida-lideranca-na-reta-final-da-campanha-em-livramento-de-nossa-senhora/,TRUE,p,0,NA,NA,EMERSON LEAL,"51,33",RICARDINHO,40.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOB,NA,255,5173.17,FALSE,NA,55,2016
,BA-03423/2016,https://www.jornaldosudoeste.com/emerson-leal-consolida-lideranca-na-reta-final-da-campanha-em-livramento-de-nossa-senhora/,TRUE,p,1,NA,NA,EMERSON LEAL,"51,67",RICARDINHO,40.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOB,NA,256,5207.5,FALSE,NA,56,2016
,BA-03503/2016,https://www.jornaldosudoeste.com/marco-tulio-mantem-lideranca-na-disputa-pela-prefeitura-de-boquira/,TRUE,p,0,NA,NA,MARCO TULIO VILASBOAS,"45,9",LUCIANO FARMACIA,36.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOB,NA,257,495.6,FALSE,NA,57,2016
,BA-03503/2016,https://www.jornaldosudoeste.com/marco-tulio-mantem-lideranca-na-disputa-pela-prefeitura-de-boquira/,TRUE,p,1,NA,NA,MARCO TULIO VILASBOAS,"47,9",LUCIANO FARMACIA,39.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOB,NA,258,518.6,FALSE,NA,58,2016
,BA-03564/2016,https://correiodooeste.com.br/riacho-de-santana-alan-vieira-lidera-corrida-pela-prefeitura-diz-pesquisa/,TRUE,p,0,NA,NA,ALAN ANTONIO VIEIRA,"49,29",PAULO SERGIO GONDIM CASTRO,39.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOB,NA,259,4968.31,FALSE,NA,59,2016
,BA-03564/2016,https://correiodooeste.com.br/riacho-de-santana-alan-vieira-lidera-corrida-pela-prefeitura-diz-pesquisa/,TRUE,p,1,NA,NA,ALAN ANTONIO VIEIRA,"48,97",PAULO SERGIO GONDIM CASTRO,39.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOB,NA,260,4936.81,FALSE,NA,60,2016
,BA-03781/2016,https://www.portaljaguarari.com.br/2016/09/eleicoes-2016-nova-pesquisa-confirma.html,TRUE,p,1,NA,NA,TIAGO VENANCIO,"53,4",ADELSON MAIA,30.4,IRANILTON,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOB,NA,262,575.1,FALSE,NA,61,2016
,BA-04800/2016,https://folhadovale.net/pesquisa-mostra-pre-candidato-dezin-com-417-das-intencoes-de-voto-em-malhada.html,TRUE,p,0,NA,NA,DEZIN,"40,4",ANSELMO ALVES BOA SORTE,24.8,DR GIMMY,23.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOB,NA,271,452,FALSE,NA,62,2016
,BA-04800/2016,https://folhadovale.net/pesquisa-mostra-pre-candidato-dezin-com-417-das-intencoes-de-voto-em-malhada.html,TRUE,p,1,NA,NA,DEZIN,"41,7",ANSELMO ALVES BOA SORTE,24.8,DR GIMMY,23.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOB,NA,272,465,FALSE,NA,63,2016
,BA-06130/2016,https://www.petrolinanews.com.br/2016/09/em-remanso-pesquisa-indica-vitoria-de.html,TRUE,p,NA,NA,NA,MARCOS PALMEIRA,"50,5",ZE FILHO,41.8,TONY AVILA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOB,NA,281,549.5,FALSE,NA,64,2016
,BA-06346/2016,https://jornaldachapada.com.br/2016/07/26/chapada-pesquisa-aponta-favoritos-nas-eleicoes-2016-em-morro-do-chapeu/,TRUE,p,NA,NA,NA,LEO DOURADO,"62,2",BETO,26.9,BRANCO,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOB,NA,282,652.8,FALSE,NA,65,2016
