"company_id","pretty_name"
REALIDADE,Instituto Realidade
VOX POPULI,Vox Populi
GERP,Gerp
MULTIPLA,Múltipla Pesquisa (PE)
MULTIDADOS,Multidados
PROMIDIA,Promídia
FUTURA,Futura
RANKING,Ranking Pesquisa
DGABC,DGABC Pesquisas
DATAMETRICA,Datamétrica
ARBEIT,Arbeit Pesquisas
AGORASEI,Agorasei Pesquisa
LONDON,London Pesquisas
AMPLACE,Ampla Pesquisa (CE)
TDL,TDL Pesquisa
ANGULO,Ângulo Pesquisas
TENDENCIAMS,Tendência Pesquisa (MS)
"01286233000165",Instituto Precisão
"11114729000105",DNA Pesquisa
"06026300000126",Atlas Assessoria (MS)
"10572939000184",Instituto Previsão
"15194353000147",Opinion Maker
"10673919000108",Brandão e Costa
"04816658000127",Editora Ana Cássia
"83203646000101",Mapa Marketing
"11167150000100",Instituto Mapear
"03341593000148",Contraponto Comercial
"06023655000161",Action Marketing
"13320517000100",Agência Mind
"11371501000109",Instituto Portinari
"09339033000135",SDS Serviços
"11707992000108",Encuesta Pesquisas
"43455062000109",Toledo e Associados
"12451031000148",W1 Em Campo
"02728098000123",Visão Empresarial
"10818753000162",Constat
"13004769000120",GQuest
"03989764000140",Datacenso
"05123359000170",IPEMPI
"01503056000121",Datacerto
"33855115000117",Hoje Comunicações
"02486450000161",IGUAPE
"04155770000164",Scenso
"08543953000108",Aprove
"06029551000164",BABESP
"19799000000121",Segmenta Dados
"00945330000150",Instituto Verus
"01648876000101",Padrão Pesquisas
"15400529000170",Ipeto
"08797064000177",Zaytec Brasil
"04483758000189",Opinião Brasil (DF)
"10275628000153",Axiomas Brasil
"08977267000145",R G C Borges
"16502103000190",IPESE
"04756345000120",Lopes e Faleiro
"09509214000162",CT Assessoria
"09282211000139",Datavox (AL)
"04362689000155",ST Pesquisa
"07661823000107",Brasil Data
"11077560000160",IPRI
"10307514000148",Item Pesquisas
"05266474000101",Souza Lopes
"03781208000183",Perspectiva Pesquisa
"20018384000187",Instituto Amostra
"15625058000106",INOPE
"03989742000180",EPB Consultoria
"18886742000121",Dado Pesquisa
"12034597000174",Cruz Consulting
"10222379000138",Data Consulta
"22866169000161",Instituto Opine (AL)
"04857350000120",Opine Pesquisa (PE)
"14638557000167",Selene Pinheiro da Silva
"20790165000111",Datasonda
"02203834000120",EPOM
"15015873000145",Diagnóstico Pesquisas
"09597283000175",Jornal Girassol
"14026979000181",PS Marketing
"05255333000185",Veritate
"15592807000138",Projetar Consultoria
"06196072000132",Henrimond Comunicações
"24989809000156",Instante Inteligência
