"tse_id","url","util","position","estimulada","suspensa","vv","cand1","resul1","cand2","resul2","cand3","resul3","cand4","resul4","cand5","resul5","cand6","resul6","cand7","resul7","cand8","resul8","cand9","resul9","cand10","resul10","cand11","resul11","cand12","resul12","cand13","resul13","cand14","resul14","cand15","resul15","cand16","resul16","cand17","resul17","cand18","resul18","cand19","resul19","cand20","resul20","cand21","resul21","cand22","resul22","cand23","resul23","cand24","resul24","cand25","resul25","cand26","resul26","cand27","resul27","cand28","resul28","cand29","resul29","cand30","resul30","cand31","resul31","cand32","resul32","cand33","resul33","cand34","resul34","cand35","resul35","cand36","resul36","cand37","resul37","cand38","resul38","cand39","resul40","cand41","resul41","cand42","resul42","cand43","resul43","person","instituto","scenario","for_patch_3"
"MA-00148/2012","https://luiscardoso.com.br/politica/2012/09/pesquisa-nao-assusta-roseana-e-aponta-quem-pode-ganhar-no-segundo-turno/","TRUE","p","0","NA","NA","JOAO CASTELO","30.6","EDIVALDO JUNIOR","26.6","TADEU PALACIO","8.6","WHASHINGTON OLIVEIRA","8.05","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RODRIGO","","1782","FALSE"
"MA-00148/2012","https://luiscardoso.com.br/politica/2012/09/pesquisa-nao-assusta-roseana-e-aponta-quem-pode-ganhar-no-segundo-turno/","TRUE","p","1","NA","NA","JOAO CASTELO","32.4","EDIVALDO JUNIOR","28","TADEU PALACIO","9.1","WHASHINGTON OLIVEIRA","8.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RODRIGO","","1783","FALSE"
"PA-00014/2014","https://alessandroportal.blogspot.com/2014/09/helder-lidera-na-regiao-metropolitana_2.html","TRUE","pr","1","NA","NA","MARINA SILVA","40.57","DILMA","37","AECIO NEVES","8.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CLARA","","3038","TRUE"
"PA-00014/2014","https://alessandroportal.blogspot.com/2014/09/helder-lidera-na-regiao-metropolitana_2.html","TRUE","pr","0","NA","NA","MARINA SILVA","37","DILMA","34.2","AECIO NEVES","8.6","LUCIANA GENRO","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CLARA","","3037","TRUE"
"RN-02046/2018","https://winpausebreak.blogspot.com/2018/10/pesquisa-quality-carlos-eduardo-tem-513.html","TRUE","g","1","NA","NA","CARLOS EDUARDO","46.7","FATIMA BEZERRA","45.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CLARA","","4492","FALSE"
"RJ-00018/2014","http://www.gpp.com.br/arquivos/Rel-RJ-Eleit-REGISTRADA-9-e-10-Ago2014.pdf","TRUE","s","1","NA","NA","ROMARIO","32.2","CESAR MAIA","25","EDUARDO SERRA","4.7","CARLOS LUPI","2.9","LILIAN SA","1.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CLARA","","4162","FALSE"
"MG-00034/2014","http://www.jornaldelavras.com.br/index.php?p=10&tc=4&c=8657","FALSE","v","1","NA","NA","MARCOS POSSATO","15.3","JOAO PAULO FELIZARDO","11.3","ANDERSON GARCOM","8","DR SEBASTIAO","6.3","CHAPISCO","5.5","DANIEL COSTA","4","EDMAR PALOL","2.8","ALISSON DENTISTA","2.5","LEANDRO MORETTI","2.5","CARLAO","1.8","CLEBER PEVIDOR","1.8","TILILI","1.8","ZE BENTO","1.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FABRICIO","","2082","FALSE"
"RN-00002/2014","https://assunapontadalingua.blogspot.com/2014_06_15_archive.html","TRUE","g","1","NA","NA","HENRIQUE ALVES","38.2","ROBINSON FARIAS","22.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MARI","","4313","FALSE"
"SP-00049/2014","https://issuu.com/agencia_impacto/docs/di__rio_9583","TRUE","g","NA","NA","NA","MARINA SILVA","30.59","DILMA","27.7","AECIO NEVES","15.97","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","OSCAR","","5033","FALSE"
"PA-03131/2018","http://aprovinciadopara.com.br/de-virada-marcio-miranda-51-9-helder-barbalho-48-1-na-pesquisa-doxaa-provincia/","TRUE","pr","1","NA","NA","JAIR BOLSONARO","47.7","FERNANDO HADDAD","42.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PEDRO","","3161","TRUE"
"MA-07213/2018","http://www.athenasmaranhense.com.br/2016/07/","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RODRIGO","","1978","FALSE"
"BR-01116/2014","http://www.bilhetim.com.br/index.php/artigos/340-helder-amplia-vantagem-votos-validos-53-7-a-46-3","TRUE","pr","0","NA","NA","DILMA","48.4","AECIO NEVES","43.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CLARA","","703","FALSE"
"BR-01116/2014","http://www.bilhetim.com.br/index.php/artigos/340-helder-amplia-vantagem-votos-validos-53-7-a-46-3","TRUE","pr","1","NA","NA","DILMA","49.3","AECIO NEVES","44","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CLARA","","704","FALSE"
"BR-00539/2014","https://ananindeuadebates.blogspot.com/2014/09/pesquisa-eleitoral-helder-34-x-jatene.html","TRUE","pr","0","NA","NA","AECIO NEVES","9.8","DILMA","35.2","MARINA SILVA","37.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","CLARA","NA","NA","NA"
"BR-00539/2014","https://ananindeuadebates.blogspot.com/2014/09/pesquisa-eleitoral-helder-34-x-jatene.html","TRUE","pr","1","NA","NA","AECIO NEVES","10.1","DILMA","37.4","MARINA SILVA","39.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","CLARA","NA","NA","NA"
"BR-00618/2014","http://www.bilhetim.com.br/index.php/artigos?start=96","TRUE","pr","0","NA","NA","AECIO NEVES","11.3","DILMA","40.4","MARINA SILVA","31.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","CLARA","NA","NA","NA"
"BR-00618/2014","http://www.bilhetim.com.br/index.php/artigos?start=96","TRUE","pr","1","NA","NA","AECIO NEVES","11.8","DILMA","42.7","MARINA SILVA","33.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","CLARA","NA","NA","NA"
"BR-01092/2014","http://www.bilhetim.com.br/index.php/artigos/343-iveiga-helder-bate-jatene-por-5-pontos","TRUE","pr","0","NA","NA","AECIO NEVES","43.3","DILMA","49.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","CLARA","NA","NA","NA"
"BR-01092/2014","http://www.bilhetim.com.br/index.php/artigos/343-iveiga-helder-bate-jatene-por-5-pontos","TRUE","pr","1","NA","NA","AECIO NEVES","43.8","DILMA","49.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","CLARA","NA","NA","NA"
"SP-01066/2012","https://www.terra.com.br/noticias/brasil/politica/vox-populi-russomanno-lidera-serra-e-haddad-empatam-no-2-lugar,e3e99782ac66b310VgnCLD200000bbcceb0aRCRD.html","TRUE","p","NA","NA","NA","CELSO RUSSOMANNO","34","JOSE SERRA","17","HADDAD","17","GABRIEL CHALITA","5","SONINHA FRANCINE","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","DESCONHECIDO","NA","NA","NA"
"BR-00638/2014","https://itnet.com.br/noticia/24951/maria-e-luciano-est-o-empatados-em-pesquisa-dataform-em-itabaiana","TRUE","p","NA","NA","NA","MARIA MENDONCA","28","LUCIANO BISPO","27.5","ZE MILTON ZE DONA","1.8","CAPITAO SAMUEL","0.5","GILSON ANDRADE","0.5","VENANCCIO FONSECA","0.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","OSCAR","NA","NA","NA"
