info_muni,candidate,correction
JUCATI,EDNALDO PEIXOTO,NA
JUCATI,GERSON HENRIQUE,NA
JUCURUTU,LEONCIO,NA
JUCURUTU,PABLO,NA
JUCURUTU,VALDIR MEDEIROS,NA
JUCURUTU,IOGO QUEIROZ,NA
JUCURUTU,VALDIR,VALDIR MEDEIROS
LADÁRIO,ZE ANTONIO,JOSE ANTONIO
LADÁRIO,MUNIR,MUNIR SADEQ
LADÁRIO,IRANIL BARBOSA,NA
LADÁRIO,NENINHO,NA
LADÁRIO,ANDREA SAMPAIO,NA
LADÁRIO,CRISTIANE,NA
LADÁRIO,IRANIL SOARES,IRANIL BARBOSA
LADÁRIO,JOSE ANTONIO,NA
LADÁRIO,ANDREIA SAMPAIO,ANDREA SAMPAIO
LADÁRIO,MUNIR SADEQ,NA
LADÁRIO,NENECO,NA
LADÁRIO,CRISTIANE PSL,CRISTIANE
LADÁRIO,RAQUEL PT,NA
LIMA CAMPOS,DIRCE JAILSON,NA
LIMA CAMPOS,ESTEVINHO,NA
MACAÍBA,DELEGADO NORMANDO,NORMANDO FEITOSA
MACAÍBA,MARILIA DIAS,NA
MACAÍBA,NORMANDO FEITOSA,NA
MACAÍBA,EMIDIO JUNIOR,NA
MACAÍBA,GERSON LIMA,NA
MACAÍBA,CAND PREF,NA
MACAÍBA,FERNANDO CUNHA,NA
MACAÍBA,DENILSON GADELHA,NA
MACAÍBA,JANSSEN MOTOS,NA
MACAÍBA,NETINHO FRANCA,NA
MACAÍBA,AILTON MANGABEIRA,NA
MACAÍBA,AURI SIMPLICIO,NA
MACAÍBA,JOSE ALDENIR,NA
MACAÍBA,JANSEN MOTOS,NA
MACAÍBA,BOLINHA FEDERAL,NA
MACAÍBA,JANSSEN,JANSSEN MOTOS
MACAÍBA,ALDENIR,JOSE ALDENIR
MANAUS,AMAZONINO MENDES,NA
MANAUS,DAVID ALMEIDA,NA
MANAUS,CAPITAO ALBERTO NETO,NA
MANAUS,JOSE RICARDO,NA
MANAUS,MARCOS ROTTA,NA
MANAUS,CONCEICAO SAMPAIO,NA
MANAUS,ALFREDO NASCIMENTO,NA
MANAUS,JOSUE NETO,NA
MANAUS,CHICO PRETO,NA
MANAUS,RICARDO NICOLAU,NA
MANAUS,BOSCO SARAIVA,NA
MANAUS,VANESSA GRAZZIOTIN,NA
MANAUS,HISSA ABRAHAO,NA
MANAUS,CARLOS ALMEIDA,NA
MANAUS,EDUARDO BRAGA,NA
MANAUS,SERAFIM CORREA,NA
MANAUS,ROMERO REIS,NA
MANAUS,FELIPE SOUZA,NA
MANAUS,SERAFIM CORRREA,SERAFIM CORREA
MANAUS,DEBORA MAFRA,NA
MANAUS,CORONEL MENEZES,NA
MANAUS,LILIANE ARAUJO,NA
MANAUS,CAP ALBERTO,CAPITAO ALBERTO NETO
MANAUS,CEL ALFREDO MENEZES,ALFREDO NASCIMENTO
MANAUS,DEL DEBORA MAFRA,DEBORA MAFRA
MANAUS,CAROLINE BRAZ,NA
MANAUS,CAP ALBERTO NETO,CAPITAO ALBERTO NETO
MANAUS,CEL MENEZES,CEL ALFREDO MENEZES
MANAUS,ALBERTO NETO,CAPITAO ALBERTO NETO
MANAUS,CORONEL ALFREDO MENEZES,ALFREDO NASCIMENTO
MONTIVIDIU,SERAFIM,NA
MONTIVIDIU,ADEMIR,DR ADEMIR
MONTIVIDIU,CARLAO VIE,NA
MONTIVIDIU,HONES,NA
MONTIVIDIU,ADOLFINHO,NA
MONTIVIDIU,HERCILIO,NA
MONTIVIDIU,PASTOR ELCIO,NA
MONTIVIDIU,DR ADEMIR,NA
MONTIVIDIU,EDSON,NA
MONTIVIDIU,PASTOR ELSON,NA
MONTIVIDIU,RENATO CAMARA,NA
PALMINÓPOLIS,DR FRANC,NA
PALMINÓPOLIS,BRIZZOLA,NA
PALMINÓPOLIS,VANDO BISPO,NA
PAULISTANA,JOAQUIM FARMACIA,NA
PAULISTANA,LUIS COELHO,NA
PAULISTANA,DIDIU,NA
PEDRA PRETA,PAULO HENRIQUE,NA
PEDRA PRETA,JADSON MENDES,NA
RIACHÃO,CRISOGONO VIEIRA,NA
RIACHÃO,RUGGERO FELIPE,NA
RIACHÃO,GUTO COELHO,NA
SANTARÉM,MARIA CARMO,NA
SANTARÉM,NELIO AGUIAR,NA
SANTARÉM,NEY SANTANA,NA
SANTARÉM,BIRINHA,NA
SANTARÉM,CORONEL TOMASO,NA
SANTARÉM,JOAO MASSAMIX,NA
SANTARÉM,JOTA NINOS,NA
SANTARÉM,JACKSON FOLCLORE,NA
SANTARÉM,PROFESSOR JARSEN,NA
SANTARÉM,VALDIR MATIAS,NA
SANTARÉM,LIRA MAIA,NA
SANTARÉM,ALEXANDRE VON,NA
SANTARÉM,PAULO BARRUDADA,NA
SANTARÉM,CORONEL TOMAZIO,NA
SÃO DOMINGOS DO ARAGUAIA,ELIZANE SOARES,NA
SÃO DOMINGOS DO ARAGUAIA,DIKA,NA
SENADOR ELÓI DE SOUZA,JUNINHO KERGINALDO,NA
SENADOR ELÓI DE SOUZA,MACIEL GOMES,NA
SENADOR ELÓI DE SOUZA,JEFFERSON MAC,NA
SENADOR ELÓI DE SOUZA,JUNINHO,JUNINHO KERGINALDO
SENADOR ELÓI DE SOUZA,MACIEL,MACIEL GOMES
SENADOR ELÓI DE SOUZA,JEFERSON,JEFFERSON MAC
SENADOR GUIOMARD,BRANCA MENEZES,NA
SENADOR GUIOMARD,GILSON FUNERARIA,NA
SENADOR GUIOMARD,ANDRE MAIA,NA
SERRINHA,ADRIANO LIMA,NA
SERRINHA,OSNI,NA
SERRINHA,BERG ARAGON,NA
SERRINHA,FERRINHA,NA
SERRINHA,VIVIANE,NA
TERENOS,LEANDRO CARAMALAC,NA
TERENOS,HENRIQUE BADKE,NA
TERENOS,DONIZETE BARRACO,NA
TERENOS,BIRA,NA
TERENOS,SACI,NA
TERENOS,BARATAO,NA
TERENOS,JOAO LUCIANO,NA
TERENOS,IVAN,NA
TERESINA,DR PESSOA,NA
TERESINA,FABIO ABREU,NA
TERESINA,SILVIO MENDES,NA
TERESINA,FABIO NOVO,NA
TERESINA,SILAS FREIRE,NA
TERESINA,KLEBER MOTEZUMA,KLEBER MONTEZUMA
TERESINA,GEORGIANO NETO,NA
TERESINA,ZE NITO,NA
TERESINA,DUDU,NA
TERESINA,JONINHA,NA
TERESINA,GRACA AMORIM,NA
TERESINA,SAMUEL SILVEIRA,NA
TERESINA,JEOVA,NA
TERESINA,EDSON MELO,NA
TERESINA,CIDA SANTIAGO,NA
TERESINA,FIRMINO FILHO,NA
TERESINA,KLEBER MONTEZUMA,NA
TERESINA,MAJOR DIEGO,NA
TERESINA,VALTER ALENCAR,NA
TERESINA,FABIO SERVIO,NA
TERESINA,JOAO VICENTE CLAUDINO,NA
TERESINA,PEDRO LAURENTINO,NA
TERESINA,LOURDES MELO,NA
UBERABA,TONY CARLOS,NA
UBERABA,HELI,NA
UBERABA,THIAGO MARISCAL,NA
UBERABA,LERIN,NA
UBERABA,KAKA CARNEIRO,NA
UBERABA,WAGNER JUNIOR,NA
UBERABA,ANTONIO LERIN,NA
UBERABA,LUIZ DUTRA,NA
UBERABA,DELEGADO HELI GRILO,NA
UBERABA,ELISA ARAUJO,NA
UBERABA,KAKA SE LIGA,NA
UBERABA,WAGNER ARAUJO,NA
UBERABA,PATRICIA MELO,NA
UBERABA,REGIANE ISIDORIO,NA
UBERABA,MARILDA,NA
UNIÃO,GUSTAVO MEDEIROS,NA
UNIÃO,RICARDO,NA
UNIÃO,ANTONIO JOSE MEDEIROS,NA
UNIÃO,DR RICARDO,NA
UNIÃO,ZE OSMAR,NA
UNIÃO,NEERIAS CAVALCANTE,NA
UNIÃO,ANTONIA MARIA,NA
VÁRZEA GRANDE,EMANUELZINHO,NA
VÁRZEA GRANDE,KALIL BARACAT,NA
VÁRZEA GRANDE,JOSE HAZAMA,NA
VÁRZEA GRANDE,FLAVIO VARGAS,NA
VÁRZEA GRANDE,JULIO PACHECO,NA
VÁRZEA GRANDE,WALLACE GUIMARAES,NA
VÁRZEA GRANDE,LUCIMAR CAMPOS,NA
VÁRZEA GRANDE,KALIL,KALIL BARACAT
VÁRZEA GRANDE,FLAVIO,FLAVIO VARGAS
VÁRZEA GRANDE,HAZAMA,JOSE HAZAMA
VÁRZEA GRANDE,LUCIMAR,LUCIMAR CAMPOS
