conre,cnpj
2,"10.683.261/0001-07"
2,"00.794.068/0001-90"
5,"10.956.929/0001-42"
5,"10.595.124/0001-10"
5,"36.104.634/0001-31"
5,"20.128.172/0001-52"
5,"12.282.147/0001-09"
5,14258291000127
5,"17.159.578/0001-98"
5,"04.583.866/0001-23"
5,"36.228.743/0001-60"
5,"04.859.573/0001-26"
5,"13.273.587/0001-54"
5,"13.598.475/0001-73"
5,"05.949.626/0001-62"
5,"81.908.345/0001-40"
5,"22.438.783/0001-22"
5,26834675000120
5,"14.293.213/0001-63"
5,"42.196.550/0001-78"
5,"34.367.987/0001-07"
5,"15.179.641/0001-22"
5,03764491000135
5,"09.026.259/0001-86"
5,"08.624.076/0001-08"
5,"11.134.397/0001-20"
5,24374946000186
5,"15.444.186/0001-45"
5,"12.032.011/0001-32"
5,"01.191.743/0001-59"
5,"16.176.992/0001-42"
5,"13.430.414/0001-00"
5,"07.827.817/0001-87"
5,"02.936.488/0001-99"
5,"09.269.398/0001-30"
5,"04.994.119/0001-88"
5,"09.282.211/0001-39"
5,22742483000132
5,"09.170.122/0001-09"
5,"09.546.952/0001-80"
5,"20.972.537/0001-20"
5,09045102000106
5,"10.575.983/0001-48"
5,"03.568.752/0001-41"
5,"24.463.648/0001-62"
5,"11.735.586/0001-59"
5,"13.807.655/0001-18"
5,"69.944.171/0001-75"
5,"11.849.437/0001-10"
5,"00.377.711/0001-80"
5,"14.861.123/0001-21"
5,"08.021.350/0001-46"
5,"17.442.390/0001-52"
5,35841563000197
5,31887889000102
5,04843093000177
5,"03.348.102/0001-90"
5,10307514000148
5,"28.505.080/0001-56"
5,40808743000107
5,"32.763.235/0001-21"
5,10783981000144
5,"38.061.259/0001-15"
5,35851783000100
5,"35.728.961/0001-00"
M,"19.259.002/0001-28"
13,"09.242.998/0001-05"
13,"00.081.933/0001-50"
13,"03.490.620/0001-44"
13,"04.362.689/0001-55"
13,"70.363.106/0001-35"
13,"03.973.340/0001-97"
13,"03.011.668/0001-22"
13,"36.781.946/0001-80"
13,"02.943.355/0001-40"
13,"05.023.065/0001-76"
13,"03.683.644/0001-10"
13,"06.270.812/0001-33"
13,TENDENCIAMS
5,DATAMETRICA
4,LONDON
4,ANGULO
3,NILTON
