cannot_find_id,tse_id_new,tse_id,url,SG_UE,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul40,cand41,resul41,cand42,resul42,cand43,resul43,person,NM_UE,instituto,scenario
NA,BR-37640/2010,GO-54134/2010,NA,NA,TRUE,pr,1,NA,NA,JOSE SERRA,49,DILMA,44.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,NA,VERITA,1658
NA,TO-00039/2014,BR-00884/2014,http://eleicoes.ibopeinteligencia.com/paginas/marcelo-miranda-segue-liderando-com-vantagem-a-disputa-pelo-governo-do-tocantins.aspx,NA,TRUE,s,0,NA,NA,KATIA ABREU,43,EDUARDO GOMES,18,SARGENTO ARAGAO,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,BRASIL,NA,632
NA,TO-00039/2014,BR-00884/2014,http://eleicoes.ibopeinteligencia.com/paginas/marcelo-miranda-segue-liderando-com-vantagem-a-disputa-pelo-governo-do-tocantins.aspx,NA,TRUE,s,1,NA,NA,KATIA ABREU,47,EDUARDO GOMES,20,SARGENTO ARAGAO,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,BRASIL,NA,635
NA,TO-00052/2014,BR-01025/2014,http://g1.globo.com/to/tocantins/eleicoes/2014/noticia/2014/10/katia-abreu-tem-448-gomes-222-mostra-serpes-para-o-senado.html,NA,TRUE,s,0,NA,NA,KATIA ABREU,32.2,EDUARDO GOMES,15.9,SARGENTO ARAGAO,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,BRASIL,NA,676
NA,TO-00052/2014,BR-01025/2014,http://g1.globo.com/to/tocantins/eleicoes/2014/noticia/2014/10/katia-abreu-tem-448-gomes-222-mostra-serpes-para-o-senado.html,NA,TRUE,s,1,NA,NA,KATIA ABREU,44.8,EDUARDO GOMES,22.2,SARGENTO ARAGAO,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,BRASIL,NA,678
NA,MA-00011/2014,BR-00113/2014,http://www.blogdosilvio.com.br/2014/05/em-sao-jose-de-ribamar-flavio-dino.html,BR,TRUE,g,0,NA,NA,LUIS FERNANDO,26.7,FLAVIO DINO,17,ELIZIANE GAMA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RODRIGO,NA,NA,384
NA,SP-08589/2018,BR-06844/2018,https://www.ecolifeonline.com.br/32277,NA,TRUE,s,NA,NA,NA,MARA GABRILLI,18.44,EDUARDO SUPLICY,13.98,MAJOR OLIMPIO,4.56,TRIPOLI,2.28,MAURREN MAGGI,2.73,MARIO COVAS NETO,1.93,JILMAR TATTO,1.74,MANCHA,1.29,EDUCADOR DANIEL CARA,79,ANTONIO NETO,69,DIOGO DA LUZ,35,PROFESSORA SILVIA FERRA,30,MARCELO BARBIERI,30,DRA. ELIANA FERREIRA,25,NIVALDO ORLANI,20,KALED,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OSCAR,BRASIL,NA,944
NA,TO-00039/2014,BR-00884/2014,http://eleicoes.ibopeinteligencia.com/paginas/marcelo-miranda-segue-liderando-com-vantagem-a-disputa-pelo-governo-do-tocantins.aspx,NA,TRUE,g,0,NA,NA,MARCELO MIRANDA,46,SANDOVAL CARDOSO,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,BRASIL,NA,630
NA,TO-00039/2014,BR-00884/2014,http://eleicoes.ibopeinteligencia.com/paginas/marcelo-miranda-segue-liderando-com-vantagem-a-disputa-pelo-governo-do-tocantins.aspx,NA,TRUE,g,1,NA,NA,MARCELO MIRANDA,50,SANDOVAL CARDOSO,34,ATAIDES OLIVEIRA,2,LUIS CLAUDIO,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,BRASIL,NA,633
NA,TO-00052/2014,BR-01025/2014,http://g1.globo.com/to/tocantins/eleicoes/2014/noticia/2014/10/marcelo-miranda-lidera-com-504-sandoval-tem-372-aponta-serpes.html,NA,TRUE,g,0,NA,NA,MARCELO MIRANDA,44.4,SANDOVAL CARDOSO,32.3,ATAIDES OLIVEIRA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,BRASIL,NA,675
