new_tse_id;tse_id;url;NM_UE;util;position;estimulada;suspensa;vv;cand1;resul1;cand2;resul2;cand3;resul3;cand4;resul4;cand5;resul5;cand6;resul6;cand7;resul7;cand8;resul8;cand9;resul9;cand10;resul10;cand11;resul11;cand12;resul12;cand13;resul13;cand14;resul14;cand15;resul15;cand16;resul16;cand17;resul17;cand18;resul18;cand19;resul19;cand20;resul20;cand21;resul21;cand22;resul22;cand23;resul23;cand24;resul24;cand25;resul25;cand26;resul26;cand27;resul27;cand28;resul28;cand29;resul29;cand30;resul30;cand31;resul31;cand32;resul32;cand33;resul33;cand34;resul34;cand35;resul35;cand36;resul36;cand37;resul37;cand38;resul38;cand39;resul39;cand40;resul40;cand41;resul41;cand42;resul42;cand43;resul43;manual_filename;SG_UE;obs;instituto;total;CNPJ
;PB-09878/2018;https://politicadovaledosabugi.blogspot.com/2018/08/;PARAÍBA;0;g;1;NA;NA;JOAO AZEVEDO;26.5;MARANHAO;20.7;LUCELIO;15.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;manual/26-(leva-geral2_leva2)-pedro10-entrega.xlsx.csv;PB;NA;NA;62.5;10892795000143
;MA-06372/2016;https://caiohostilio.com/2016/09/28/noticias-672/;CANTANHEDE;1;p;0;NA;NA;RUIVO;50;PAULO FUBUIA;31.5;ABRAAO FARMACIA;6.8;IANALDO PIMENTEL;0.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7510;NA;NA;88.8;11159115000140
;MA-06372/2016;https://caiohostilio.com/2016/09/28/noticias-672/;CANTANHEDE;1;p;1;NA;NA;RUIVO;51.6;PAULO FUBUIA;32.3;ABRAAO FARMACIA;7.6;IANALDO PIMENTEL;0.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7510;NA;NA;556.7;11159115000140
;PI-03163/2018;https://www.politicadinamica.com/noticias/analises/teresina-wilson-30-1-e-robert-28-91537373780-11305.html;PIAUÍ;0;df;0;NA;NA;CAP FABIO ABREU;11.94;SILAS FREIRE;7.16;ATILA LIRA;2.39;REJANE DIAS;2.39;JONINHA;1.79;MARCOS AURELIO SAMPAIO;1.79;MERLONG SOLANO;1.49;FLAVIO NOGUEIRA;1.49;FLAVIO NOGUEIRA;1.49;HERACLITO FORTES;1.19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;manual/25-(leva-geral2_leva5-2)-pedro18-entrega.xlsx.csv;PI;NA;NA;33.12;11159115000140
;PI-03163/2018;https://www.politicadinamica.com/noticias/analises/teresina-wilson-30-1-e-robert-28-91537373780-11305.html;PIAUÍ;0;s;1;NA;NA;WILSON MARTINS;30.15;ROBERT RIOS;28.96;CIRO NOGUEIRA;24.78;FRANK AGUIAR;18.51;MARCELO CASTRO;17.61;ANTONIO JOSE LIRA;2.69;ELIZEU AGUIAR;2.39;QUEM QUEM;1.79;JOAQUIM SARAIVA;1.19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;manual/25-(leva-geral2_leva5-2)-pedro18-entrega.xlsx.csv;PI;NA;NA;128.07;11159115000140
;PI-03163/2018;https://www.blogluiscorreia.com/2018/09/datamax-senador-federal-e-estadual.html;PIAUÍ;0;df;0;NA;NA;CAP FABIO ABREU;7;SILAS FREIRE;6.5;REJANE DIAS;2.92;ASSIS CARVALHO;1.75;PAES LANDIM;1.25;MARCOS AURELIO SAMPAIO;1.25;IRACEMA PORTELLA;1.25;MERLONG SOLANO;1.08;MARGARETE COELHO;1.08;HERACLITO FORTES;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;manual/9-(leva-geral_2-1(965))-pedro20-splited_fixed-entrega.xlsx.csv;PI;NA;NA;25.08;11159115000140
;PI-03163/2018;https://www.blogluiscorreia.com/2018/09/datamax-senador-federal-e-estadual.html;PIAUÍ;0;s;1;NA;NA;WILSON MARTINS;31.5;CIRO NOGUEIRA;26.92;ROBERT RIOS;23.17;MARCELO CASTRO;14.42;FRANK AGUIAR;14.25;MARCOS VINICIUS;1.83;ANTONIO JOSE LIRA;1.58;QUEM QUEM;1;ELIZEU AGUIAR;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;manual/9-(leva-geral_2-1(965))-pedro20-splited_fixed-entrega.xlsx.csv;PI;NA;NA;115.67;11159115000140
;BR-07829/2018;https://pt.wikipedia.org/wiki/Pesquisas_de_opini%C3%A3o_sobre_a_elei%C3%A7%C3%A3o_presidencial_do_Brasil_em_2018;BRASIL;1;pr;1;NA;NA;LULA;32;JAIR BOLSONARO;20;CIRO GOMES;7;MARINA SILVA;7;HENRIQUE MEIRELLES;1;ALVARO DIAS;4;GERALDO ALCKMIN;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;BR;NA;NA;78;11849437000110 
;BR-07829/2018;https://pt.wikipedia.org/wiki/Pesquisas_de_opini%C3%A3o_sobre_a_elei%C3%A7%C3%A3o_presidencial_do_Brasil_em_2018;BRASIL;1;pr;1;NA;NA;JAIR BOLSONARO;20;HADDAD;13;CIRO GOMES;8;MARINA SILVA;9;HENRIQUE MEIRELLES;1;ALVARO DIAS;5;GERALDO ALCKMIN;8;JOAO AMOEDO;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;BR;NA;NA;66;11849437000110 
;BR-02443/2018;https://www.jpnews.com.br/tres-lagoas/pesquisa-aponta-preferencias-de-eleitores-em-30-cidades-do-estado/113659/;BRASIL;1;pr;1;NA;NA;JAIR BOLSONARO;32.66;LULA SILVA;30.58;CIRO GOMES;8.91;MARINA SILVA;2.66;GERALDO ACKMIN;2.5;ALVARO DIAS;2.41;VALERIA MONTEIRO;1.41;RODRIGO MAIA;1.08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;BR;NA;NA;82.21;26968293000199
