"CNPJ","new_tse_id","tse_id","url","NM_UE","util","position","estimulada","suspensa","vv","cand1","resul1","cand2","resul2","cand3","resul3","cand4","resul4","cand5","resul5","cand6","resul6","cand7","resul7","cand8","resul8","cand9","resul9","cand10","resul10","cand11","resul11","cand12","resul12","cand13","resul13","cand14","resul14","cand15","resul15","cand16","resul16","cand17","resul17","cand18","resul18","cand19","resul19","cand20","resul20","cand21","resul21","cand22","resul22","cand23","resul23","cand24","resul24","cand25","resul25","cand26","resul26","cand27","resul27","cand28","resul28","cand29","resul29","cand30","resul30","cand31","resul31","cand32","resul32","cand33","resul33","cand34","resul34","cand35","resul35","cand36","resul36","cand37","resul37","cand38","resul38","cand39","resul39","cand40","resul40","cand41","resul41","cand42","resul42","cand43","resul43","manual_filename","SG_UE","obs","new_id","instituto","total"
"09472061000126","","PA-05029/2016","https://blogdobranco.com/na-disputa-pelo-palacio-do-morro-dos-2/","PARAUAPEBAS","1","p","0","NA","NA","DARCI","34.2","VALMIR MARIANO","11.92","MARCELO CATALAO","10.36","CHICO CORTINAS","4.15","JOAO VERDURAO","3.37","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","manual/14-(leva-geral_3-2(2200))-pedro19-fixed-entrega.xlsx.csv","NA","NA","NA","NA","64"
"09472061000126","","PA-05029/2016","https://soldocarajas.blogspot.com/2016/06/parauapebas-sai-segunda-pesquisa.html","PARAUAPEBAS","1","p","1","NA","NA","DARCI","45.34","VALMIR MARIANO","18.65","CATALAO","10.35","CHICO CORTINAS","4.15","JOAO VERDURAO","3.37","DR HIPOLITO REIS","1.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","manual/14-(leva-geral_3-2(2200))-pedro19-fixed-entrega.xlsx.csv","NA","NA","NA","NA","83.16"
"07608537000188","","PI-02300/2016","https://180graus.com/pesquisa-eleitoral/brvoxmiguel-alves-oliveira-jr-26-dra-salete-6-e-julio-da-tuta-25","MIGUEL ALVES","1","p","1","NA","NA","OLIVEIRA","49.64","DRA SALETE","12.14","CARLUCIO","6.43","JULIO TUTA","3.57","ANGELO","2.86","ASSIS DUTRA","1.79","CLEO","1.43","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","manual/25-(leva-geral2_leva5-2)-pedro18-entrega.xlsx.csv","NA","NA","NA","NA","77.86"
"07608537000188","","PI-02300/2016","https://180graus.com/pesquisa-eleitoral/brvoxmiguel-alves-oliveira-jr-26-dra-salete-6-e-julio-da-tuta-25","MIGUEL ALVES","1","p","0","NA","NA","OLIVEIRA JUNIOR","26.79","DRA SALETE","6.79","JULIO TUTA","2.5","CHIBANCA","1.43","CARLUCIO","1.43","ANGELO","1.07","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","manual/25-(leva-geral2_leva5-2)-pedro18-entrega.xlsx.csv","NA","NA","NA","NA","40.01"
"11186543000161","","PI-03163/2018","https://carlsonpessoa.blogspot.com/2018/09/wdias-42-pessoa-27-luciano-11-instituto.html","PIAUI","1","g","1","NA","NA","WELLINGTON DIAS","42.75","DR PESSOA","27.08","LUCIANO NUNES","10.83","ELMANO FERRER","3","VALTER ALENCAR","1.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","manual/25-(leva-geral2_leva5-2)-pedro18-entrega.xlsx.csv","NA","NA","NA","NA","85.16"
"11186543000161","","PI-03163/2018","https://www.agrandebarras.com.br/2018/09/emilia-aparece-pesquisa-deputado-piaui.html","PIAUI","1","de","0","NA","NA","LUCY SILVEIRA","1.67","THEMISTOCLES FILHO","1.58","HELIO ISAIAS","1.5","FABIO NOVO","1.33","WILSON BRANDAO","1.33","MARDEN MENEZES","1.25","ZE SANTANA","NA","1 17","NA","1 17","NA","1","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","manual/25-(leva-geral2_leva5-2)-pedro18-entrega.xlsx.csv","NA","NA","NA","NA","8.66"
"11186543000161","","PI-03163/2018","https://www.politicadinamica.com/noticias/analises/teresina-wilson-30-1-e-robert-28-91537373780-11305.html","PIAUI","1","df","0","NA","NA","CAP FABIO ABREU","11.94","SILAS FREIRE","7.16","ATILA LIRA","2.39","REJANE DIAS","2.39","JONINHA","1.79","MARCOS AURELIO SAMPAIO","1.79","MERLONG SOLANO","1.49","FLAVIO NOGUEIRA","1.49","FLAVIO NOGUEIRA","1.49","HERACLITO FORTES","1.19","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","manual/25-(leva-geral2_leva5-2)-pedro18-entrega.xlsx.csv","NA","NA","NA","NA","33.12"
"11186543000161","","PI-03163/2018","https://www.politicadinamica.com/noticias/analises/teresina-wilson-30-1-e-robert-28-91537373780-11305.html","PIAUI","1","s","1","NA","NA","WILSON MARTINS","30.15","ROBERT RIOS","28.96","CIRO NOGUEIRA","24.78","FRANK AGUIAR","18.51","MARCELO CASTRO","17.61","ANTONIO JOSE LIRA","2.69","ELIZEU AGUIAR","2.39","QUEM QUEM","1.79","JOAQUIM SARAIVA","1.19","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","manual/25-(leva-geral2_leva5-2)-pedro18-entrega.xlsx.csv","NA","NA","NA","NA","128.07"
"11186543000161","","PI-03163/2018","https://www.blogluiscorreia.com/2018/09/datamax-senador-federal-e-estadual.html","PIAUI","1","df","0","NA","NA","CAP FABIO ABREU","7","SILAS FREIRE","6.5","REJANE DIAS","2.92","ASSIS CARVALHO","1.75","PAES LANDIM","1.25","MARCOS AURELIO SAMPAIO","1.25","IRACEMA PORTELLA","1.25","MERLONG SOLANO","1.08","MARGARETE COELHO","1.08","HERACLITO FORTES","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","manual/9-(leva-geral_2-1(965))-pedro20-splited_fixed-entrega.xlsx.csv","NA","NA","NA","NA","25.08"
"11186543000161","","PI-03163/2018","https://www.blogluiscorreia.com/2018/09/datamax-senador-federal-e-estadual.html","PIAUI","1","s","1","NA","NA","WILSON MARTINS","31.5","CIRO NOGUEIRA","26.92","ROBERT RIOS","23.17","MARCELO CASTRO","14.42","FRANK AGUIAR","14.25","MARCOS VINICIUS","1.83","ANTONIO JOSE LIRA","1.58","QUEM QUEM","1","ELIZEU AGUIAR","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","manual/9-(leva-geral_2-1(965))-pedro20-splited_fixed-entrega.xlsx.csv","NA","NA","NA","NA","115.67"
"07608537000188","","PI-05330/2016","http://www.saraivareporter.com/index.php?option=com_content&id=19292:brvox-diz-que-maria-freitas-tem-44-roger-linhares-25-e-edmilson-10-em-jose-de-freitas-","JOSÉ DE FREITAS","1","v","NA","NA","NA","ZILZIMAR FERNANDES","3.57","PEDRO GOMES","2.86","CASTELO","2.5","ZE FERREIRA","2.14","MONTE","1.79","ANDREA","1.79","TIAGO PINTO","1.43","ROBERVAL CARVALHO","1.43","ALFREDO","1.43","PAMPA","1.43","ROBERVAL SANTOS","1.07","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","manual/25-(leva-geral2_leva5-2)-pedro18-entrega.xlsx.csv","NA","NA","NA","NA","21.44"
"07608537000188","","PI-05330/2016","http://www.saraivareporter.com/index.php?option=com_content&id=19292:brvox-diz-que-maria-freitas-tem-44-roger-linhares-25-e-edmilson-10-em-jose-de-freitas-","JOSÉ DE FREITAS","1","p","1","NA","NA","MARIA GRACAS BRASILIO ALMENDRA FREITAS","44.29","ROGER LINHARES","25.36","EDMILSON OLIVEIRA","10","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","manual/25-(leva-geral2_leva5-2)-pedro18-entrega.xlsx.csv","NA","NA","NA","NA","79.65"
"07608537000188","","PI-05330/2016","https://180graus.com/pesquisa-eleitoral/brvox-em-bom-jesus-negreiros-e-o-mais-citado-para-vereador-na-cidade","BOM JESUS","1","v","0","NA","NA","RAIMUNDO NEGREIROS","6.07","NESTOR","5.71","COSME CLEMENTINO","3.93","SALVADOR DIAS","3.57","JANUARIO","2.86","RAIMUNDO NETO","2.5","ODAIR JOSE","2.5","JACO","2.14","JORGE LUIS","1.43","ENIO ALVES","1.43","CIZITO","1.07","TERTO","1.07","LUCIA","1.07","NETINHO GUEDES","1.07","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","manual/25-(leva-geral2_leva5-2)-pedro18-entrega.xlsx.csv","NA","NA","NA","NA","36.42"
